date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,20,8,0.0,8.7,4,31,11:02 AM,10:57 PM,07:59 AM,05:55 PM,2,8,10,8,30,0,59,0.0,1019,10,10,29,14,90012
2009-01-01 06:00:00,20,8,0.0,8.7,4,31,11:02 AM,10:57 PM,07:59 AM,05:55 PM,1,6,9,6,33,0,59,0.0,1020,9,10,31,16,90012
2009-01-01 12:00:00,20,8,0.0,8.7,4,31,11:02 AM,10:57 PM,07:59 AM,05:55 PM,5,23,24,23,5,0,30,0.0,1017,20,10,297,4,90012
2009-01-01 18:00:00,20,8,0.0,8.7,4,31,11:02 AM,10:57 PM,07:59 AM,05:55 PM,4,12,12,12,19,0,56,0.0,1016,11,10,31,9,90012
2009-01-02 00:00:00,15,6,0.0,8.7,3,38,11:28 AM,11:56 PM,07:59 AM,05:56 PM,3,10,11,10,16,0,59,0.0,1016,9,10,29,8,90012
2009-01-02 06:00:00,15,6,0.0,8.7,3,38,11:28 AM,11:56 PM,07:59 AM,05:56 PM,2,7,8,7,15,2,66,0.0,1014,7,10,358,7,90012
2009-01-02 12:00:00,15,6,0.0,8.7,3,38,11:28 AM,11:56 PM,07:59 AM,05:56 PM,3,14,15,14,15,7,45,0.0,1011,15,10,225,13,90012
2009-01-02 18:00:00,15,6,0.0,8.7,3,38,11:28 AM,11:56 PM,07:59 AM,05:56 PM,5,7,7,7,8,8,88,0.0,1013,6,10,203,5,90012
2009-01-03 00:00:00,15,6,0.0,8.7,2,45,11:55 AM,No moonset,07:59 AM,05:57 PM,4,4,6,4,12,100,91,0.1,1014,6,10,131,7,90012
2009-01-03 06:00:00,15,6,0.0,8.7,2,45,11:55 AM,No moonset,07:59 AM,05:57 PM,6,5,6,5,13,100,94,0.2,1014,6,2,70,8,90012
2009-01-03 12:00:00,15,6,0.0,8.7,2,45,11:55 AM,No moonset,07:59 AM,05:57 PM,4,15,15,15,3,28,48,0.0,1012,15,10,149,3,90012
2009-01-03 18:00:00,15,6,0.0,8.7,2,45,11:55 AM,No moonset,07:59 AM,05:57 PM,5,10,10,10,8,28,69,0.0,1014,9,10,10,5,90012
2009-01-04 00:00:00,14,6,0.0,8.7,3,52,12:23 PM,12:58 AM,07:59 AM,05:57 PM,-3,5,7,5,31,24,47,0.0,1016,7,10,30,17,90012
2009-01-04 06:00:00,14,6,0.0,8.7,3,52,12:23 PM,12:58 AM,07:59 AM,05:57 PM,-5,2,6,2,32,14,47,0.0,1019,6,10,32,18,90012
