date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,7,2,0.0,3.3,1,31,11:28 AM,11:11 PM,08:51 AM,05:39 PM,2,-1,2,-1,23,97,99,1.9,1018,2,9,174,13,97204
2009-01-01 06:00:00,7,2,0.0,3.3,1,31,11:28 AM,11:11 PM,08:51 AM,05:39 PM,3,-2,3,-2,48,100,100,6.4,1007,3,7,195,24,97204
2009-01-01 12:00:00,7,2,0.0,3.3,1,31,11:28 AM,11:11 PM,08:51 AM,05:39 PM,7,4,7,4,41,100,100,17.1,1004,7,5,218,23,97204
2009-01-01 18:00:00,7,2,0.0,3.3,1,31,11:28 AM,11:11 PM,08:51 AM,05:39 PM,6,5,6,5,13,100,100,8.8,1002,6,5,252,8,97204
2009-01-02 00:00:00,2,-0,0.2,5.1,1,38,11:46 AM,No moonset,08:51 AM,05:40 PM,2,-3,2,-3,28,100,100,20.9,996,2,5,327,17,97204
2009-01-02 06:00:00,2,-0,0.2,5.1,1,38,11:46 AM,No moonset,08:51 AM,05:40 PM,0,-4,0,-4,26,47,100,0.2,1007,0,7,242,15,97204
2009-01-02 12:00:00,2,-0,0.2,5.1,1,38,11:46 AM,No moonset,08:51 AM,05:40 PM,1,-1,2,-1,15,85,99,0.1,1013,2,10,254,9,97204
2009-01-02 18:00:00,2,-0,0.2,5.1,1,38,11:46 AM,No moonset,08:51 AM,05:40 PM,-0,-3,0,-3,13,41,97,0.0,1017,0,2,221,8,97204
2009-01-03 00:00:00,1,-2,0.8,3.3,2,45,12:04 PM,12:19 AM,08:51 AM,05:40 PM,-1,-4,0,-4,22,62,96,0.0,1021,-0,10,193,13,97204
2009-01-03 06:00:00,1,-2,0.8,3.3,2,45,12:04 PM,12:19 AM,08:51 AM,05:40 PM,-0,-4,0,-4,18,78,97,0.7,1023,-0,2,197,11,97204
2009-01-03 12:00:00,1,-2,0.8,3.3,2,45,12:04 PM,12:19 AM,08:51 AM,05:40 PM,0,-1,1,-1,10,83,97,0.2,1025,1,5,203,7,97204
2009-01-03 18:00:00,1,-2,0.8,3.3,2,45,12:04 PM,12:19 AM,08:51 AM,05:40 PM,-1,-2,-1,-2,7,40,99,0.0,1025,-1,0,120,3,97204
2009-01-04 00:00:00,2,-3,0.0,8.7,1,52,12:25 PM,01:30 AM,08:51 AM,05:41 PM,-3,-6,-2,-6,20,32,95,0.0,1025,-2,2,96,9,97204
