date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,14,4,0.0,10.0,3,31,11:41 AM,11:37 PM,08:34 AM,06:47 PM,-2,2,5,2,23,19,60,0.0,1023,5,10,13,12,32301
2009-01-01 06:00:00,14,4,0.0,10.0,3,31,11:41 AM,11:37 PM,08:34 AM,06:47 PM,-3,0,4,0,25,52,60,0.0,1024,4,10,59,14,32301
2009-01-01 12:00:00,14,4,0.0,10.0,3,31,11:41 AM,11:37 PM,08:34 AM,06:47 PM,3,13,14,13,12,82,49,0.0,1024,13,10,82,10,32301
2009-01-01 18:00:00,14,4,0.0,10.0,3,31,11:41 AM,11:37 PM,08:34 AM,06:47 PM,5,8,9,8,19,7,74,0.0,1022,9,10,62,9,32301
2009-01-02 00:00:00,21,8,0.0,10.0,4,38,12:09 PM,No moonset,08:34 AM,06:48 PM,7,6,8,6,22,18,89,0.0,1020,8,10,113,11,32301
2009-01-02 06:00:00,21,8,0.0,10.0,4,38,12:09 PM,No moonset,08:34 AM,06:48 PM,8,9,10,9,15,73,86,0.0,1019,10,10,95,9,32301
2009-01-02 12:00:00,21,8,0.0,10.0,4,38,12:09 PM,No moonset,08:34 AM,06:48 PM,14,20,20,20,11,44,71,0.0,1018,20,10,169,9,32301
2009-01-02 18:00:00,21,8,0.0,10.0,4,38,12:09 PM,No moonset,08:34 AM,06:48 PM,14,15,15,15,14,36,94,0.0,1017,15,10,187,6,32301
2009-01-03 00:00:00,23,12,0.0,10.2,4,45,12:37 PM,12:33 AM,08:34 AM,06:49 PM,14,14,14,14,9,100,97,0.0,1018,14,0,172,4,32301
2009-01-03 06:00:00,23,12,0.0,10.2,4,45,12:37 PM,12:33 AM,08:34 AM,06:49 PM,12,13,13,13,8,100,98,0.0,1019,12,0,151,4,32301
2009-01-03 12:00:00,23,12,0.0,10.2,4,45,12:37 PM,12:33 AM,08:34 AM,06:49 PM,15,22,25,22,9,17,66,0.0,1019,22,10,199,8,32301
2009-01-03 18:00:00,23,12,0.0,10.2,4,45,12:37 PM,12:33 AM,08:34 AM,06:49 PM,16,17,17,17,12,31,95,0.0,1018,17,2,172,6,32301
2009-01-04 00:00:00,23,15,0.0,10.2,4,52,01:09 PM,01:33 AM,08:34 AM,06:50 PM,15,15,15,15,7,33,97,0.0,1019,15,2,147,4,32301
2009-01-04 06:00:00,23,15,0.0,10.2,4,52,01:09 PM,01:33 AM,08:34 AM,06:50 PM,14,15,15,15,15,40,96,0.0,1019,15,2,192,8,32301
2009-01-04 12:00:00,23,15,0.0,10.2,4,52,01:09 PM,01:33 AM,08:34 AM,06:50 PM,16,25,25,23,10,24,63,0.0,1020,23,10,211,9,32301
2009-01-04 18:00:00,23,15,0.0,10.2,4,52,01:09 PM,01:33 AM,08:34 AM,06:50 PM,16,17,17,17,15,10,93,0.0,1020,17,10,187,7,32301
2009-01-05 00:00:00,22,12,0.0,10.2,4,60,01:44 PM,02:34 AM,08:34 AM,06:50 PM,14,15,14,15,11,23,96,0.0,1021,14,2,266,5,32301
2009-01-05 06:00:00,22,12,0.0,10.2,4,60,01:44 PM,02:34 AM,08:34 AM,06:50 PM,12,12,12,12,3,19,97,0.0,1021,12,2,318,1,32301
2009-01-05 12:00:00,22,12,0.0,10.2,4,60,01:44 PM,02:34 AM,08:34 AM,06:50 PM,16,25,25,22,12,16,66,0.0,1019,22,10,222,10,32301
2009-01-05 18:00:00,22,12,0.0,10.2,4,60,01:44 PM,02:34 AM,08:34 AM,06:50 PM,15,18,18,18,16,14,85,0.0,1017,18,10,188,9,32301
2009-01-06 00:00:00,23,15,0.0,8.3,4,67,02:24 PM,03:41 AM,08:34 AM,06:51 PM,14,15,15,15,21,24,95,0.0,1015,15,2,173,11,32301
2009-01-06 06:00:00,23,15,0.0,8.3,4,67,02:24 PM,03:41 AM,08:34 AM,06:51 PM,15,16,16,16,16,100,98,0.0,1014,16,0,187,8,32301
2009-01-06 12:00:00,23,15,0.0,8.3,4,67,02:24 PM,03:41 AM,08:34 AM,06:51 PM,17,25,25,23,30,69,68,0.0,1012,23,10,182,26,32301
2009-01-06 18:00:00,23,15,0.0,8.3,4,67,02:24 PM,03:41 AM,08:34 AM,06:51 PM,18,19,19,19,28,45,92,0.0,1009,19,10,178,16,32301
2009-01-07 00:00:00,20,10,0.0,10.2,5,74,03:13 PM,04:50 AM,08:35 AM,06:52 PM,17,20,20,20,38,60,88,0.0,1006,19,10,187,22,32301
2009-01-07 06:00:00,20,10,0.0,10.2,5,74,03:13 PM,04:50 AM,08:35 AM,06:52 PM,15,17,17,17,39,51,87,0.0,1006,17,10,292,26,32301
2009-01-07 12:00:00,20,10,0.0,10.2,5,74,03:13 PM,04:50 AM,08:35 AM,06:52 PM,5,20,20,20,41,0,39,0.0,1009,20,10,263,34,32301
2009-01-07 18:00:00,20,10,0.0,10.2,5,74,03:13 PM,04:50 AM,08:35 AM,06:52 PM,6,10,11,10,13,0,70,0.0,1011,11,10,278,6,32301
2009-01-08 00:00:00,21,8,0.0,10.2,4,82,04:12 PM,06:01 AM,08:35 AM,06:53 PM,3,7,9,7,39,4,67,0.0,1014,9,10,257,18,32301
2009-01-08 06:00:00,21,8,0.0,10.2,4,82,04:12 PM,06:01 AM,08:35 AM,06:53 PM,3,6,8,6,22,0,70,0.0,1014,8,10,234,10,32301
2009-01-08 12:00:00,21,8,0.0,10.2,4,82,04:12 PM,06:01 AM,08:35 AM,06:53 PM,9,21,21,21,35,2,46,0.0,1013,21,10,258,28,32301
2009-01-08 18:00:00,21,8,0.0,10.2,4,82,04:12 PM,06:01 AM,08:35 AM,06:53 PM,9,13,14,13,23,0,70,0.0,1014,14,10,279,11,32301
2009-01-09 00:00:00,18,6,0.0,10.2,4,89,05:20 PM,07:09 AM,08:35 AM,06:54 PM,6,7,8,7,13,0,86,0.0,1019,8,10,330,6,32301
2009-01-09 06:00:00,18,6,0.0,10.2,4,89,05:20 PM,07:09 AM,08:35 AM,06:54 PM,0,3,6,3,26,0,68,0.0,1022,6,10,19,12,32301
2009-01-09 12:00:00,18,6,0.0,10.2,4,89,05:20 PM,07:09 AM,08:35 AM,06:54 PM,1,17,17,17,3,0,34,0.0,1023,17,10,171,3,32301
2009-01-09 18:00:00,18,6,0.0,10.2,4,89,05:20 PM,07:09 AM,08:35 AM,06:54 PM,5,9,10,9,13,0,69,0.0,1023,10,10,135,6,32301
2009-01-10 00:00:00,20,7,0.0,10.2,4,96,06:33 PM,08:11 AM,08:35 AM,06:54 PM,2,6,8,6,24,0,65,0.0,1024,8,10,117,12,32301
2009-01-10 06:00:00,20,7,0.0,10.2,4,96,06:33 PM,08:11 AM,08:35 AM,06:54 PM,3,5,7,5,25,3,75,0.0,1024,7,10,126,12,32301
2009-01-10 12:00:00,20,7,0.0,10.2,4,96,06:33 PM,08:11 AM,08:35 AM,06:54 PM,11,20,20,20,19,20,56,0.0,1021,20,10,175,15,32301
2009-01-10 18:00:00,20,7,0.0,10.2,4,96,06:33 PM,08:11 AM,08:35 AM,06:54 PM,14,16,16,16,17,59,88,0.0,1020,16,10,178,8,32301
2009-01-11 00:00:00,18,10,0.0,6.7,3,100,07:47 PM,09:03 AM,08:35 AM,06:55 PM,15,17,17,17,30,78,89,0.0,1018,17,10,206,17,32301
2009-01-11 06:00:00,18,10,0.0,6.7,3,100,07:47 PM,09:03 AM,08:35 AM,06:55 PM,17,18,18,18,33,97,97,0.0,1018,18,10,213,18,32301
2009-01-11 12:00:00,18,10,0.0,6.7,3,100,07:47 PM,09:03 AM,08:35 AM,06:55 PM,14,15,15,15,16,100,94,0.0,1018,15,10,270,11,32301
2009-01-11 18:00:00,18,10,0.0,6.7,3,100,07:47 PM,09:03 AM,08:35 AM,06:55 PM,10,11,12,11,18,45,86,0.0,1019,12,10,320,11,32301
2009-01-12 00:00:00,12,3,0.0,10.2,3,89,08:59 PM,09:48 AM,08:35 AM,06:56 PM,2,5,8,5,20,12,70,0.0,1022,8,10,349,13,32301
2009-01-12 06:00:00,12,3,0.0,10.2,3,89,08:59 PM,09:48 AM,08:35 AM,06:56 PM,-1,1,3,1,17,10,72,0.0,1023,3,10,360,10,32301
2009-01-12 12:00:00,12,3,0.0,10.2,3,89,08:59 PM,09:48 AM,08:35 AM,06:56 PM,3,11,11,11,7,48,58,0.0,1023,11,10,59,6,32301
2009-01-12 18:00:00,12,3,0.0,10.2,3,89,08:59 PM,09:48 AM,08:35 AM,06:56 PM,2,7,8,7,12,45,67,0.0,1022,8,10,28,6,32301
2009-01-13 00:00:00,13,6,0.0,10.0,2,82,10:06 PM,10:25 AM,08:34 AM,06:57 PM,5,6,8,6,15,67,80,0.0,1021,8,10,28,9,32301
2009-01-13 06:00:00,13,6,0.0,10.0,2,82,10:06 PM,10:25 AM,08:34 AM,06:57 PM,6,7,8,7,10,84,92,0.0,1019,8,10,18,6,32301
2009-01-13 12:00:00,13,6,0.0,10.0,2,82,10:06 PM,10:25 AM,08:34 AM,06:57 PM,8,9,10,9,8,46,89,0.0,1018,10,10,326,6,32301
2009-01-13 18:00:00,13,6,0.0,10.0,2,82,10:06 PM,10:25 AM,08:34 AM,06:57 PM,3,6,6,6,5,0,83,0.0,1019,6,10,284,2,32301
2009-01-14 00:00:00,11,1,0.0,10.2,2,75,11:11 PM,10:59 AM,08:34 AM,06:58 PM,4,3,5,3,16,8,94,0.0,1022,5,2,304,8,32301
2009-01-14 06:00:00,11,1,0.0,10.2,2,75,11:11 PM,10:59 AM,08:34 AM,06:58 PM,-2,-1,1,-1,12,0,82,0.0,1024,1,10,11,6,32301
2009-01-14 12:00:00,11,1,0.0,10.2,2,75,11:11 PM,10:59 AM,08:34 AM,06:58 PM,-4,11,11,11,6,0,36,0.0,1025,11,10,309,5,32301
2009-01-14 18:00:00,11,1,0.0,10.2,2,75,11:11 PM,10:59 AM,08:34 AM,06:58 PM,-1,3,4,3,13,0,68,0.0,1025,4,10,271,6,32301
