date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,15,2,0.0,8.7,3,31,11:05 AM,10:59 PM,08:05 AM,05:54 PM,-1,3,4,3,13,0,68,0.0,1021,4,10,100,6,93306
2009-01-01 06:00:00,15,2,0.0,8.7,3,31,11:05 AM,10:59 PM,08:05 AM,05:54 PM,-1,1,2,1,8,2,79,0.0,1021,2,10,86,4,93306
2009-01-01 12:00:00,15,2,0.0,8.7,3,31,11:05 AM,10:59 PM,08:05 AM,05:54 PM,1,15,15,15,9,0,38,0.0,1018,15,10,314,7,93306
2009-01-01 18:00:00,15,2,0.0,8.7,3,31,11:05 AM,10:59 PM,08:05 AM,05:54 PM,3,6,6,6,9,0,81,0.0,1017,6,10,96,4,93306
2009-01-02 00:00:00,13,3,0.0,8.7,3,38,11:31 AM,11:59 PM,08:05 AM,05:55 PM,1,4,4,4,6,4,78,0.0,1017,4,10,70,3,93306
2009-01-02 06:00:00,13,3,0.0,8.7,3,38,11:31 AM,11:59 PM,08:05 AM,05:55 PM,1,2,3,2,9,9,88,0.0,1016,3,10,357,4,93306
2009-01-02 12:00:00,13,3,0.0,8.7,3,38,11:31 AM,11:59 PM,08:05 AM,05:55 PM,3,13,13,13,11,6,48,0.0,1011,13,10,333,10,93306
2009-01-02 18:00:00,13,3,0.0,8.7,3,38,11:31 AM,11:59 PM,08:05 AM,05:55 PM,0,6,6,6,8,61,68,0.0,1013,6,10,37,4,93306
2009-01-03 00:00:00,11,2,0.0,8.7,3,45,11:57 AM,No moonset,08:05 AM,05:56 PM,2,6,6,6,3,9,78,0.0,1014,6,10,357,2,93306
2009-01-03 06:00:00,11,2,0.0,8.7,3,45,11:57 AM,No moonset,08:05 AM,05:56 PM,1,1,2,1,8,100,98,0.0,1014,2,0,14,4,93306
2009-01-03 12:00:00,11,2,0.0,8.7,3,45,11:57 AM,No moonset,08:05 AM,05:56 PM,-0,10,11,10,8,33,46,0.0,1013,11,10,326,7,93306
2009-01-03 18:00:00,11,2,0.0,8.7,3,45,11:57 AM,No moonset,08:05 AM,05:56 PM,0,2,2,2,5,9,87,0.0,1016,2,10,354,3,93306
2009-01-04 00:00:00,12,1,0.0,8.7,2,52,12:24 PM,01:02 AM,08:05 AM,05:57 PM,-2,-0,2,-0,14,6,74,0.0,1019,2,10,97,7,93306
2009-01-04 06:00:00,12,1,0.0,8.7,2,52,12:24 PM,01:02 AM,08:05 AM,05:57 PM,-5,-2,1,-2,19,2,63,0.0,1021,1,10,110,9,93306
2009-01-04 12:00:00,12,1,0.0,8.7,2,52,12:24 PM,01:02 AM,08:05 AM,05:57 PM,-7,12,12,12,3,0,26,0.0,1019,12,10,339,3,93306
2009-01-04 18:00:00,12,1,0.0,8.7,2,52,12:24 PM,01:02 AM,08:05 AM,05:57 PM,-4,-0,1,-0,9,12,69,0.0,1023,1,10,39,4,93306
2009-01-05 00:00:00,10,-1,0.0,8.7,2,60,12:57 PM,02:07 AM,08:05 AM,05:58 PM,-4,-1,1,-1,14,5,69,0.0,1025,1,10,78,6,93306
2009-01-05 06:00:00,10,-1,0.0,8.7,2,60,12:57 PM,02:07 AM,08:05 AM,05:58 PM,-3,-1,-1,-1,5,11,84,0.0,1024,-1,10,93,2,93306
2009-01-05 12:00:00,10,-1,0.0,8.7,2,60,12:57 PM,02:07 AM,08:05 AM,05:58 PM,-3,8,10,8,17,46,39,0.0,1020,10,10,326,13,93306
2009-01-05 18:00:00,10,-1,0.0,8.7,2,60,12:57 PM,02:07 AM,08:05 AM,05:58 PM,-1,5,5,5,4,10,66,0.0,1020,5,10,255,2,93306
2009-01-06 00:00:00,12,-1,0.0,8.7,1,67,01:36 PM,03:17 AM,08:05 AM,05:59 PM,-1,-0,-0,-0,3,1,96,0.0,1021,-0,2,324,1,93306
2009-01-06 06:00:00,12,-1,0.0,8.7,1,67,01:36 PM,03:17 AM,08:05 AM,05:59 PM,-2,-1,-1,-1,1,3,96,0.0,1023,-1,10,80,0,93306
