date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-03-01 00:00:00,0,0,0.0,8.7,4,30,09:38 AM,No moonset,07:53 AM,07:07 PM,7,7,11,7,52,50,78,0.0,1008,11,10,157,27,97411
2009-03-01 06:00:00,0,0,0.0,8.7,4,30,09:38 AM,No moonset,07:53 AM,07:07 PM,8,9,11,9,41,73,83,0.0,1007,11,10,143,22,97411
2009-03-01 12:00:00,0,0,0.0,8.7,4,30,09:38 AM,No moonset,07:53 AM,07:07 PM,10,7,11,7,52,98,94,6.1,1006,11,7,204,31,97411
2009-03-01 18:00:00,0,0,0.0,8.7,4,30,09:38 AM,No moonset,07:53 AM,07:07 PM,9,8,10,8,23,86,96,0.6,1005,10,10,176,14,97411
2009-03-02 00:00:00,0,0,0.0,11.6,3,37,10:12 AM,12:51 AM,07:52 AM,07:09 PM,9,6,10,6,79,100,93,7.0,1001,10,6,208,46,97411
2009-03-02 06:00:00,0,0,0.0,11.6,3,37,10:12 AM,12:51 AM,07:52 AM,07:09 PM,7,5,9,5,48,5,85,0.0,1007,9,10,186,30,97411
2009-03-02 12:00:00,0,0,0.0,11.6,3,37,10:12 AM,12:51 AM,07:52 AM,07:09 PM,6,8,12,8,50,16,69,0.0,1005,12,10,193,33,97411
2009-03-02 18:00:00,0,0,0.0,11.6,3,37,10:12 AM,12:51 AM,07:52 AM,07:09 PM,7,6,9,6,48,49,85,0.2,1001,9,10,155,27,97411
2009-03-03 00:00:00,0,0,0.0,10.2,2,45,10:56 AM,02:04 AM,07:50 AM,07:10 PM,6,3,8,3,67,70,85,2.2,1004,8,10,192,44,97411
2009-03-03 06:00:00,0,0,0.0,10.2,2,45,10:56 AM,02:04 AM,07:50 AM,07:10 PM,3,3,8,3,61,23,74,0.1,1004,7,10,179,41,97411
2009-03-03 12:00:00,0,0,0.0,10.2,2,45,10:56 AM,02:04 AM,07:50 AM,07:10 PM,3,4,9,4,62,20,68,0.1,1006,9,10,192,47,97411
2009-03-03 18:00:00,0,0,0.0,10.2,2,45,10:56 AM,02:04 AM,07:50 AM,07:10 PM,4,4,7,4,29,32,81,1.1,1009,7,9,202,20,97411
2009-03-04 00:00:00,0,0,0.0,11.6,3,52,11:51 AM,03:14 AM,07:48 AM,07:11 PM,3,3,5,3,21,51,86,0.0,1010,5,10,169,12,97411
2009-03-04 06:00:00,0,0,0.0,11.6,3,52,11:51 AM,03:14 AM,07:48 AM,07:11 PM,3,3,5,3,17,42,86,0.1,1012,5,10,166,10,97411
2009-03-04 12:00:00,0,0,0.0,11.6,3,52,11:51 AM,03:14 AM,07:48 AM,07:11 PM,4,6,8,6,16,18,76,0.8,1017,8,9,221,12,97411
2009-03-04 18:00:00,0,0,0.0,11.6,3,52,11:51 AM,03:14 AM,07:48 AM,07:11 PM,3,4,6,4,18,11,83,0.0,1019,6,10,222,10,97411
2009-03-05 00:00:00,0,0,0.0,5.8,3,59,12:57 PM,04:16 AM,07:47 AM,07:12 PM,3,3,5,3,17,15,85,0.0,1021,5,10,183,9,97411
2009-03-05 06:00:00,0,0,0.0,5.8,3,59,12:57 PM,04:16 AM,07:47 AM,07:12 PM,3,3,6,3,31,53,81,0.0,1022,6,10,214,20,97411
2009-03-05 12:00:00,0,0,0.0,5.8,3,59,12:57 PM,04:16 AM,07:47 AM,07:12 PM,6,3,7,3,36,100,92,1.8,1021,7,9,267,24,97411
2009-03-05 18:00:00,0,0,0.0,5.8,3,59,12:57 PM,04:16 AM,07:47 AM,07:12 PM,5,3,7,3,26,100,88,0.3,1020,7,2,277,18,97411
2009-03-06 00:00:00,0,0,0.0,11.6,2,67,02:12 PM,05:07 AM,07:45 AM,07:14 PM,5,4,7,4,22,100,88,0.0,1020,7,10,267,15,97411
2009-03-06 06:00:00,0,0,0.0,11.6,2,67,02:12 PM,05:07 AM,07:45 AM,07:14 PM,5,4,7,4,16,91,87,0.2,1022,7,2,350,10,97411
2009-03-06 12:00:00,0,0,0.0,11.6,2,67,02:12 PM,05:07 AM,07:45 AM,07:14 PM,4,6,9,6,16,25,74,0.0,1024,8,10,346,12,97411
2009-03-06 18:00:00,0,0,0.0,11.6,2,67,02:12 PM,05:07 AM,07:45 AM,07:14 PM,4,4,7,4,24,5,80,0.0,1024,7,10,357,15,97411
2009-03-07 00:00:00,0,0,0.0,8.7,2,74,03:31 PM,05:48 AM,07:43 AM,07:15 PM,1,1,3,1,17,6,87,0.0,1025,3,10,27,8,97411
2009-03-07 06:00:00,0,0,0.0,8.7,2,74,03:31 PM,05:48 AM,07:43 AM,07:15 PM,2,4,5,4,7,82,85,0.0,1024,4,10,148,4,97411
2009-03-07 12:00:00,0,0,0.0,8.7,2,74,03:31 PM,05:48 AM,07:43 AM,07:15 PM,4,3,7,3,33,80,82,0.1,1025,7,10,358,24,97411
2009-03-07 18:00:00,0,0,0.0,8.7,2,74,03:31 PM,05:48 AM,07:43 AM,07:15 PM,1,2,6,2,26,30,74,0.0,1025,6,10,349,17,97411
2009-03-08 00:00:00,0,0,0.0,10.2,2,81,04:49 PM,06:20 AM,07:42 AM,07:16 PM,3,2,6,2,27,99,80,0.2,1023,6,2,320,18,97411
2009-03-08 06:00:00,0,0,0.0,10.2,2,81,04:49 PM,06:20 AM,07:42 AM,07:16 PM,3,2,6,2,22,100,83,0.2,1021,6,2,311,15,97411
2009-03-08 12:00:00,0,0,0.0,10.2,2,81,04:49 PM,06:20 AM,07:42 AM,07:16 PM,2,2,6,2,27,55,74,0.0,1020,6,10,301,22,97411
2009-03-08 18:00:00,0,0,0.0,10.2,2,81,04:49 PM,06:20 AM,07:42 AM,07:16 PM,1,1,5,1,20,37,80,0.3,1019,4,9,318,14,97411
2009-03-09 00:00:00,0,0,0.0,7.3,2,88,06:06 PM,06:48 AM,07:40 AM,07:17 PM,-1,0,2,0,13,28,82,0.0,1020,2,10,335,6,97411
2009-03-09 06:00:00,0,0,0.0,7.3,2,88,06:06 PM,06:48 AM,07:40 AM,07:17 PM,-1,-1,2,-1,17,53,83,0.0,1021,2,10,305,9,97411
2009-03-09 12:00:00,0,0,0.0,7.3,2,88,06:06 PM,06:48 AM,07:40 AM,07:17 PM,1,2,6,2,24,59,73,0.0,1024,6,10,305,18,97411
2009-03-09 18:00:00,0,0,0.0,7.3,2,88,06:06 PM,06:48 AM,07:40 AM,07:17 PM,1,2,5,2,27,100,74,0.0,1024,5,10,277,19,97411
2009-03-10 00:00:00,0,0,0.0,11.6,2,96,07:21 PM,07:12 AM,07:38 AM,07:19 PM,2,3,5,3,14,88,77,0.1,1026,5,10,311,9,97411
2009-03-10 06:00:00,0,0,0.0,11.6,2,96,07:21 PM,07:12 AM,07:38 AM,07:19 PM,0,2,4,2,13,22,75,0.0,1026,4,10,4,8,97411
2009-03-10 12:00:00,0,0,0.0,11.6,2,96,07:21 PM,07:12 AM,07:38 AM,07:19 PM,-1,4,7,4,15,10,58,0.0,1027,7,10,3,12,97411
2009-03-10 18:00:00,0,0,0.0,11.6,2,96,07:21 PM,07:12 AM,07:38 AM,07:19 PM,0,0,4,0,32,10,74,0.0,1026,4,10,15,21,97411
2009-03-11 00:00:00,0,0,0.0,11.6,2,100,08:33 PM,07:35 AM,07:36 AM,07:20 PM,0,-2,3,-2,32,7,84,0.0,1025,3,10,33,21,97411
2009-03-11 06:00:00,0,0,0.0,11.6,2,100,08:33 PM,07:35 AM,07:36 AM,07:20 PM,-1,-3,2,-3,36,4,81,0.0,1025,2,10,37,24,97411
2009-03-11 12:00:00,0,0,0.0,11.6,2,100,08:33 PM,07:35 AM,07:36 AM,07:20 PM,1,5,9,5,32,12,57,0.0,1022,8,10,11,26,97411
2009-03-11 18:00:00,0,0,0.0,11.6,2,100,08:33 PM,07:35 AM,07:36 AM,07:20 PM,1,2,7,2,45,3,68,0.0,1022,7,10,22,28,97411
2009-03-12 00:00:00,0,0,0.0,11.6,3,90,09:44 PM,07:57 AM,07:35 AM,07:21 PM,2,1,5,1,37,0,81,0.0,1024,5,10,50,21,97411
2009-03-12 06:00:00,0,0,0.0,11.6,3,90,09:44 PM,07:57 AM,07:35 AM,07:21 PM,1,-0,4,-0,36,0,79,0.0,1024,4,10,65,21,97411
2009-03-12 12:00:00,0,0,0.0,11.6,3,90,09:44 PM,07:57 AM,07:35 AM,07:21 PM,4,11,13,11,24,0,54,0.0,1022,13,10,10,16,97411
