date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,3,-1,1.0,3.4,1,31,12:00 PM,11:45 PM,09:19 AM,06:19 PM,-1,-0,-0,-0,2,100,97,0.0,1020,-0,0,349,1,83702
2009-01-01 06:00:00,3,-1,1.0,3.4,1,31,12:00 PM,11:45 PM,09:19 AM,06:19 PM,-1,-1,-0,-1,8,100,97,0.0,1019,-0,2,158,4,83702
2009-01-01 12:00:00,3,-1,1.0,3.4,1,31,12:00 PM,11:45 PM,09:19 AM,06:19 PM,2,-1,2,-1,19,100,99,0.0,1011,2,0,178,9,83702
2009-01-01 18:00:00,3,-1,1.0,3.4,1,31,12:00 PM,11:45 PM,09:19 AM,06:19 PM,3,1,3,1,14,100,99,0.0,1008,3,0,212,7,83702
2009-01-02 00:00:00,5,-4,0.0,8.7,1,38,12:19 PM,No moonset,09:19 AM,06:20 PM,4,1,4,1,18,100,99,0.0,1005,4,0,226,9,83702
2009-01-02 06:00:00,5,-4,0.0,8.7,1,38,12:19 PM,No moonset,09:19 AM,06:20 PM,3,1,4,1,32,36,96,0.0,999,4,10,190,15,83702
2009-01-02 12:00:00,5,-4,0.0,8.7,1,38,12:19 PM,No moonset,09:19 AM,06:20 PM,3,3,5,3,12,44,90,0.0,1001,5,9,244,7,83702
2009-01-02 18:00:00,5,-4,0.0,8.7,1,38,12:19 PM,No moonset,09:19 AM,06:20 PM,-4,-6,-1,-6,31,16,83,0.0,1010,-1,10,353,17,83702
2009-01-03 00:00:00,-3,-10,0.0,8.7,2,45,12:39 PM,12:51 AM,09:19 AM,06:21 PM,-11,-10,-10,-10,4,11,87,0.0,1019,-10,10,42,2,83702
2009-01-03 06:00:00,-3,-10,0.0,8.7,2,45,12:39 PM,12:51 AM,09:19 AM,06:21 PM,-11,-13,-8,-13,18,16,78,0.0,1024,-8,10,341,9,83702
2009-01-03 12:00:00,-3,-10,0.0,8.7,2,45,12:39 PM,12:51 AM,09:19 AM,06:21 PM,-9,-7,-5,-7,5,18,73,0.0,1028,-5,10,154,4,83702
2009-01-03 18:00:00,-3,-10,0.0,8.7,2,45,12:39 PM,12:51 AM,09:19 AM,06:21 PM,-10,-9,-7,-9,8,7,78,0.0,1028,-7,10,348,4,83702
2009-01-04 00:00:00,-3,-8,0.0,8.7,2,52,01:02 PM,02:00 AM,09:19 AM,06:22 PM,-10,-12,-7,-12,17,7,79,0.0,1031,-7,10,92,9,83702
