date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,-7,-14,0.0,8.7,2,31,11:03 AM,10:45 PM,08:19 AM,05:33 PM,-17,-22,-12,-22,39,18,64,0.0,1014,-12,10,333,29,06010
2009-01-01 06:00:00,-7,-14,0.0,8.7,2,31,11:03 AM,10:45 PM,08:19 AM,05:33 PM,-19,-22,-14,-22,27,0,64,0.0,1021,-14,10,321,20,06010
2009-01-01 12:00:00,-7,-14,0.0,8.7,2,31,11:03 AM,10:45 PM,08:19 AM,05:33 PM,-17,-15,-7,-15,27,3,46,0.0,1022,-7,10,320,23,06010
2009-01-01 18:00:00,-7,-14,0.0,8.7,2,31,11:03 AM,10:45 PM,08:19 AM,05:33 PM,-15,-16,-9,-16,22,24,66,0.0,1024,-10,10,313,13,06010
2009-01-02 00:00:00,-2,-9,0.3,5.2,2,38,11:24 AM,11:49 PM,08:19 AM,05:33 PM,-12,-9,-9,-9,2,48,78,0.0,1022,-9,10,259,1,06010
2009-01-02 06:00:00,-2,-9,0.3,5.2,2,38,11:24 AM,11:49 PM,08:19 AM,05:33 PM,-12,-13,-8,-13,18,69,73,0.0,1017,-8,10,198,10,06010
2009-01-02 12:00:00,-2,-9,0.3,5.2,2,38,11:24 AM,11:49 PM,08:19 AM,05:33 PM,-4,-6,-2,-6,22,90,87,0.0,1010,-2,10,240,15,06010
2009-01-02 18:00:00,-2,-9,0.3,5.2,2,38,11:24 AM,11:49 PM,08:19 AM,05:33 PM,-4,-6,-4,-6,9,26,96,0.0,1007,-4,2,276,5,06010
2009-01-03 00:00:00,0,-6,0.0,6.9,2,45,11:46 AM,No moonset,08:19 AM,05:34 PM,-2,-6,-2,-6,24,52,94,0.0,1006,-2,10,291,13,06010
2009-01-03 06:00:00,0,-6,0.0,6.9,2,45,11:46 AM,No moonset,08:19 AM,05:34 PM,-6,-9,-3,-9,30,4,83,0.0,1011,-3,10,298,16,06010
2009-01-03 12:00:00,0,-6,0.0,6.9,2,45,11:46 AM,No moonset,08:19 AM,05:34 PM,-6,-6,0,-6,37,12,64,0.0,1013,0,10,311,28,06010
2009-01-03 18:00:00,0,-6,0.0,6.9,2,45,11:46 AM,No moonset,08:19 AM,05:34 PM,-7,-10,-4,-10,34,0,77,0.0,1016,-4,10,308,19,06010
2009-01-04 00:00:00,-0,-7,0.0,8.7,2,52,12:08 PM,12:56 AM,08:19 AM,05:35 PM,-9,-12,-6,-12,28,0,81,0.0,1017,-6,10,314,17,06010
