date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,-3,-9,0.0,9.6,1,31,11:39 AM,11:22 PM,08:53 AM,06:08 PM,-9,-13,-7,-13,23,84,83,0.0,1029,-7,10,303,15,44114
2009-01-01 06:00:00,-3,-9,0.0,9.6,1,31,11:39 AM,11:22 PM,08:53 AM,06:08 PM,-10,-12,-9,-12,11,11,89,0.0,1030,-9,10,199,7,44114
2009-01-01 12:00:00,-3,-9,0.0,9.6,1,31,11:39 AM,11:22 PM,08:53 AM,06:08 PM,-8,-9,-3,-9,21,47,69,0.0,1026,-3,10,179,18,44114
2009-01-01 18:00:00,-3,-9,0.0,9.6,1,31,11:39 AM,11:22 PM,08:53 AM,06:08 PM,-8,-11,-4,-11,40,83,74,0.0,1018,-4,10,156,26,44114
2009-01-02 00:00:00,2,-4,0.2,8.2,1,38,11:59 AM,No moonset,08:53 AM,06:09 PM,-4,-6,-0,-6,40,100,73,0.0,1010,-0,10,218,23,44114
2009-01-02 06:00:00,2,-4,0.2,8.2,1,38,11:59 AM,No moonset,08:53 AM,06:09 PM,-4,-6,-0,-6,33,100,76,0.0,1010,-0,10,235,19,44114
2009-01-02 12:00:00,2,-4,0.2,8.2,1,38,11:59 AM,No moonset,08:53 AM,06:09 PM,-3,-4,2,-4,41,33,71,0.0,1008,2,10,250,30,44114
2009-01-02 18:00:00,2,-4,0.2,8.2,1,38,11:59 AM,No moonset,08:53 AM,06:09 PM,-5,-9,-2,-9,43,70,83,0.0,1014,-2,10,291,27,44114
2009-01-03 00:00:00,-1,-7,0.0,9.6,2,45,12:21 PM,12:25 AM,08:53 AM,06:09 PM,-7,-11,-6,-11,24,25,90,0.0,1020,-6,10,295,14,44114
2009-01-03 06:00:00,-1,-7,0.0,9.6,2,45,12:21 PM,12:25 AM,08:53 AM,06:09 PM,-7,-9,-6,-9,11,28,93,0.0,1022,-7,10,254,6,44114
2009-01-03 12:00:00,-1,-7,0.0,9.6,2,45,12:21 PM,12:25 AM,08:53 AM,06:09 PM,-4,-1,-0,-1,5,29,76,0.0,1022,-1,10,158,4,44114
2009-01-03 18:00:00,-1,-7,0.0,9.6,2,45,12:21 PM,12:25 AM,08:53 AM,06:09 PM,-6,-8,-4,-8,17,13,90,0.0,1023,-4,10,63,8,44114
2009-01-04 00:00:00,4,-4,0.0,4.8,2,52,12:44 PM,01:33 AM,08:53 AM,06:10 PM,-5,-9,-4,-9,28,6,90,0.0,1022,-4,10,105,16,44114
2009-01-04 06:00:00,4,-4,0.0,4.8,2,52,12:44 PM,01:33 AM,08:53 AM,06:10 PM,-4,-7,-2,-7,34,51,84,0.0,1018,-2,10,128,19,44114
2009-01-04 12:00:00,4,-4,0.0,4.8,2,52,12:44 PM,01:33 AM,08:53 AM,06:10 PM,2,-2,2,-2,25,100,97,0.0,1015,2,10,160,14,44114
2009-01-04 18:00:00,4,-4,0.0,4.8,2,52,12:44 PM,01:33 AM,08:53 AM,06:10 PM,3,-1,3,-1,30,100,98,0.0,1017,3,10,275,18,44114
2009-01-05 00:00:00,1,-4,0.0,9.6,1,60,01:12 PM,02:42 AM,08:53 AM,06:11 PM,-1,-5,1,-5,39,100,91,0.0,1020,1,10,281,26,44114
2009-01-05 06:00:00,1,-4,0.0,9.6,1,60,01:12 PM,02:42 AM,08:53 AM,06:11 PM,-6,-9,-3,-9,25,55,81,0.0,1023,-3,10,278,17,44114
2009-01-05 12:00:00,1,-4,0.0,9.6,1,60,01:12 PM,02:42 AM,08:53 AM,06:11 PM,-8,-6,-1,-6,15,94,62,0.0,1021,-1,10,269,13,44114
2009-01-05 18:00:00,1,-4,0.0,9.6,1,60,01:12 PM,02:42 AM,08:53 AM,06:11 PM,-8,-7,-3,-7,15,6,70,0.0,1020,-4,10,237,8,44114
