date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,-12,-17,0.0,8.7,2,31,10:59 AM,10:38 PM,08:18 AM,05:22 PM,-19,-27,-15,-27,50,41,69,0.0,1011,-15,10,320,39,03301
2009-01-01 06:00:00,-12,-17,0.0,8.7,2,31,10:59 AM,10:38 PM,08:18 AM,05:22 PM,-21,-27,-17,-27,32,0,67,0.0,1017,-17,10,302,24,03301
2009-01-01 12:00:00,-12,-17,0.0,8.7,2,31,10:59 AM,10:38 PM,08:18 AM,05:22 PM,-19,-22,-12,-22,35,2,56,0.0,1018,-12,10,311,30,03301
2009-01-01 18:00:00,-12,-17,0.0,8.7,2,31,10:59 AM,10:38 PM,08:18 AM,05:22 PM,-17,-21,-13,-21,27,3,73,0.0,1022,-13,10,285,15,03301
2009-01-02 00:00:00,-5,-14,0.1,3.4,2,38,11:19 AM,11:44 PM,08:18 AM,05:23 PM,-16,-21,-15,-21,24,16,86,0.0,1021,-14,10,270,12,03301
2009-01-02 06:00:00,-5,-14,0.1,3.4,2,38,11:19 AM,11:44 PM,08:18 AM,05:23 PM,-16,-13,-13,-13,5,47,76,0.0,1017,-13,10,259,2,03301
2009-01-02 12:00:00,-5,-14,0.1,3.4,2,38,11:19 AM,11:44 PM,08:18 AM,05:23 PM,-7,-8,-5,-8,13,89,81,0.0,1008,-5,10,211,9,03301
2009-01-02 18:00:00,-5,-14,0.1,3.4,2,38,11:19 AM,11:44 PM,08:18 AM,05:23 PM,-7,-12,-6,-12,27,8,94,0.0,1005,-6,10,265,13,03301
2009-01-03 00:00:00,-3,-9,0.0,8.7,1,45,11:39 AM,No moonset,08:18 AM,05:24 PM,-5,-9,-5,-9,20,100,97,0.0,1004,-5,0,261,11,03301
2009-01-03 06:00:00,-3,-9,0.0,8.7,1,45,11:39 AM,No moonset,08:18 AM,05:24 PM,-7,-12,-6,-12,28,13,88,0.0,1007,-6,10,276,17,03301
2009-01-03 12:00:00,-3,-9,0.0,8.7,1,45,11:39 AM,No moonset,08:18 AM,05:24 PM,-8,-11,-4,-11,41,4,69,0.0,1009,-4,10,310,30,03301
2009-01-03 18:00:00,-3,-9,0.0,8.7,1,45,11:39 AM,No moonset,08:18 AM,05:24 PM,-9,-13,-6,-13,35,5,79,0.0,1011,-6,10,300,21,03301
2009-01-04 00:00:00,-3,-9,0.0,8.7,2,52,12:01 PM,12:52 AM,08:18 AM,05:25 PM,-11,-17,-8,-17,50,5,78,0.0,1013,-8,10,310,32,03301
2009-01-04 06:00:00,-3,-9,0.0,8.7,2,52,12:01 PM,12:52 AM,08:18 AM,05:25 PM,-12,-17,-9,-17,34,0,80,0.0,1015,-9,10,311,23,03301
2009-01-04 12:00:00,-3,-9,0.0,8.7,2,52,12:01 PM,12:52 AM,08:18 AM,05:25 PM,-8,-10,-3,-10,32,7,72,0.0,1015,-3,10,326,23,03301
2009-01-04 18:00:00,-3,-9,0.0,8.7,2,52,12:01 PM,12:52 AM,08:18 AM,05:25 PM,-7,-10,-5,-10,28,45,84,0.0,1016,-5,10,328,14,03301
2009-01-05 00:00:00,1,-4,0.0,6.9,2,60,12:26 PM,02:03 AM,08:18 AM,05:26 PM,-6,-3,-3,-3,6,50,83,0.0,1013,-3,10,232,3,03301
2009-01-05 06:00:00,1,-4,0.0,6.9,2,60,12:26 PM,02:03 AM,08:18 AM,05:26 PM,-5,-6,-3,-6,11,54,84,0.0,1010,-3,10,243,6,03301
2009-01-05 12:00:00,1,-4,0.0,6.9,2,60,12:26 PM,02:03 AM,08:18 AM,05:26 PM,-3,-4,1,-4,24,42,75,0.0,1011,1,10,300,17,03301
2009-01-05 18:00:00,1,-4,0.0,6.9,2,60,12:26 PM,02:03 AM,08:18 AM,05:26 PM,-4,-7,-2,-7,40,31,85,0.0,1012,-1,10,275,22,03301
2009-01-06 00:00:00,-2,-7,0.0,8.7,2,67,12:58 PM,03:18 AM,08:18 AM,05:27 PM,-6,-11,-5,-11,33,0,89,0.0,1014,-5,10,276,18,03301
2009-01-06 06:00:00,-2,-7,0.0,8.7,2,67,12:58 PM,03:18 AM,08:18 AM,05:27 PM,-8,-13,-7,-13,28,0,91,0.0,1017,-7,10,269,15,03301
2009-01-06 12:00:00,-2,-7,0.0,8.7,2,67,12:58 PM,03:18 AM,08:18 AM,05:27 PM,-6,-6,-2,-6,14,0,76,0.0,1016,-2,10,248,11,03301
2009-01-06 18:00:00,-2,-7,0.0,8.7,2,67,12:58 PM,03:18 AM,08:18 AM,05:27 PM,-6,-6,-4,-6,9,46,87,0.0,1015,-4,10,254,4,03301
2009-01-07 00:00:00,-2,-6,7.1,3.4,1,74,01:40 PM,04:36 AM,08:18 AM,05:28 PM,-4,-7,-3,-7,13,82,93,0.0,1013,-3,10,129,8,03301
2009-01-07 06:00:00,-2,-6,7.1,3.4,1,74,01:40 PM,04:36 AM,08:18 AM,05:28 PM,-4,-9,-4,-9,26,100,96,0.0,1006,-4,10,88,17,03301
2009-01-07 12:00:00,-2,-6,7.1,3.4,1,74,01:40 PM,04:36 AM,08:18 AM,05:28 PM,-3,-7,-2,-7,16,100,96,0.0,996,-2,2,57,11,03301
2009-01-07 18:00:00,-2,-6,7.1,3.4,1,74,01:40 PM,04:36 AM,08:18 AM,05:28 PM,-7,-10,-6,-10,15,100,90,0.0,987,-6,10,32,12,03301
2009-01-08 00:00:00,0,-7,0.4,3.4,1,82,02:33 PM,05:53 AM,08:17 AM,05:29 PM,-6,-8,-5,-8,11,82,92,0.0,983,-5,10,217,7,03301
2009-01-08 06:00:00,0,-7,0.4,3.4,1,82,02:33 PM,05:53 AM,08:17 AM,05:29 PM,-3,-7,-2,-7,32,72,90,0.0,987,-2,10,238,18,03301
2009-01-08 12:00:00,0,-7,0.4,3.4,1,82,02:33 PM,05:53 AM,08:17 AM,05:29 PM,-2,-6,0,-6,36,87,86,0.0,990,0,10,249,24,03301
2009-01-08 18:00:00,0,-7,0.4,3.4,1,82,02:33 PM,05:53 AM,08:17 AM,05:29 PM,-6,-11,-4,-11,36,89,85,0.0,997,-4,10,279,23,03301
2009-01-09 00:00:00,-6,-10,0.0,8.7,2,89,03:41 PM,07:03 AM,08:17 AM,05:30 PM,-11,-15,-8,-15,25,30,83,0.0,1003,-8,10,289,16,03301
