zip,name,visibility,timezone,clouds_all,weather_main,weather_description,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,wind_speed,wind_deg
10007,New York,10000,-14400,90,Clouds,overcast clouds,74.75,79.59,73.4,75.99,1026,88,2.6,50
94102,San Francisco,9656,-25200,90,Mist,mist,57.88,54.1,55.99,61.0,1013,82,3.6,290
90012,Los Angeles,10000,-25200,1,Clear,clear sky,70.05,72.48,66.2,73.4,1012,77,1.44,150
30303,Atlanta,10000,-14400,90,Clouds,overcast clouds,75.36,77.49,73.99,77.0,1022,78,3.6,50
21401,Annapolis,10000,-14400,90,Clouds,overcast clouds,74.79,81.1,73.99,75.99,1024,100,3.1,50
32301,Tallahassee,10000,-14400,40,Clouds,scattered clouds,76.51,80.76,75.0,78.8,1018,78,2.34,40
98188,Seattle,10000,-25200,1,Clear,clear sky,72.16,63.52,69.01,75.2,1015,36,5.7,20
97204,Portland,10000,-25200,90,Smoke,smoke,78.19,65.48,75.99,80.6,1012,15,6.7,100
95113,San Jose,8047,-25200,90,Smoke,smoke,61.21,59.7,59.0,63.0,1013,82,2.6,330
60602,Chicago,10000,-18000,100,Clouds,overcast clouds,60.33,56.14,59.0,61.0,1028,89,5.1,20
77002,Houston,10000,-18000,1,Clear,clear sky,80.67,85.44,79.0,82.4,1017,78,3.6,150
19107,Philadelphia,10000,-14400,90,Clouds,overcast clouds,72.5,77.2,71.6,73.4,1025,94,2.6,50
33133,Miami,10000,-14400,90,Clouds,overcast clouds,77.2,83.91,75.99,78.8,1016,88,2.14,153
75201,Dallas,10000,-18000,90,Clouds,overcast clouds,61.18,58.96,60.8,62.01,1021,93,4.1,300
21202,Baltimore,10000,-14400,90,Clouds,overcast clouds,74.35,78.76,73.0,75.2,1024,94,3.6,70
20500,Washington,10000,-14400,90,Clouds,overcast clouds,74.1,79.02,73.0,75.2,1024,94,3.1,50
70802,Baton Rouge,10000,-18000,1,Clear,clear sky,77.36,84.97,77.0,78.01,1018,88,1.5,60
70112,New Orleans,10000,-18000,1,Clear,clear sky,78.8,88.48,75.2,81.0,1018,100,2.4,37
39201,Jackson,10000,-18000,1,Clear,clear sky,75.94,77.23,73.4,78.8,1020,65,2.6,110
39533,Biloxi,10000,-18000,1,Clear,clear sky,79.2,81.37,75.99,80.6,1018,69,3.6,70
27601,Raleigh,10000,-14400,90,Clouds,overcast clouds,74.53,80.94,73.99,75.2,1022,94,2.1,60
27701,Durham,10000,-14400,90,Clouds,overcast clouds,74.3,80.58,73.0,75.2,1022,94,2.1,60
29577,Myrtle Beach,10000,-14400,75,Clouds,broken clouds,75.81,82.29,75.0,77.0,1020,94,2.6,360
29201,Columbia,10000,-14400,75,Clouds,broken clouds,75.09,80.1,75.0,75.2,1021,94,3.45,32
23219,Richmond,10000,-14400,90,Clouds,overcast clouds,75.47,81.12,75.0,75.99,1023,94,3.1,30
23510,Norfolk,9656,-14400,90,Mist,mist,76.68,83.1,75.0,78.01,1022,94,3.03,86
23456,Virginia Beach,10000,-14400,90,Clouds,overcast clouds,76.87,82.08,75.99,78.01,1021,94,4.1,110
