date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-03-01 00:00:00,15,-6,0.0,11.2,2,30,09:28 AM,No moonset,07:33 AM,06:52 PM,-9,-7,-4,-7,14,2,72,0.0,1036,-6,10,307,6,80202
2009-03-01 06:00:00,15,-6,0.0,11.2,2,30,09:28 AM,No moonset,07:33 AM,06:52 PM,-13,-7,-3,-7,29,21,45,0.0,1033,-3,10,225,14,80202
2009-03-01 12:00:00,15,-6,0.0,11.2,2,30,09:28 AM,No moonset,07:33 AM,06:52 PM,-10,14,14,14,2,15,18,0.0,1024,13,10,232,1,80202
2009-03-01 18:00:00,15,-6,0.0,11.2,2,30,09:28 AM,No moonset,07:33 AM,06:52 PM,-4,10,10,10,2,9,37,0.0,1019,8,10,191,1,80202
2009-03-02 00:00:00,19,3,0.0,11.2,3,37,10:04 AM,12:18 AM,07:31 AM,06:53 PM,-3,4,6,4,17,4,53,0.0,1022,5,10,209,8,80202
2009-03-02 06:00:00,19,3,0.0,11.2,3,37,10:04 AM,12:18 AM,07:31 AM,06:53 PM,-6,1,4,1,19,19,48,0.0,1020,3,10,237,9,80202
2009-03-02 12:00:00,19,3,0.0,11.2,3,37,10:04 AM,12:18 AM,07:31 AM,06:53 PM,-6,19,19,19,4,32,19,0.0,1016,18,10,87,4,80202
2009-03-02 18:00:00,19,3,0.0,11.2,3,37,10:04 AM,12:18 AM,07:31 AM,06:53 PM,-3,12,12,12,2,18,34,0.0,1013,11,10,316,1,80202
2009-03-03 00:00:00,18,5,0.0,11.2,4,45,10:49 AM,01:31 AM,07:30 AM,06:54 PM,0,4,7,4,32,5,62,0.0,1017,7,10,276,15,80202
2009-03-03 06:00:00,18,5,0.0,11.2,4,45,10:49 AM,01:31 AM,07:30 AM,06:54 PM,-4,3,6,3,35,3,49,0.0,1014,6,10,243,17,80202
2009-03-03 12:00:00,18,5,0.0,11.2,4,45,10:49 AM,01:31 AM,07:30 AM,06:54 PM,-2,19,19,19,16,3,25,0.0,1011,18,10,286,14,80202
2009-03-03 18:00:00,18,5,0.0,11.2,4,45,10:49 AM,01:31 AM,07:30 AM,06:54 PM,-1,14,14,14,22,10,34,0.0,1010,14,10,281,13,80202
2009-03-04 00:00:00,17,6,0.0,11.3,4,52,11:44 AM,02:39 AM,07:28 AM,06:56 PM,-1,4,7,4,40,2,55,0.0,1014,7,10,221,19,80202
2009-03-04 06:00:00,17,6,0.0,11.3,4,52,11:44 AM,02:39 AM,07:28 AM,06:56 PM,-1,4,7,4,31,3,57,0.0,1012,6,10,222,15,80202
2009-03-04 12:00:00,17,6,0.0,11.3,4,52,11:44 AM,02:39 AM,07:28 AM,06:56 PM,-8,17,17,17,27,6,18,0.0,1007,17,10,237,23,80202
2009-03-04 18:00:00,17,6,0.0,11.3,4,52,11:44 AM,02:39 AM,07:28 AM,06:56 PM,-2,14,15,14,25,0,30,0.0,1003,14,10,217,15,80202
2009-03-05 00:00:00,12,3,0.0,11.3,3,59,12:49 PM,03:41 AM,07:27 AM,06:57 PM,-1,5,8,5,33,2,55,0.0,1006,8,10,202,15,80202
2009-03-05 06:00:00,12,3,0.0,11.3,3,59,12:49 PM,03:41 AM,07:27 AM,06:57 PM,-5,0,5,0,57,2,48,0.0,1006,5,10,206,27,80202
2009-03-05 12:00:00,12,3,0.0,11.3,3,59,12:49 PM,03:41 AM,07:27 AM,06:57 PM,-10,10,12,10,22,0,20,0.0,1005,12,10,228,19,80202
2009-03-05 18:00:00,12,3,0.0,11.3,3,59,12:49 PM,03:41 AM,07:27 AM,06:57 PM,-5,9,10,9,12,0,34,0.0,1007,8,10,219,10,80202
2009-03-06 00:00:00,11,-2,0.0,11.3,2,67,02:02 PM,04:34 AM,07:25 AM,06:58 PM,-9,-6,-1,-6,29,3,53,0.0,1015,-1,10,117,17,80202
2009-03-06 06:00:00,11,-2,0.0,11.3,2,67,02:02 PM,04:34 AM,07:25 AM,06:58 PM,-10,-5,-1,-5,21,5,51,0.0,1015,-2,10,198,12,80202
2009-03-06 12:00:00,11,-2,0.0,11.3,2,67,02:02 PM,04:34 AM,07:25 AM,06:58 PM,-15,3,6,3,19,5,21,0.0,1011,6,10,307,17,80202
2009-03-06 18:00:00,11,-2,0.0,11.3,2,67,02:02 PM,04:34 AM,07:25 AM,06:58 PM,-9,6,7,6,13,27,30,0.0,1007,7,10,119,8,80202
2009-03-07 00:00:00,1,-4,1.0,11.4,2,74,03:18 PM,05:18 AM,07:24 AM,06:59 PM,-8,-2,1,-2,17,20,51,0.0,1010,0,10,78,9,80202
2009-03-07 06:00:00,1,-4,1.0,11.4,2,74,03:18 PM,05:18 AM,07:24 AM,06:59 PM,-12,-6,-3,-6,11,12,52,0.0,1012,-4,10,66,7,80202
2009-03-07 12:00:00,1,-4,1.0,11.4,2,74,03:18 PM,05:18 AM,07:24 AM,06:59 PM,-9,-0,1,-0,6,52,45,0.0,1009,0,10,149,5,80202
2009-03-07 18:00:00,1,-4,1.0,11.4,2,74,03:18 PM,05:18 AM,07:24 AM,06:59 PM,-4,-1,1,-1,11,47,66,0.0,1008,1,9,303,8,80202
2009-03-08 00:00:00,13,-3,0.0,11.6,2,81,04:34 PM,05:54 AM,07:22 AM,07:00 PM,-11,-8,-3,-8,35,3,53,0.0,1012,-3,10,268,20,80202
2009-03-08 06:00:00,13,-3,0.0,11.6,2,81,04:34 PM,05:54 AM,07:22 AM,07:00 PM,-10,-6,-2,-6,27,2,53,0.0,1014,-3,10,254,14,80202
2009-03-08 12:00:00,13,-3,0.0,11.6,2,81,04:34 PM,05:54 AM,07:22 AM,07:00 PM,-12,12,13,12,10,3,17,0.0,1007,11,10,187,8,80202
2009-03-08 18:00:00,13,-3,0.0,11.6,2,81,04:34 PM,05:54 AM,07:22 AM,07:00 PM,-7,13,12,13,4,0,24,0.0,1003,8,10,4,3,80202
2009-03-09 00:00:00,9,-3,0.0,11.6,2,88,05:48 PM,06:24 AM,07:21 AM,07:01 PM,-6,-1,3,-1,32,1,52,0.0,1009,2,10,207,15,80202
2009-03-09 06:00:00,9,-3,0.0,11.6,2,88,05:48 PM,06:24 AM,07:21 AM,07:01 PM,-11,-2,1,-2,17,32,42,0.0,1007,0,10,148,8,80202
2009-03-09 12:00:00,9,-3,0.0,11.6,2,88,05:48 PM,06:24 AM,07:21 AM,07:01 PM,-15,3,5,3,10,45,22,0.0,1007,5,10,21,9,80202
2009-03-09 18:00:00,9,-3,0.0,11.6,2,88,05:48 PM,06:24 AM,07:21 AM,07:01 PM,-14,1,4,1,13,4,25,0.0,1005,3,10,113,11,80202
2009-03-10 00:00:00,1,-8,0.0,11.6,2,96,06:59 PM,06:51 AM,07:19 AM,07:02 PM,-11,-7,-3,-7,12,22,55,0.0,1008,-3,10,137,10,80202
2009-03-10 06:00:00,1,-8,0.0,11.6,2,96,06:59 PM,06:51 AM,07:19 AM,07:02 PM,-11,-12,-7,-12,12,49,76,0.0,1014,-8,10,1,10,80202
2009-03-10 12:00:00,1,-8,0.0,11.6,2,96,06:59 PM,06:51 AM,07:19 AM,07:02 PM,-17,-8,-3,-8,13,4,35,0.0,1021,-4,10,310,12,80202
2009-03-10 18:00:00,1,-8,0.0,11.6,2,96,06:59 PM,06:51 AM,07:19 AM,07:02 PM,-10,2,3,2,4,0,39,0.0,1018,-1,10,165,4,80202
2009-03-11 00:00:00,7,-9,0.0,11.6,2,100,08:09 PM,07:17 AM,07:18 AM,07:03 PM,-13,-11,-6,-11,25,2,59,0.0,1027,-7,10,185,13,80202
2009-03-11 06:00:00,7,-9,0.0,11.6,2,100,08:09 PM,07:17 AM,07:18 AM,07:03 PM,-17,-17,-9,-17,35,0,53,0.0,1030,-9,10,278,18,80202
2009-03-11 12:00:00,7,-9,0.0,11.6,2,100,08:09 PM,07:17 AM,07:18 AM,07:03 PM,-10,4,6,4,10,0,31,0.0,1022,3,10,324,8,80202
2009-03-11 18:00:00,7,-9,0.0,11.6,2,100,08:09 PM,07:17 AM,07:18 AM,07:03 PM,-14,-1,3,-1,24,5,27,0.0,1017,3,10,349,18,80202
2009-03-12 00:00:00,6,-6,0.4,11.6,2,90,09:17 PM,07:42 AM,07:16 AM,07:04 PM,-12,-7,-3,-7,25,3,51,0.0,1023,-4,10,233,12,80202
2009-03-12 06:00:00,6,-6,0.4,11.6,2,90,09:17 PM,07:42 AM,07:16 AM,07:04 PM,-13,-11,-6,-11,30,6,58,0.0,1026,-6,10,288,14,80202
2009-03-12 12:00:00,6,-6,0.4,11.6,2,90,09:17 PM,07:42 AM,07:16 AM,07:04 PM,-16,5,6,5,6,13,20,0.0,1021,4,10,334,5,80202
2009-03-12 18:00:00,6,-6,0.4,11.6,2,90,09:17 PM,07:42 AM,07:16 AM,07:04 PM,-10,-2,1,-2,12,45,42,0.0,1017,1,10,92,10,80202
2009-03-13 00:00:00,6,-5,0.0,11.6,2,83,10:24 PM,08:08 AM,07:14 AM,07:05 PM,-6,-6,-3,-6,14,47,76,0.0,1023,-3,10,130,9,80202
2009-03-13 06:00:00,6,-5,0.0,11.6,2,83,10:24 PM,08:08 AM,07:14 AM,07:05 PM,-7,-8,-4,-8,17,25,83,0.0,1025,-5,10,331,10,80202
2009-03-13 12:00:00,6,-5,0.0,11.6,2,83,10:24 PM,08:08 AM,07:14 AM,07:05 PM,-6,3,5,3,8,10,46,0.0,1022,4,10,54,7,80202
2009-03-13 18:00:00,6,-5,0.0,11.6,2,83,10:24 PM,08:08 AM,07:14 AM,07:05 PM,-10,4,6,4,11,1,30,0.0,1017,4,10,87,9,80202
2009-03-14 00:00:00,12,-4,0.0,11.6,2,75,11:31 PM,08:38 AM,07:13 AM,07:06 PM,-8,-7,-3,-7,24,3,64,0.0,1021,-3,10,251,12,80202
2009-03-14 06:00:00,12,-4,0.0,11.6,2,75,11:31 PM,08:38 AM,07:13 AM,07:06 PM,-9,-7,-2,-7,28,2,60,0.0,1018,-4,10,246,13,80202
2009-03-14 12:00:00,12,-4,0.0,11.6,2,75,11:31 PM,08:38 AM,07:13 AM,07:06 PM,-14,16,16,16,5,0,11,0.0,1009,12,10,43,4,80202
2009-03-14 18:00:00,12,-4,0.0,11.6,2,75,11:31 PM,08:38 AM,07:13 AM,07:06 PM,-12,12,12,12,8,0,17,0.0,1005,9,10,84,7,80202
2009-03-15 00:00:00,13,-0,0.0,11.6,3,68,No moonrise,09:11 AM,07:11 AM,07:07 PM,-8,-4,1,-4,37,2,49,0.0,1010,1,10,246,18,80202
2009-03-15 06:00:00,13,-0,0.0,11.6,3,68,No moonrise,09:11 AM,07:11 AM,07:07 PM,-2,-1,1,-1,18,3,80,0.0,1011,-0,10,257,9,80202
