date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,4,-4,0.0,9.9,2,31,11:23 AM,11:12 PM,08:26 AM,06:12 PM,-7,-2,-0,-2,6,0,60,0.0,1027,-3,10,338,5,27701
2009-01-01 06:00:00,4,-4,0.0,9.9,2,31,11:23 AM,11:12 PM,08:26 AM,06:12 PM,-12,-7,-3,-7,12,0,48,0.0,1030,-4,10,327,9,27701
2009-01-01 12:00:00,4,-4,0.0,9.9,2,31,11:23 AM,11:12 PM,08:26 AM,06:12 PM,-14,4,5,4,4,16,24,0.0,1028,4,10,76,4,27701
2009-01-01 18:00:00,4,-4,0.0,9.9,2,31,11:23 AM,11:12 PM,08:26 AM,06:12 PM,-11,-3,-0,-3,18,0,45,0.0,1027,-1,10,174,9,27701
2009-01-02 00:00:00,6,-3,0.0,8.3,2,38,11:48 AM,No moonset,08:26 AM,06:13 PM,-11,-7,-2,-7,25,4,52,0.0,1025,-2,10,206,13,27701
2009-01-02 06:00:00,6,-3,0.0,8.3,2,38,11:48 AM,No moonset,08:26 AM,06:13 PM,-6,-3,-1,-3,8,4,70,0.0,1021,-3,10,210,4,27701
2009-01-02 12:00:00,6,-3,0.0,8.3,2,38,11:48 AM,No moonset,08:26 AM,06:13 PM,0,-0,3,-0,20,100,84,0.0,1017,3,10,258,13,27701
2009-01-02 18:00:00,6,-3,0.0,8.3,2,38,11:48 AM,No moonset,08:26 AM,06:13 PM,3,1,3,1,13,100,98,0.0,1016,3,0,256,6,27701
2009-01-03 00:00:00,11,-0,0.0,9.9,1,45,12:13 PM,12:12 AM,08:26 AM,06:14 PM,1,-2,2,-2,24,10,97,0.0,1017,2,2,253,12,27701
2009-01-03 06:00:00,11,-0,0.0,9.9,1,45,12:13 PM,12:12 AM,08:26 AM,06:14 PM,-1,-2,0,-2,18,2,91,0.0,1019,-0,10,343,9,27701
2009-01-03 12:00:00,11,-0,0.0,9.9,1,45,12:13 PM,12:12 AM,08:26 AM,06:14 PM,6,14,13,14,5,2,61,0.0,1020,11,10,19,4,27701
2009-01-03 18:00:00,11,-0,0.0,9.9,1,45,12:13 PM,12:12 AM,08:26 AM,06:14 PM,2,2,4,2,11,4,89,0.0,1020,3,10,189,5,27701
2009-01-04 00:00:00,11,2,0.0,4.9,3,52,12:40 PM,01:15 AM,08:26 AM,06:15 PM,3,3,4,3,12,9,94,0.0,1021,3,10,244,6,27701
2009-01-04 06:00:00,11,2,0.0,4.9,3,52,12:40 PM,01:15 AM,08:26 AM,06:15 PM,4,3,5,3,14,100,93,0.0,1021,5,9,104,7,27701
2009-01-04 12:00:00,11,2,0.0,4.9,3,52,12:40 PM,01:15 AM,08:26 AM,06:15 PM,8,10,10,10,0,80,87,0.0,1020,10,10,83,0,27701
2009-01-04 18:00:00,11,2,0.0,4.9,3,52,12:40 PM,01:15 AM,08:26 AM,06:15 PM,9,8,9,8,15,100,98,0.0,1020,9,0,195,8,27701
2009-01-05 00:00:00,16,10,0.0,8.3,3,60,01:12 PM,02:21 AM,08:26 AM,06:16 PM,10,8,10,8,23,90,98,0.0,1019,10,10,243,14,27701
2009-01-05 06:00:00,16,10,0.0,8.3,3,60,01:12 PM,02:21 AM,08:26 AM,06:16 PM,10,9,10,9,15,100,99,0.0,1017,10,0,207,9,27701
2009-01-05 12:00:00,16,10,0.0,8.3,3,60,01:12 PM,02:21 AM,08:26 AM,06:16 PM,12,16,16,16,6,65,78,0.0,1016,16,10,203,5,27701
2009-01-05 18:00:00,16,10,0.0,8.3,3,60,01:12 PM,02:21 AM,08:26 AM,06:16 PM,12,12,12,12,5,100,99,0.0,1014,12,0,156,2,27701
2009-01-06 00:00:00,12,6,0.0,5.0,2,67,01:49 PM,03:31 AM,08:27 AM,06:17 PM,13,13,13,13,3,100,99,0.0,1014,12,0,61,2,27701
2009-01-06 06:00:00,12,6,0.0,5.0,2,67,01:49 PM,03:31 AM,08:27 AM,06:17 PM,7,6,9,6,27,100,91,0.0,1013,9,10,62,20,27701
2009-01-06 12:00:00,12,6,0.0,5.0,2,67,01:49 PM,03:31 AM,08:27 AM,06:17 PM,6,4,7,4,20,100,93,0.0,1011,7,10,27,15,27701
2009-01-06 18:00:00,12,6,0.0,5.0,2,67,01:49 PM,03:31 AM,08:27 AM,06:17 PM,4,3,6,3,28,100,86,0.0,1010,6,10,51,18,27701
2009-01-07 00:00:00,17,5,0.0,9.9,3,74,02:35 PM,04:43 AM,08:26 AM,06:17 PM,11,12,14,12,28,81,87,0.0,1003,14,10,191,17,27701
2009-01-07 06:00:00,17,5,0.0,9.9,3,74,02:35 PM,04:43 AM,08:26 AM,06:17 PM,15,16,16,16,44,72,90,0.0,996,16,10,186,27,27701
2009-01-07 12:00:00,17,5,0.0,9.9,3,74,02:35 PM,04:43 AM,08:26 AM,06:17 PM,10,13,14,13,29,20,78,0.0,993,14,10,202,21,27701
2009-01-07 18:00:00,17,5,0.0,9.9,3,74,02:35 PM,04:43 AM,08:26 AM,06:17 PM,3,4,8,4,37,14,74,0.0,999,8,10,274,21,27701
2009-01-08 00:00:00,7,1,0.0,9.9,2,82,03:32 PM,05:56 AM,08:26 AM,06:18 PM,0,1,4,1,26,4,75,0.0,1005,4,10,252,13,27701
2009-01-08 06:00:00,7,1,0.0,9.9,2,82,03:32 PM,05:56 AM,08:26 AM,06:18 PM,-1,-1,3,-1,27,8,77,0.0,1007,3,10,195,14,27701
2009-01-08 12:00:00,7,1,0.0,9.9,2,82,03:32 PM,05:56 AM,08:26 AM,06:18 PM,4,6,7,6,11,100,78,0.0,1005,7,10,297,8,27701
2009-01-08 18:00:00,7,1,0.0,9.9,2,82,03:32 PM,05:56 AM,08:26 AM,06:18 PM,-1,0,3,0,24,0,74,0.0,1010,3,10,324,12,27701
2009-01-09 00:00:00,7,-2,0.0,9.9,2,89,04:39 PM,07:05 AM,08:26 AM,06:19 PM,-3,-1,1,-1,10,0,76,0.0,1016,-1,10,300,7,27701
2009-01-09 06:00:00,7,-2,0.0,9.9,2,89,04:39 PM,07:05 AM,08:26 AM,06:19 PM,-5,-2,0,-2,10,2,66,0.0,1022,-2,10,286,7,27701
2009-01-09 12:00:00,7,-2,0.0,9.9,2,89,04:39 PM,07:05 AM,08:26 AM,06:19 PM,-5,7,8,7,8,4,39,0.0,1023,7,10,299,7,27701
2009-01-09 18:00:00,7,-2,0.0,9.9,2,89,04:39 PM,07:05 AM,08:26 AM,06:19 PM,-0,1,2,1,9,6,85,0.0,1025,1,10,200,4,27701
2009-01-10 00:00:00,12,0,0.0,9.9,3,96,05:55 PM,08:05 AM,08:26 AM,06:20 PM,1,1,2,1,8,3,92,0.0,1025,0,10,171,4,27701
2009-01-10 06:00:00,12,0,0.0,9.9,3,96,05:55 PM,08:05 AM,08:26 AM,06:20 PM,-2,-2,1,-2,26,3,78,0.0,1025,1,10,209,13,27701
2009-01-10 12:00:00,12,0,0.0,9.9,3,96,05:55 PM,08:05 AM,08:26 AM,06:20 PM,5,10,12,10,26,2,62,0.0,1020,12,10,201,20,27701
2009-01-10 18:00:00,12,0,0.0,9.9,3,96,05:55 PM,08:05 AM,08:26 AM,06:20 PM,8,9,9,9,12,46,89,0.0,1016,9,10,180,6,27701
2009-01-11 00:00:00,11,5,0.0,8.3,2,100,07:13 PM,08:55 AM,08:26 AM,06:21 PM,8,8,11,8,36,87,85,0.0,1012,11,9,213,21,27701
2009-01-11 06:00:00,11,5,0.0,8.3,2,100,07:13 PM,08:55 AM,08:26 AM,06:21 PM,10,10,11,10,14,83,95,0.0,1013,10,2,299,8,27701
2009-01-11 12:00:00,11,5,0.0,8.3,2,100,07:13 PM,08:55 AM,08:26 AM,06:21 PM,6,9,9,9,7,87,80,0.0,1014,9,10,327,5,27701
2009-01-11 18:00:00,11,5,0.0,8.3,2,100,07:13 PM,08:55 AM,08:26 AM,06:21 PM,5,5,7,5,16,48,85,0.0,1016,7,10,347,10,27701
2009-01-12 00:00:00,7,-1,0.0,10.0,2,89,08:28 PM,09:36 AM,08:26 AM,06:22 PM,-1,-1,3,-1,26,4,75,0.0,1019,3,10,313,16,27701
2009-01-12 06:00:00,7,-1,0.0,10.0,2,89,08:28 PM,09:36 AM,08:26 AM,06:22 PM,-4,-2,0,-2,13,0,76,0.0,1024,-1,10,331,8,27701
2009-01-12 12:00:00,7,-1,0.0,10.0,2,89,08:28 PM,09:36 AM,08:26 AM,06:22 PM,-2,5,7,5,11,5,52,0.0,1025,7,10,37,9,27701
2009-01-12 18:00:00,7,-1,0.0,10.0,2,89,08:28 PM,09:36 AM,08:26 AM,06:22 PM,-1,-1,2,-1,18,1,82,0.0,1026,1,10,155,9,27701
2009-01-13 00:00:00,5,-1,0.0,10.0,2,82,09:40 PM,10:10 AM,08:26 AM,06:23 PM,-1,-4,0,-4,26,6,89,0.0,1025,0,10,140,13,27701
2009-01-13 06:00:00,5,-1,0.0,10.0,2,82,09:40 PM,10:10 AM,08:26 AM,06:23 PM,-1,-2,0,-2,12,8,92,0.0,1021,-1,10,111,6,27701
2009-01-13 12:00:00,5,-1,0.0,10.0,2,82,09:40 PM,10:10 AM,08:26 AM,06:23 PM,1,3,5,3,9,14,77,0.0,1016,5,10,312,7,27701
2009-01-13 18:00:00,5,-1,0.0,10.0,2,82,09:40 PM,10:10 AM,08:26 AM,06:23 PM,-0,-1,3,-1,27,4,80,0.0,1013,3,10,252,14,27701
2009-01-14 00:00:00,5,-4,0.0,10.0,2,75,10:47 PM,10:40 AM,08:25 AM,06:24 PM,-4,-4,-0,-4,22,11,75,0.0,1016,-0,10,327,12,27701
2009-01-14 06:00:00,5,-4,0.0,10.0,2,75,10:47 PM,10:40 AM,08:25 AM,06:24 PM,-5,-3,-2,-3,7,0,74,0.0,1022,-4,10,308,5,27701
2009-01-14 12:00:00,5,-4,0.0,10.0,2,75,10:47 PM,10:40 AM,08:25 AM,06:24 PM,-9,7,7,7,0,5,33,0.0,1022,5,10,97,0,27701
2009-01-14 18:00:00,5,-4,0.0,10.0,2,75,10:47 PM,10:40 AM,08:25 AM,06:24 PM,-5,-3,0,-3,20,11,66,0.0,1021,0,10,168,9,27701
2009-01-15 00:00:00,3,-6,0.0,10.0,2,68,11:53 PM,11:08 AM,08:25 AM,06:25 PM,-2,-4,0,-4,26,5,86,0.0,1020,0,10,225,13,27701
2009-01-15 06:00:00,3,-6,0.0,10.0,2,68,11:53 PM,11:08 AM,08:25 AM,06:25 PM,-4,-3,0,-3,21,7,76,0.0,1021,-0,10,260,10,27701
2009-01-15 12:00:00,3,-6,0.0,10.0,2,68,11:53 PM,11:08 AM,08:25 AM,06:25 PM,-8,-1,3,-1,20,2,42,0.0,1026,3,10,324,17,27701
2009-01-15 18:00:00,3,-6,0.0,10.0,2,68,11:53 PM,11:08 AM,08:25 AM,06:25 PM,-12,-6,-3,-6,12,0,50,0.0,1031,-4,10,12,8,27701
2009-01-16 00:00:00,-4,-9,0.0,10.0,2,60,No moonrise,11:34 AM,08:25 AM,06:26 PM,-16,-10,-6,-10,11,0,46,0.0,1035,-7,10,337,9,27701
2009-01-16 06:00:00,-4,-9,0.0,10.0,2,60,No moonrise,11:34 AM,08:25 AM,06:26 PM,-23,-14,-9,-14,12,9,30,0.0,1039,-9,10,323,9,27701
