date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,-4,-14,0.2,2.1,1,31,11:45 AM,11:22 PM,09:13 AM,05:50 PM,-9,-17,-8,-17,51,88,94,0.0,1009,-8,10,163,31,58102
2009-01-01 06:00:00,-4,-14,0.2,2.1,1,31,11:45 AM,11:22 PM,09:13 AM,05:50 PM,-6,-12,-5,-12,34,45,95,0.0,1002,-5,10,208,19,58102
2009-01-01 12:00:00,-4,-14,0.2,2.1,1,31,11:45 AM,11:22 PM,09:13 AM,05:50 PM,-6,-12,-5,-12,38,63,93,0.0,1004,-5,10,275,25,58102
2009-01-01 18:00:00,-4,-14,0.2,2.1,1,31,11:45 AM,11:22 PM,09:13 AM,05:50 PM,-13,-22,-12,-22,44,100,91,0.0,1009,-12,10,305,31,58102
2009-01-02 00:00:00,-11,-24,2.5,5.8,1,38,12:01 PM,No moonset,09:13 AM,05:51 PM,-17,-26,-16,-26,37,92,95,0.0,1015,-16,10,303,22,58102
2009-01-02 06:00:00,-11,-24,2.5,5.8,1,38,12:01 PM,No moonset,09:13 AM,05:51 PM,-22,-30,-21,-30,26,82,96,0.0,1019,-21,10,298,13,58102
2009-01-02 12:00:00,-11,-24,2.5,5.8,1,38,12:01 PM,No moonset,09:13 AM,05:51 PM,-18,-21,-18,-21,6,37,95,0.0,1018,-18,2,94,4,58102
2009-01-02 18:00:00,-11,-24,2.5,5.8,1,38,12:01 PM,No moonset,09:13 AM,05:51 PM,-14,-20,-13,-20,22,100,93,0.0,1015,-13,10,94,15,58102
2009-01-03 00:00:00,-8,-13,3.1,2.1,1,45,12:18 PM,12:31 AM,09:13 AM,05:52 PM,-10,-18,-9,-18,38,80,95,0.0,1014,-9,10,117,25,58102
2009-01-03 06:00:00,-8,-13,3.1,2.1,1,45,12:18 PM,12:31 AM,09:13 AM,05:52 PM,-11,-18,-10,-18,29,100,94,0.0,1013,-10,10,97,19,58102
2009-01-03 12:00:00,-8,-13,3.1,2.1,1,45,12:18 PM,12:31 AM,09:13 AM,05:52 PM,-9,-11,-8,-11,7,100,97,0.0,1014,-8,0,85,5,58102
2009-01-03 18:00:00,-8,-13,3.1,2.1,1,45,12:18 PM,12:31 AM,09:13 AM,05:52 PM,-11,-19,-11,-19,32,100,95,0.0,1019,-11,10,319,23,58102
2009-01-04 00:00:00,-15,-22,0.0,5.8,1,52,12:37 PM,01:43 AM,09:13 AM,05:53 PM,-16,-26,-15,-26,43,100,95,0.0,1025,-15,10,303,29,58102
2009-01-04 06:00:00,-15,-22,0.0,5.8,1,52,12:37 PM,01:43 AM,09:13 AM,05:53 PM,-23,-33,-22,-33,31,42,93,0.0,1029,-22,10,286,18,58102
2009-01-04 12:00:00,-15,-22,0.0,5.8,1,52,12:37 PM,01:43 AM,09:13 AM,05:53 PM,-19,-28,-18,-28,29,50,93,0.0,1028,-18,10,255,21,58102
2009-01-04 18:00:00,-15,-22,0.0,5.8,1,52,12:37 PM,01:43 AM,09:13 AM,05:53 PM,-21,-30,-20,-30,33,0,93,0.0,1028,-20,10,275,17,58102
2009-01-05 00:00:00,-11,-23,0.0,5.8,1,60,01:00 PM,02:58 AM,09:12 AM,05:54 PM,-24,-30,-23,-30,17,24,97,0.0,1024,-23,2,229,8,58102
2009-01-05 06:00:00,-11,-23,0.0,5.8,1,60,01:00 PM,02:58 AM,09:12 AM,05:54 PM,-23,-29,-23,-29,16,26,98,0.0,1019,-23,0,190,8,58102
2009-01-05 12:00:00,-11,-23,0.0,5.8,1,60,01:00 PM,02:58 AM,09:12 AM,05:54 PM,-13,-18,-13,-18,14,21,97,0.0,1013,-13,0,134,9,58102
2009-01-05 18:00:00,-11,-23,0.0,5.8,1,60,01:00 PM,02:58 AM,09:12 AM,05:54 PM,-13,-19,-12,-19,28,32,93,0.0,1008,-12,10,125,14,58102
2009-01-06 00:00:00,-9,-15,0.0,2.1,1,67,01:29 PM,04:17 AM,09:12 AM,05:55 PM,-12,-18,-12,-18,25,73,98,0.0,1004,-12,0,121,12,58102
2009-01-06 06:00:00,-9,-15,0.0,2.1,1,67,01:29 PM,04:17 AM,09:12 AM,05:55 PM,-15,-17,-15,-17,7,72,99,0.0,1001,-15,0,96,3,58102
2009-01-06 12:00:00,-9,-15,0.0,2.1,1,67,01:29 PM,04:17 AM,09:12 AM,05:55 PM,-9,-12,-9,-12,8,93,97,0.0,1001,-9,2,274,6,58102
2009-01-06 18:00:00,-9,-15,0.0,2.1,1,67,01:29 PM,04:17 AM,09:12 AM,05:55 PM,-12,-20,-12,-20,29,100,96,0.0,1003,-12,10,326,20,58102
2009-01-07 00:00:00,-14,-20,0.0,2.1,1,74,02:07 PM,05:38 AM,09:12 AM,05:56 PM,-14,-22,-14,-22,24,100,97,0.0,1005,-14,10,321,15,58102
2009-01-07 06:00:00,-14,-20,0.0,2.1,1,74,02:07 PM,05:38 AM,09:12 AM,05:56 PM,-17,-25,-16,-25,23,100,95,0.0,1005,-16,10,327,16,58102
2009-01-07 12:00:00,-14,-20,0.0,2.1,1,74,02:07 PM,05:38 AM,09:12 AM,05:56 PM,-15,-24,-15,-24,30,100,96,0.0,1006,-15,10,326,22,58102
2009-01-07 18:00:00,-14,-20,0.0,2.1,1,74,02:07 PM,05:38 AM,09:12 AM,05:56 PM,-18,-28,-18,-28,38,66,96,0.0,1012,-18,10,307,23,58102
2009-01-08 00:00:00,-15,-27,0.0,5.8,1,82,03:00 PM,06:57 AM,09:12 AM,05:57 PM,-22,-29,-22,-29,21,61,98,0.0,1015,-22,0,304,10,58102
2009-01-08 06:00:00,-15,-27,0.0,5.8,1,82,03:00 PM,06:57 AM,09:12 AM,05:57 PM,-27,-32,-27,-32,10,46,99,0.0,1017,-27,0,285,5,58102
2009-01-08 12:00:00,-15,-27,0.0,5.8,1,82,03:00 PM,06:57 AM,09:12 AM,05:57 PM,-17,-20,-17,-20,7,39,95,0.0,1017,-17,2,224,5,58102
2009-01-08 18:00:00,-15,-27,0.0,5.8,1,82,03:00 PM,06:57 AM,09:12 AM,05:57 PM,-17,-23,-16,-23,22,63,96,0.0,1015,-16,2,121,12,58102
2009-01-09 00:00:00,-10,-17,0.3,2.1,1,89,04:09 PM,08:06 AM,09:11 AM,05:58 PM,-13,-19,-12,-19,24,100,96,0.0,1015,-12,10,112,15,58102
2009-01-09 06:00:00,-10,-17,0.3,2.1,1,89,04:09 PM,08:06 AM,09:11 AM,05:58 PM,-11,-18,-11,-18,25,79,96,0.0,1018,-11,10,80,17,58102
2009-01-09 12:00:00,-10,-17,0.3,2.1,1,89,04:09 PM,08:06 AM,09:11 AM,05:58 PM,-10,-17,-10,-17,24,100,96,0.0,1025,-10,10,23,17,58102
2009-01-09 18:00:00,-10,-17,0.3,2.1,1,89,04:09 PM,08:06 AM,09:11 AM,05:58 PM,-14,-22,-14,-22,29,22,95,0.0,1031,-14,10,340,18,58102
