date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,10,-2,0.0,9.9,2,31,11:26 AM,11:17 PM,08:26 AM,06:16 PM,-6,-6,-1,-6,33,2,68,0.0,1025,-1,10,127,18,72901
2009-01-01 06:00:00,10,-2,0.0,9.9,2,31,11:26 AM,11:17 PM,08:26 AM,06:16 PM,-8,-8,-2,-8,28,0,65,0.0,1022,-2,10,124,17,72901
2009-01-01 12:00:00,10,-2,0.0,9.9,2,31,11:26 AM,11:17 PM,08:26 AM,06:16 PM,-3,5,8,5,21,2,46,0.0,1016,8,10,154,18,72901
2009-01-01 18:00:00,10,-2,0.0,9.9,2,31,11:26 AM,11:17 PM,08:26 AM,06:16 PM,1,2,3,2,9,5,87,0.0,1013,3,10,109,4,72901
2009-01-02 00:00:00,14,3,0.0,9.9,3,38,11:51 AM,No moonset,08:27 AM,06:17 PM,2,-0,3,-0,28,3,94,0.0,1014,3,10,141,13,72901
2009-01-02 06:00:00,14,3,0.0,9.9,3,38,11:51 AM,No moonset,08:27 AM,06:17 PM,2,1,3,1,12,12,96,0.0,1013,3,2,111,6,72901
2009-01-02 12:00:00,14,3,0.0,9.9,3,38,11:51 AM,No moonset,08:27 AM,06:17 PM,10,11,13,11,16,52,82,0.0,1012,13,10,141,14,72901
2009-01-02 18:00:00,14,3,0.0,9.9,3,38,11:51 AM,No moonset,08:27 AM,06:17 PM,11,9,11,9,30,86,98,0.0,1009,11,10,110,15,72901
2009-01-03 00:00:00,21,13,0.0,9.9,4,45,12:16 PM,12:17 AM,08:27 AM,06:18 PM,13,12,14,12,29,95,98,0.0,1008,13,10,134,15,72901
2009-01-03 06:00:00,21,13,0.0,9.9,4,45,12:16 PM,12:17 AM,08:27 AM,06:18 PM,15,15,15,15,30,70,96,0.0,1005,15,10,168,17,72901
2009-01-03 12:00:00,21,13,0.0,9.9,4,45,12:16 PM,12:17 AM,08:27 AM,06:18 PM,16,19,19,19,29,53,83,0.0,1005,19,10,202,21,72901
2009-01-03 18:00:00,21,13,0.0,9.9,4,45,12:16 PM,12:17 AM,08:27 AM,06:18 PM,14,17,17,17,26,0,82,0.0,1005,17,10,180,13,72901
2009-01-04 00:00:00,12,-0,0.0,9.9,2,52,12:44 PM,01:20 AM,08:27 AM,06:18 PM,11,11,12,11,27,11,88,0.0,1012,12,10,302,15,72901
2009-01-04 06:00:00,12,-0,0.0,9.9,2,52,12:44 PM,01:20 AM,08:27 AM,06:18 PM,1,-1,4,-1,32,30,79,0.0,1018,4,10,316,24,72901
2009-01-04 12:00:00,12,-0,0.0,9.9,2,52,12:44 PM,01:20 AM,08:27 AM,06:18 PM,-2,1,5,1,20,1,61,0.0,1024,5,10,329,17,72901
2009-01-04 18:00:00,12,-0,0.0,9.9,2,52,12:44 PM,01:20 AM,08:27 AM,06:18 PM,-4,-1,2,-1,18,0,63,0.0,1026,2,10,1,11,72901
2009-01-05 00:00:00,1,-1,0.0,6.6,2,60,01:17 PM,02:25 AM,08:27 AM,06:19 PM,-8,-4,-1,-4,15,13,57,0.0,1028,-1,10,36,10,72901
2009-01-05 06:00:00,1,-1,0.0,6.6,2,60,01:17 PM,02:25 AM,08:27 AM,06:19 PM,-8,-4,0,-4,16,46,56,0.0,1026,0,10,55,12,72901
2009-01-05 12:00:00,1,-1,0.0,6.6,2,60,01:17 PM,02:25 AM,08:27 AM,06:19 PM,-4,-3,1,-3,17,100,69,0.0,1021,1,10,124,13,72901
2009-01-05 18:00:00,1,-1,0.0,6.6,2,60,01:17 PM,02:25 AM,08:27 AM,06:19 PM,-1,-1,1,-1,8,100,91,0.0,1014,1,10,124,6,72901
2009-01-06 00:00:00,9,1,0.0,9.9,1,67,01:55 PM,03:34 AM,08:27 AM,06:20 PM,-0,-1,1,-1,8,99,92,0.0,1011,1,10,133,6,72901
2009-01-06 06:00:00,9,1,0.0,9.9,1,67,01:55 PM,03:34 AM,08:27 AM,06:20 PM,0,-2,1,-2,19,59,92,0.0,1006,1,10,176,13,72901
2009-01-06 12:00:00,9,1,0.0,9.9,1,67,01:55 PM,03:34 AM,08:27 AM,06:20 PM,3,5,6,5,9,28,78,0.0,1003,6,10,204,8,72901
2009-01-06 18:00:00,9,1,0.0,9.9,1,67,01:55 PM,03:34 AM,08:27 AM,06:20 PM,1,0,4,0,24,42,82,0.0,1004,4,10,275,14,72901
2009-01-07 00:00:00,11,-0,0.0,9.9,2,74,02:41 PM,04:46 AM,08:27 AM,06:21 PM,-5,-5,1,-5,34,12,65,0.0,1007,0,10,270,19,72901
2009-01-07 06:00:00,11,-0,0.0,9.9,2,74,02:41 PM,04:46 AM,08:27 AM,06:21 PM,-4,-3,1,-3,32,18,67,0.0,1008,1,10,281,15,72901
2009-01-07 12:00:00,11,-0,0.0,9.9,2,74,02:41 PM,04:46 AM,08:27 AM,06:21 PM,-2,8,10,8,12,14,45,0.0,1008,10,10,287,10,72901
2009-01-07 18:00:00,11,-0,0.0,9.9,2,74,02:41 PM,04:46 AM,08:27 AM,06:21 PM,1,4,6,4,23,19,67,0.0,1006,6,10,225,11,72901
2009-01-08 00:00:00,13,2,0.0,10.0,3,82,03:39 PM,05:59 AM,08:27 AM,06:22 PM,-0,2,6,2,39,6,65,0.0,1008,6,10,261,19,72901
2009-01-08 06:00:00,13,2,0.0,10.0,3,82,03:39 PM,05:59 AM,08:27 AM,06:22 PM,-1,1,2,1,11,5,80,0.0,1014,2,10,13,5,72901
2009-01-08 12:00:00,13,2,0.0,10.0,3,82,03:39 PM,05:59 AM,08:27 AM,06:22 PM,1,10,11,10,10,4,51,0.0,1017,11,10,52,9,72901
2009-01-08 18:00:00,13,2,0.0,10.0,3,82,03:39 PM,05:59 AM,08:27 AM,06:22 PM,5,6,8,6,19,3,79,0.0,1016,8,10,101,9,72901
2009-01-09 00:00:00,16,5,0.0,6.6,4,89,04:47 PM,07:08 AM,08:27 AM,06:23 PM,4,2,6,2,45,0,88,0.0,1016,6,10,132,22,72901
2009-01-09 06:00:00,16,5,0.0,6.6,4,89,04:47 PM,07:08 AM,08:27 AM,06:23 PM,3,1,5,1,39,0,88,0.0,1014,5,10,127,19,72901
2009-01-09 12:00:00,16,5,0.0,6.6,4,89,04:47 PM,07:08 AM,08:27 AM,06:23 PM,11,15,15,15,25,72,78,0.0,1011,15,10,167,20,72901
2009-01-09 18:00:00,16,5,0.0,6.6,4,89,04:47 PM,07:08 AM,08:27 AM,06:23 PM,15,15,15,15,31,67,99,0.0,1008,15,10,122,16,72901
2009-01-10 00:00:00,15,-1,0.0,9.9,1,96,06:02 PM,08:07 AM,08:27 AM,06:24 PM,14,14,15,14,27,100,96,0.0,1012,15,10,304,17,72901
2009-01-10 06:00:00,15,-1,0.0,9.9,1,96,06:02 PM,08:07 AM,08:27 AM,06:24 PM,-1,-3,2,-3,22,86,83,0.0,1021,1,10,309,17,72901
2009-01-10 12:00:00,15,-1,0.0,9.9,1,96,06:02 PM,08:07 AM,08:27 AM,06:24 PM,-4,-3,2,-3,25,19,65,0.0,1025,2,10,337,22,72901
2009-01-10 18:00:00,15,-1,0.0,9.9,1,96,06:02 PM,08:07 AM,08:27 AM,06:24 PM,-6,-4,-0,-4,15,0,68,0.0,1027,-0,10,314,9,72901
2009-01-11 00:00:00,10,-2,0.0,10.0,2,100,07:19 PM,08:57 AM,08:27 AM,06:25 PM,-7,-6,-2,-6,19,0,66,0.0,1029,-2,10,311,12,72901
2009-01-11 06:00:00,10,-2,0.0,10.0,2,100,07:19 PM,08:57 AM,08:27 AM,06:25 PM,-9,-6,-2,-6,20,0,62,0.0,1028,-2,10,246,11,72901
2009-01-11 12:00:00,10,-2,0.0,10.0,2,100,07:19 PM,08:57 AM,08:27 AM,06:25 PM,-6,6,8,6,15,3,37,0.0,1027,8,10,302,13,72901
2009-01-11 18:00:00,10,-2,0.0,10.0,2,100,07:19 PM,08:57 AM,08:27 AM,06:25 PM,-2,0,3,0,23,6,66,0.0,1024,3,10,310,11,72901
2009-01-12 00:00:00,13,1,0.0,10.0,3,89,08:34 PM,09:39 AM,08:26 AM,06:26 PM,-3,1,1,1,7,7,75,0.0,1024,1,10,159,3,72901
2009-01-12 06:00:00,13,1,0.0,10.0,3,89,08:34 PM,09:39 AM,08:26 AM,06:26 PM,-4,1,3,1,20,86,59,0.0,1022,3,10,138,9,72901
2009-01-12 12:00:00,13,1,0.0,10.0,3,89,08:34 PM,09:39 AM,08:26 AM,06:26 PM,0,11,13,11,30,6,41,0.0,1019,13,10,204,23,72901
2009-01-12 18:00:00,13,1,0.0,10.0,3,89,08:34 PM,09:39 AM,08:26 AM,06:26 PM,2,6,8,6,31,45,65,0.0,1019,8,10,284,15,72901
2009-01-13 00:00:00,3,-5,0.0,10.0,2,82,09:45 PM,10:13 AM,08:26 AM,06:27 PM,-3,-4,2,-4,44,6,68,0.0,1025,2,10,334,28,72901
2009-01-13 06:00:00,3,-5,0.0,10.0,2,82,09:45 PM,10:13 AM,08:26 AM,06:27 PM,-11,-11,-5,-11,33,0,61,0.0,1030,-5,10,326,22,72901
2009-01-13 12:00:00,3,-5,0.0,10.0,2,82,09:45 PM,10:13 AM,08:26 AM,06:27 PM,-16,-4,0,-4,17,5,29,0.0,1031,0,10,324,14,72901
2009-01-13 18:00:00,3,-5,0.0,10.0,2,82,09:45 PM,10:13 AM,08:26 AM,06:27 PM,-13,-2,-2,-2,6,9,42,0.0,1027,-2,10,207,3,72901
2009-01-14 00:00:00,10,-3,0.0,10.0,2,75,10:52 PM,10:43 AM,08:26 AM,06:28 PM,-13,-6,-2,-6,26,6,43,0.0,1024,-1,10,189,12,72901
2009-01-14 06:00:00,10,-3,0.0,10.0,2,75,10:52 PM,10:43 AM,08:26 AM,06:28 PM,-10,-5,-1,-5,24,10,50,0.0,1023,-1,10,231,12,72901
2009-01-14 12:00:00,10,-3,0.0,10.0,2,75,10:52 PM,10:43 AM,08:26 AM,06:28 PM,-6,6,9,6,20,5,35,0.0,1024,9,10,276,17,72901
2009-01-14 18:00:00,10,-3,0.0,10.0,2,75,10:52 PM,10:43 AM,08:26 AM,06:28 PM,-3,-2,3,-2,37,13,66,0.0,1029,3,10,347,21,72901
2009-01-15 00:00:00,-2,-6,0.0,10.0,2,68,11:57 PM,11:11 AM,08:26 AM,06:29 PM,-12,-8,-3,-8,16,50,52,0.0,1035,-3,10,353,11,72901
