date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,1,-7,0.0,5.2,2,31,11:52 AM,11:36 PM,09:06 AM,06:23 PM,-11,-6,-6,-6,2,29,68,0.0,1030,-7,10,304,1,46802
2009-01-01 06:00:00,1,-7,0.0,5.2,2,31,11:52 AM,11:36 PM,09:06 AM,06:23 PM,-13,-13,-7,-13,20,3,64,0.0,1027,-7,10,152,13,46802
2009-01-01 12:00:00,1,-7,0.0,5.2,2,31,11:52 AM,11:36 PM,09:06 AM,06:23 PM,-15,-5,-0,-5,21,100,31,0.0,1022,-0,10,156,18,46802
2009-01-01 18:00:00,1,-7,0.0,5.2,2,31,11:52 AM,11:36 PM,09:06 AM,06:23 PM,-13,-6,-1,-6,26,100,39,0.0,1014,-1,10,183,15,46802
2009-01-02 00:00:00,2,-4,0.0,8.7,1,38,12:13 PM,No moonset,09:06 AM,06:24 PM,-8,-5,-0,-5,31,78,57,0.0,1010,-0,10,258,17,46802
2009-01-02 06:00:00,2,-4,0.0,8.7,1,38,12:13 PM,No moonset,09:06 AM,06:24 PM,-6,-7,-1,-7,31,49,70,0.0,1010,-1,10,247,18,46802
2009-01-02 12:00:00,2,-4,0.0,8.7,1,38,12:13 PM,No moonset,09:06 AM,06:24 PM,-7,-3,2,-3,31,16,51,0.0,1012,2,10,273,27,46802
2009-01-02 18:00:00,2,-4,0.0,8.7,1,38,12:13 PM,No moonset,09:06 AM,06:24 PM,-8,-8,-3,-8,19,9,68,0.0,1016,-3,10,321,11,46802
2009-01-03 00:00:00,2,-5,0.0,8.7,2,45,12:35 PM,12:40 AM,09:06 AM,06:25 PM,-10,-10,-5,-10,16,13,66,0.0,1019,-5,10,73,11,46802
2009-01-03 06:00:00,2,-5,0.0,8.7,2,45,12:35 PM,12:40 AM,09:06 AM,06:25 PM,-11,-11,-5,-11,25,14,62,0.0,1021,-5,10,72,15,46802
2009-01-03 12:00:00,2,-5,0.0,8.7,2,45,12:35 PM,12:40 AM,09:06 AM,06:25 PM,-11,-2,2,-2,21,18,38,0.0,1020,2,10,98,18,46802
2009-01-03 18:00:00,2,-5,0.0,8.7,2,45,12:35 PM,12:40 AM,09:06 AM,06:25 PM,-8,-6,-1,-6,34,22,56,0.0,1018,-0,10,95,20,46802
2009-01-04 00:00:00,5,-1,0.0,3.5,1,52,12:59 PM,01:47 AM,09:06 AM,06:26 PM,-3,-5,1,-5,36,100,73,0.0,1017,1,10,98,23,46802
2009-01-04 06:00:00,5,-1,0.0,3.5,1,52,12:59 PM,01:47 AM,09:06 AM,06:26 PM,2,-2,3,-2,33,100,96,0.0,1012,3,10,127,18,46802
2009-01-04 12:00:00,5,-1,0.0,3.5,1,52,12:59 PM,01:47 AM,09:06 AM,06:26 PM,5,1,5,1,32,100,95,0.0,1015,5,10,280,21,46802
2009-01-04 18:00:00,5,-1,0.0,3.5,1,52,12:59 PM,01:47 AM,09:06 AM,06:26 PM,-2,-6,0,-6,34,100,88,0.0,1022,-0,10,294,24,46802
2009-01-05 00:00:00,-0,-5,0.0,8.7,2,60,01:27 PM,02:56 AM,09:06 AM,06:26 PM,-8,-10,-4,-10,33,19,72,0.0,1025,-3,10,296,22,46802
