date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,-3,-9,0.0,6.9,2,31,11:56 AM,11:38 PM,09:14 AM,06:19 PM,-10,-12,-9,-12,11,35,93,0.0,1028,-9,10,184,6,49503
2009-01-01 06:00:00,-3,-9,0.0,6.9,2,31,11:56 AM,11:38 PM,09:14 AM,06:19 PM,-10,-13,-9,-13,12,11,90,0.0,1025,-9,10,151,8,49503
2009-01-01 12:00:00,-3,-9,0.0,6.9,2,31,11:56 AM,11:38 PM,09:14 AM,06:19 PM,-8,-12,-5,-12,29,57,81,0.0,1019,-5,10,187,22,49503
2009-01-01 18:00:00,-3,-9,0.0,6.9,2,31,11:56 AM,11:38 PM,09:14 AM,06:19 PM,-7,-8,-4,-8,19,49,81,0.0,1011,-4,10,206,11,49503
2009-01-02 00:00:00,-2,-7,0.0,3.4,2,38,12:15 PM,No moonset,09:14 AM,06:20 PM,-5,-8,-3,-8,30,31,84,0.0,1007,-3,10,248,15,49503
2009-01-02 06:00:00,-2,-7,0.0,3.4,2,38,12:15 PM,No moonset,09:14 AM,06:20 PM,-3,-7,-2,-7,32,81,88,0.0,1006,-2,10,257,19,49503
2009-01-02 12:00:00,-2,-7,0.0,3.4,2,38,12:15 PM,No moonset,09:14 AM,06:20 PM,-8,-12,-4,-12,32,76,78,0.0,1011,-4,10,282,26,49503
2009-01-02 18:00:00,-2,-7,0.0,3.4,2,38,12:15 PM,No moonset,09:14 AM,06:20 PM,-9,-11,-7,-11,14,100,83,0.0,1017,-7,10,286,10,49503
2009-01-03 00:00:00,-3,-8,0.0,8.7,2,45,12:36 PM,12:43 AM,09:14 AM,06:21 PM,-9,-10,-8,-10,8,47,87,0.0,1020,-8,10,210,5,49503
2009-01-03 06:00:00,-3,-8,0.0,8.7,2,45,12:36 PM,12:43 AM,09:14 AM,06:21 PM,-10,-13,-8,-13,18,18,85,0.0,1022,-8,10,76,10,49503
2009-01-03 12:00:00,-3,-8,0.0,8.7,2,45,12:36 PM,12:43 AM,09:14 AM,06:21 PM,-6,-7,-3,-7,16,33,76,0.0,1021,-3,10,93,13,49503
2009-01-03 18:00:00,-3,-8,0.0,8.7,2,45,12:36 PM,12:43 AM,09:14 AM,06:21 PM,-6,-10,-4,-10,29,13,84,0.0,1020,-4,10,92,18,49503
2009-01-04 00:00:00,1,-4,0.0,3.4,1,52,12:59 PM,01:51 AM,09:14 AM,06:22 PM,-5,-9,-3,-9,32,91,86,0.0,1017,-3,10,114,22,49503
2009-01-04 06:00:00,1,-4,0.0,3.4,1,52,12:59 PM,01:51 AM,09:14 AM,06:22 PM,-2,-6,-1,-6,25,100,92,0.0,1013,-1,10,126,17,49503
2009-01-04 12:00:00,1,-4,0.0,3.4,1,52,12:59 PM,01:51 AM,09:14 AM,06:22 PM,0,-3,1,-3,16,100,98,0.0,1014,1,0,268,10,49503
2009-01-04 18:00:00,1,-4,0.0,3.4,1,52,12:59 PM,01:51 AM,09:14 AM,06:22 PM,-3,-8,-2,-8,29,100,90,0.0,1020,-2,10,280,19,49503
2009-01-05 00:00:00,-4,-8,0.0,8.7,2,60,01:25 PM,03:02 AM,09:14 AM,06:23 PM,-9,-10,-6,-10,12,12,81,0.0,1024,-6,10,284,8,49503
2009-01-05 06:00:00,-4,-8,0.0,8.7,2,60,01:25 PM,03:02 AM,09:14 AM,06:23 PM,-11,-13,-8,-13,15,2,81,0.0,1024,-8,10,255,10,49503
2009-01-05 12:00:00,-4,-8,0.0,8.7,2,60,01:25 PM,03:02 AM,09:14 AM,06:23 PM,-9,-10,-4,-10,18,3,70,0.0,1021,-4,10,260,15,49503
2009-01-05 18:00:00,-4,-8,0.0,8.7,2,60,01:25 PM,03:02 AM,09:14 AM,06:23 PM,-9,-10,-6,-10,18,0,78,0.0,1018,-6,10,188,10,49503
2009-01-06 00:00:00,-2,-8,0.0,8.7,2,67,01:57 PM,04:17 AM,09:14 AM,06:24 PM,-10,-12,-7,-12,20,0,78,0.0,1016,-7,10,202,10,49503
2009-01-06 06:00:00,-2,-8,0.0,8.7,2,67,01:57 PM,04:17 AM,09:14 AM,06:24 PM,-12,-11,-8,-11,15,22,71,0.0,1013,-8,10,97,7,49503
