date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,1,-3,0.0,9.8,2,31,11:13 AM,11:01 PM,08:19 AM,06:00 PM,-9,-8,-2,-8,35,0,58,0.0,1024,-2,10,338,24,23669
2009-01-01 06:00:00,1,-3,0.0,9.8,2,31,11:13 AM,11:01 PM,08:19 AM,06:00 PM,-10,-9,-3,-9,32,2,56,0.0,1028,-3,10,333,23,23669
2009-01-01 12:00:00,1,-3,0.0,9.8,2,31,11:13 AM,11:01 PM,08:19 AM,06:00 PM,-10,-2,1,-2,15,9,43,0.0,1028,1,10,352,13,23669
2009-01-01 18:00:00,1,-3,0.0,9.8,2,31,11:13 AM,11:01 PM,08:19 AM,06:00 PM,-11,-3,-2,-3,10,3,48,0.0,1027,-2,10,212,5,23669
2009-01-02 00:00:00,5,-1,0.0,9.8,2,38,11:38 AM,No moonset,08:19 AM,06:00 PM,-9,-5,-1,-5,23,5,52,0.0,1024,-1,10,202,14,23669
2009-01-02 06:00:00,5,-1,0.0,9.8,2,38,11:38 AM,No moonset,08:19 AM,06:00 PM,-9,-5,0,-5,28,8,51,0.0,1021,0,10,214,17,23669
2009-01-02 12:00:00,5,-1,0.0,9.8,2,38,11:38 AM,No moonset,08:19 AM,06:00 PM,0,1,5,1,23,95,73,0.0,1015,5,10,244,16,23669
2009-01-02 18:00:00,5,-1,0.0,9.8,2,38,11:38 AM,No moonset,08:19 AM,06:00 PM,2,0,4,0,23,26,92,0.0,1013,4,10,258,14,23669
2009-01-03 00:00:00,8,2,0.0,9.8,2,45,12:02 PM,12:02 AM,08:19 AM,06:01 PM,3,1,4,1,28,4,90,0.0,1015,4,10,263,15,23669
2009-01-03 06:00:00,8,2,0.0,9.8,2,45,12:02 PM,12:02 AM,08:19 AM,06:01 PM,1,0,2,0,17,1,90,0.0,1019,2,10,343,8,23669
2009-01-03 12:00:00,8,2,0.0,9.8,2,45,12:02 PM,12:02 AM,08:19 AM,06:01 PM,1,7,8,7,9,3,59,0.0,1020,8,10,33,8,23669
2009-01-03 18:00:00,8,2,0.0,9.8,2,45,12:02 PM,12:02 AM,08:19 AM,06:01 PM,-1,2,4,2,11,3,72,0.0,1021,4,10,123,5,23669
2009-01-04 00:00:00,10,2,0.0,9.8,3,52,12:28 PM,01:05 AM,08:19 AM,06:02 PM,0,3,3,3,3,5,82,0.0,1022,2,10,23,1,23669
2009-01-04 06:00:00,10,2,0.0,9.8,3,52,12:28 PM,01:05 AM,08:19 AM,06:02 PM,-1,1,3,1,17,6,76,0.0,1022,3,10,107,9,23669
2009-01-04 12:00:00,10,2,0.0,9.8,3,52,12:28 PM,01:05 AM,08:19 AM,06:02 PM,3,9,9,9,5,71,66,0.0,1021,9,10,132,4,23669
2009-01-04 18:00:00,10,2,0.0,9.8,3,52,12:28 PM,01:05 AM,08:19 AM,06:02 PM,5,6,6,6,10,14,91,0.0,1020,6,10,207,5,23669
2009-01-05 00:00:00,13,7,0.0,4.9,2,60,12:59 PM,02:12 AM,08:19 AM,06:03 PM,7,6,7,6,16,65,96,0.0,1017,7,2,237,9,23669
2009-01-05 06:00:00,13,7,0.0,4.9,2,60,12:59 PM,02:12 AM,08:19 AM,06:03 PM,9,7,9,7,19,100,97,0.0,1016,9,2,237,12,23669
2009-01-05 12:00:00,13,7,0.0,4.9,2,60,12:59 PM,02:12 AM,08:19 AM,06:03 PM,11,12,13,12,10,100,90,0.0,1016,13,10,332,7,23669
2009-01-05 18:00:00,13,7,0.0,4.9,2,60,12:59 PM,02:12 AM,08:19 AM,06:03 PM,7,7,9,7,18,100,90,0.0,1016,9,10,39,12,23669
2009-01-06 00:00:00,8,6,0.0,4.9,2,67,01:36 PM,03:22 AM,08:19 AM,06:04 PM,5,5,8,5,20,100,85,0.0,1016,8,10,47,13,23669
2009-01-06 06:00:00,8,6,0.0,4.9,2,67,01:36 PM,03:22 AM,08:19 AM,06:04 PM,4,2,6,2,26,100,89,0.0,1016,6,10,57,18,23669
2009-01-06 12:00:00,8,6,0.0,4.9,2,67,01:36 PM,03:22 AM,08:19 AM,06:04 PM,6,5,7,5,20,97,91,0.0,1012,7,10,35,14,23669
2009-01-06 18:00:00,8,6,0.0,4.9,2,67,01:36 PM,03:22 AM,08:19 AM,06:04 PM,4,3,6,3,16,100,90,0.0,1011,6,10,15,12,23669
2009-01-07 00:00:00,19,8,0.0,8.3,4,74,02:21 PM,04:35 AM,08:19 AM,06:05 PM,7,7,8,7,16,48,91,0.0,1005,8,10,191,10,23669
2009-01-07 06:00:00,19,8,0.0,8.3,4,74,02:21 PM,04:35 AM,08:19 AM,06:05 PM,14,15,15,15,34,88,90,0.0,997,15,10,186,18,23669
2009-01-07 12:00:00,19,8,0.0,8.3,4,74,02:21 PM,04:35 AM,08:19 AM,06:05 PM,12,15,15,15,25,45,82,0.0,993,15,10,216,14,23669
2009-01-07 18:00:00,19,8,0.0,8.3,4,74,02:21 PM,04:35 AM,08:19 AM,06:05 PM,8,8,11,8,46,100,83,0.0,993,11,10,262,28,23669
2009-01-08 00:00:00,10,3,0.0,9.9,3,82,03:18 PM,05:49 AM,08:19 AM,06:05 PM,2,3,6,3,33,0,73,0.0,1001,6,10,251,19,23669
2009-01-08 06:00:00,10,3,0.0,9.9,3,82,03:18 PM,05:49 AM,08:19 AM,06:05 PM,-0,1,5,1,30,10,70,0.0,1005,5,10,239,17,23669
2009-01-08 12:00:00,10,3,0.0,9.9,3,82,03:18 PM,05:49 AM,08:19 AM,06:05 PM,3,7,10,7,33,32,61,0.0,1003,10,10,260,24,23669
2009-01-08 18:00:00,10,3,0.0,9.9,3,82,03:18 PM,05:49 AM,08:19 AM,06:05 PM,-1,1,5,1,35,3,64,0.0,1008,5,10,326,20,23669
2009-01-09 00:00:00,5,-0,0.0,9.9,2,89,04:25 PM,06:58 AM,08:19 AM,06:06 PM,-4,-4,1,-4,32,5,70,0.0,1013,1,10,334,20,23669
2009-01-09 06:00:00,5,-0,0.0,9.9,2,89,04:25 PM,06:58 AM,08:19 AM,06:06 PM,-5,-4,-1,-4,20,3,69,0.0,1020,-0,10,300,12,23669
2009-01-09 12:00:00,5,-0,0.0,9.9,2,89,04:25 PM,06:58 AM,08:19 AM,06:06 PM,-5,2,5,2,17,1,46,0.0,1022,5,10,301,14,23669
2009-01-09 18:00:00,5,-0,0.0,9.9,2,89,04:25 PM,06:58 AM,08:19 AM,06:06 PM,-5,0,2,0,12,23,60,0.0,1025,2,10,291,6,23669
2009-01-10 00:00:00,13,2,0.0,9.9,3,96,05:41 PM,07:58 AM,08:19 AM,06:07 PM,-3,-0,2,-0,15,17,67,0.0,1026,2,10,198,8,23669
2009-01-10 06:00:00,13,2,0.0,9.9,3,96,05:41 PM,07:58 AM,08:19 AM,06:07 PM,-2,-1,3,-1,23,7,70,0.0,1025,3,10,204,13,23669
2009-01-10 12:00:00,13,2,0.0,9.9,3,96,05:41 PM,07:58 AM,08:19 AM,06:07 PM,3,8,11,8,29,3,59,0.0,1020,11,10,201,21,23669
2009-01-10 18:00:00,13,2,0.0,9.9,3,96,05:41 PM,07:58 AM,08:19 AM,06:07 PM,9,9,11,9,30,81,89,0.0,1016,11,10,202,16,23669
2009-01-11 00:00:00,12,3,0.0,9.9,2,100,06:59 PM,08:47 AM,08:19 AM,06:08 PM,9,10,12,10,38,66,80,0.0,1011,12,9,213,21,23669
2009-01-11 06:00:00,12,3,0.0,9.9,2,100,06:59 PM,08:47 AM,08:19 AM,06:08 PM,11,10,12,10,31,100,95,0.0,1011,12,10,251,17,23669
2009-01-11 12:00:00,12,3,0.0,9.9,2,100,06:59 PM,08:47 AM,08:19 AM,06:08 PM,4,3,7,3,31,52,82,0.0,1015,7,10,25,22,23669
