date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,-7,-14,0.0,8.7,2,31,11:02 AM,10:43 PM,08:18 AM,05:31 PM,-18,-22,-12,-22,41,25,63,0.0,1013,-12,10,332,30,06103
2009-01-01 06:00:00,-7,-14,0.0,8.7,2,31,11:02 AM,10:43 PM,08:18 AM,05:31 PM,-19,-23,-14,-23,26,0,62,0.0,1021,-14,10,317,19,06103
2009-01-01 12:00:00,-7,-14,0.0,8.7,2,31,11:02 AM,10:43 PM,08:18 AM,05:31 PM,-17,-15,-7,-15,26,3,46,0.0,1021,-7,10,319,22,06103
2009-01-01 18:00:00,-7,-14,0.0,8.7,2,31,11:02 AM,10:43 PM,08:18 AM,05:31 PM,-15,-16,-10,-16,24,22,65,0.0,1024,-10,10,308,14,06103
2009-01-02 00:00:00,-1,-11,0.0,5.2,2,38,11:23 AM,11:48 PM,08:18 AM,05:32 PM,-13,-10,-10,-10,3,45,81,0.0,1022,-11,10,258,2,06103
2009-01-02 06:00:00,-1,-11,0.0,5.2,2,38,11:23 AM,11:48 PM,08:18 AM,05:32 PM,-12,-13,-8,-13,16,66,75,0.0,1017,-8,10,201,9,06103
2009-01-02 12:00:00,-1,-11,0.0,5.2,2,38,11:23 AM,11:48 PM,08:18 AM,05:32 PM,-3,-6,-1,-6,21,75,86,0.0,1010,-1,10,238,15,06103
2009-01-02 18:00:00,-1,-11,0.0,5.2,2,38,11:23 AM,11:48 PM,08:18 AM,05:32 PM,-5,-6,-4,-6,11,23,97,0.0,1007,-5,2,276,5,06103
2009-01-03 00:00:00,-0,-6,0.0,6.9,2,45,11:44 AM,No moonset,08:18 AM,05:33 PM,-3,-6,-2,-6,25,28,94,0.0,1006,-2,10,290,13,06103
2009-01-03 06:00:00,-0,-6,0.0,6.9,2,45,11:44 AM,No moonset,08:18 AM,05:33 PM,-6,-8,-3,-8,31,7,83,0.0,1011,-3,10,297,17,06103
