date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,0,0,0.0,8.7,2,31,11:05 AM,10:48 PM,08:18 AM,05:38 PM,-10,-15,-6,-15,41,16,72,0.0,1015,-6,10,325,34,11550
2009-01-01 06:00:00,0,0,0.0,8.7,2,31,11:05 AM,10:48 PM,08:18 AM,05:38 PM,-12,-17,-8,-17,34,6,74,0.0,1023,-8,10,318,28,11550
2009-01-01 12:00:00,0,0,0.0,8.7,2,31,11:05 AM,10:48 PM,08:18 AM,05:38 PM,-11,-10,-3,-10,31,3,54,0.0,1024,-3,10,308,27,11550
2009-01-01 18:00:00,0,0,0.0,8.7,2,31,11:05 AM,10:48 PM,08:18 AM,05:38 PM,-11,-10,-4,-10,26,17,59,0.0,1025,-4,10,304,17,11550
2009-01-02 00:00:00,0,0,0.0,5.2,1,38,11:27 AM,11:52 PM,08:18 AM,05:39 PM,-10,-8,-4,-8,14,73,62,0.0,1023,-5,10,279,9,11550
2009-01-02 06:00:00,0,0,0.0,5.2,1,38,11:27 AM,11:52 PM,08:18 AM,05:39 PM,-8,-7,-1,-7,34,57,61,0.0,1018,-1,10,205,21,11550
2009-01-02 12:00:00,0,0,0.0,5.2,1,38,11:27 AM,11:52 PM,08:18 AM,05:39 PM,-2,-4,1,-4,31,100,78,0.0,1011,1,10,246,23,11550
2009-01-02 18:00:00,0,0,0.0,5.2,1,38,11:27 AM,11:52 PM,08:18 AM,05:39 PM,-2,-3,1,-3,19,57,86,0.0,1008,0,10,249,12,11550
2009-01-03 00:00:00,0,0,0.0,8.7,1,45,11:49 AM,No moonset,08:18 AM,05:40 PM,-1,-3,2,-3,40,87,82,0.0,1008,2,10,281,24,11550
2009-01-03 06:00:00,0,0,0.0,8.7,1,45,11:49 AM,No moonset,08:18 AM,05:40 PM,-5,-6,-1,-6,33,0,74,0.0,1014,-1,10,297,21,11550
2009-01-03 12:00:00,0,0,0.0,8.7,1,45,11:49 AM,No moonset,08:18 AM,05:40 PM,-4,-2,3,-2,38,10,61,0.0,1015,3,10,294,28,11550
