date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-03-01 00:00:00,17,-3,0.0,11.6,3,30,09:45 AM,No moonset,07:36 AM,07:03 PM,-18,0,3,0,16,4,19,0.0,1031,2,10,110,8,87102
2009-03-01 06:00:00,17,-3,0.0,11.6,3,30,09:45 AM,No moonset,07:36 AM,07:03 PM,-15,-1,-1,-1,5,5,36,0.0,1031,-3,10,164,3,87102
2009-03-01 12:00:00,17,-3,0.0,11.6,3,30,09:45 AM,No moonset,07:36 AM,07:03 PM,-15,11,12,11,10,12,14,0.0,1027,12,10,229,8,87102
2009-03-01 18:00:00,17,-3,0.0,11.6,3,30,09:45 AM,No moonset,07:36 AM,07:03 PM,-16,14,14,14,13,22,11,0.0,1021,14,10,209,9,87102
2009-03-02 00:00:00,22,0,0.0,11.6,3,37,10:24 AM,12:13 AM,07:35 AM,07:03 PM,-16,2,5,2,21,0,21,0.0,1025,5,10,208,10,87102
2009-03-02 06:00:00,22,0,0.0,11.6,3,37,10:24 AM,12:13 AM,07:35 AM,07:03 PM,-15,-0,2,-0,14,0,27,0.0,1024,0,10,173,6,87102
2009-03-02 12:00:00,22,0,0.0,11.6,3,37,10:24 AM,12:13 AM,07:35 AM,07:03 PM,-16,17,17,17,7,0,9,0.0,1021,16,10,233,6,87102
2009-03-02 18:00:00,22,0,0.0,11.6,3,37,10:24 AM,12:13 AM,07:35 AM,07:03 PM,-14,18,18,18,6,0,10,0.0,1016,15,10,233,3,87102
2009-03-03 00:00:00,22,1,0.0,11.6,4,45,11:12 AM,01:22 AM,07:33 AM,07:04 PM,-15,4,6,4,17,13,20,0.0,1020,6,10,212,8,87102
2009-03-03 06:00:00,22,1,0.0,11.6,4,45,11:12 AM,01:22 AM,07:33 AM,07:04 PM,-15,0,2,0,12,17,27,0.0,1020,1,10,270,6,87102
2009-03-03 12:00:00,22,1,0.0,11.6,4,45,11:12 AM,01:22 AM,07:33 AM,07:04 PM,-11,17,17,17,17,5,13,0.0,1017,17,10,265,14,87102
2009-03-03 18:00:00,22,1,0.0,11.6,4,45,11:12 AM,01:22 AM,07:33 AM,07:04 PM,-5,19,19,19,27,19,20,0.0,1014,19,10,339,16,87102
2009-03-04 00:00:00,21,8,0.0,11.6,4,52,12:08 PM,02:29 AM,07:32 AM,07:05 PM,-0,10,10,10,4,46,48,0.0,1018,10,10,168,2,87102
2009-03-04 06:00:00,21,8,0.0,11.6,4,52,12:08 PM,02:29 AM,07:32 AM,07:05 PM,2,8,8,8,6,47,64,0.0,1016,8,10,278,3,87102
2009-03-04 12:00:00,21,8,0.0,11.6,4,52,12:08 PM,02:29 AM,07:32 AM,07:05 PM,-8,19,19,19,12,4,16,0.0,1016,19,10,218,11,87102
2009-03-04 18:00:00,21,8,0.0,11.6,4,52,12:08 PM,02:29 AM,07:32 AM,07:05 PM,-9,21,21,21,30,32,13,0.0,1009,21,10,260,21,87102
2009-03-05 00:00:00,20,7,0.0,11.6,4,59,01:13 PM,03:32 AM,07:31 AM,07:06 PM,-8,8,10,8,33,33,26,0.0,1015,10,10,237,15,87102
2009-03-05 06:00:00,20,7,0.0,11.6,4,59,01:13 PM,03:32 AM,07:31 AM,07:06 PM,-5,4,7,4,34,12,42,0.0,1016,7,10,211,16,87102
2009-03-05 12:00:00,20,7,0.0,11.6,4,59,01:13 PM,03:32 AM,07:31 AM,07:06 PM,-10,18,18,18,26,2,14,0.0,1013,18,10,241,22,87102
2009-03-05 18:00:00,20,7,0.0,11.6,4,59,01:13 PM,03:32 AM,07:31 AM,07:06 PM,-8,17,17,17,61,23,17,0.0,1012,17,10,244,42,87102
2009-03-06 00:00:00,17,9,0.0,11.6,4,67,02:23 PM,04:26 AM,07:29 AM,07:07 PM,-1,10,12,10,21,45,40,0.0,1016,12,10,224,13,87102
2009-03-06 06:00:00,17,9,0.0,11.6,4,67,02:23 PM,04:26 AM,07:29 AM,07:07 PM,0,7,9,7,27,99,54,0.0,1015,9,10,211,16,87102
2009-03-06 12:00:00,17,9,0.0,11.6,4,67,02:23 PM,04:26 AM,07:29 AM,07:07 PM,-5,17,17,17,24,45,21,0.0,1011,17,10,230,21,87102
2009-03-06 18:00:00,17,9,0.0,11.6,4,67,02:23 PM,04:26 AM,07:29 AM,07:07 PM,-2,12,14,12,45,23,32,0.0,1009,14,10,220,30,87102
