date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,9,-3,0.0,8.7,2,31,11:11 AM,10:59 PM,08:20 AM,05:46 PM,-1,-2,1,-2,15,3,85,0.0,1009,-0,10,265,7,80012
2009-01-01 06:00:00,9,-3,0.0,8.7,2,31,11:11 AM,10:59 PM,08:20 AM,05:46 PM,-3,-2,-1,-2,10,3,86,0.0,1011,-3,10,290,5,80012
2009-01-01 12:00:00,9,-3,0.0,8.7,2,31,11:11 AM,10:59 PM,08:20 AM,05:46 PM,1,13,13,13,5,2,44,0.0,1008,9,10,97,4,80012
2009-01-01 18:00:00,9,-3,0.0,8.7,2,31,11:11 AM,10:59 PM,08:20 AM,05:46 PM,-0,2,2,2,6,3,86,0.0,1008,-0,10,138,3,80012
2009-01-02 00:00:00,12,-1,0.0,8.7,2,38,11:34 AM,No moonset,08:20 AM,05:47 PM,-1,-0,1,-0,8,5,90,0.0,1008,-1,10,128,4,80012
2009-01-02 06:00:00,12,-1,0.0,8.7,2,38,11:34 AM,No moonset,08:20 AM,05:47 PM,0,-0,2,-0,15,5,89,0.0,1008,1,10,190,7,80012
2009-01-02 12:00:00,12,-1,0.0,8.7,2,38,11:34 AM,No moonset,08:20 AM,05:47 PM,1,8,10,8,23,2,53,0.0,1003,10,10,197,15,80012
2009-01-02 18:00:00,12,-1,0.0,8.7,2,38,11:34 AM,No moonset,08:20 AM,05:47 PM,3,5,5,5,7,4,88,0.0,998,4,10,256,3,80012
2009-01-03 00:00:00,4,-6,0.2,7.0,2,45,11:56 AM,12:02 AM,08:20 AM,05:48 PM,0,-0,4,-0,40,6,77,0.0,998,4,10,199,19,80012
2009-01-03 06:00:00,4,-6,0.2,7.0,2,45,11:56 AM,12:02 AM,08:20 AM,05:48 PM,1,1,2,1,11,4,88,0.0,996,1,10,159,5,80012
2009-01-03 12:00:00,4,-6,0.2,7.0,2,45,11:56 AM,12:02 AM,08:20 AM,05:48 PM,-6,-7,-3,-7,13,65,81,0.0,1009,-3,10,70,11,80012
2009-01-03 18:00:00,4,-6,0.2,7.0,2,45,11:56 AM,12:02 AM,08:20 AM,05:48 PM,-7,-8,-5,-8,10,58,81,0.0,1018,-5,10,47,8,80012
2009-01-04 00:00:00,-4,-12,0.1,8.7,1,52,12:21 PM,01:07 AM,08:20 AM,05:49 PM,-11,-13,-8,-13,12,89,79,0.0,1027,-8,10,55,10,80012
2009-01-04 06:00:00,-4,-12,0.1,8.7,1,52,12:21 PM,01:07 AM,08:20 AM,05:49 PM,-13,-13,-10,-13,7,48,76,0.0,1032,-10,10,127,6,80012
2009-01-04 12:00:00,-4,-12,0.1,8.7,1,52,12:21 PM,01:07 AM,08:20 AM,05:49 PM,-13,-13,-7,-13,16,25,63,0.0,1030,-7,10,140,14,80012
2009-01-04 18:00:00,-4,-12,0.1,8.7,1,52,12:21 PM,01:07 AM,08:20 AM,05:49 PM,-13,-13,-11,-13,8,15,88,0.0,1029,-12,10,165,4,80012
2009-01-05 00:00:00,4,-10,0.0,8.7,2,60,12:50 PM,02:16 AM,08:20 AM,05:50 PM,-12,-16,-10,-16,21,9,84,0.0,1029,-10,10,245,10,80012
2009-01-05 06:00:00,4,-10,0.0,8.7,2,60,12:50 PM,02:16 AM,08:20 AM,05:50 PM,-12,-17,-9,-17,40,6,80,0.0,1023,-9,10,215,19,80012
2009-01-05 12:00:00,4,-10,0.0,8.7,2,60,12:50 PM,02:16 AM,08:20 AM,05:50 PM,-1,3,5,3,9,4,64,0.0,1006,4,10,227,8,80012
2009-01-05 18:00:00,4,-10,0.0,8.7,2,60,12:50 PM,02:16 AM,08:20 AM,05:50 PM,-6,-7,-1,-7,46,43,66,0.0,1002,-1,10,273,22,80012
2009-01-06 00:00:00,2,-6,0.0,8.7,2,67,01:26 PM,03:29 AM,08:20 AM,05:51 PM,-8,-8,-4,-8,24,47,68,0.0,1007,-4,10,275,12,80012
2009-01-06 06:00:00,2,-6,0.0,8.7,2,67,01:26 PM,03:29 AM,08:20 AM,05:51 PM,-10,-10,-5,-10,21,8,71,0.0,1010,-6,10,294,10,80012
2009-01-06 12:00:00,2,-6,0.0,8.7,2,67,01:26 PM,03:29 AM,08:20 AM,05:51 PM,-7,3,4,3,5,4,44,0.0,1008,2,10,345,5,80012
2009-01-06 18:00:00,2,-6,0.0,8.7,2,67,01:26 PM,03:29 AM,08:20 AM,05:51 PM,-9,-8,-2,-8,41,28,60,0.0,1009,-2,10,279,19,80012
