date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,0,0,0.0,10.1,3,31,11:09 AM,11:05 PM,08:02 AM,06:15 PM,1,3,6,3,22,12,73,0.0,1023,6,10,59,13,70802
2009-01-01 06:00:00,0,0,0.0,10.1,3,31,11:09 AM,11:05 PM,08:02 AM,06:15 PM,-0,0,4,0,24,4,76,0.0,1022,4,10,105,14,70802
2009-01-01 12:00:00,0,0,0.0,10.1,3,31,11:09 AM,11:05 PM,08:02 AM,06:15 PM,8,11,12,11,10,55,75,0.0,1020,12,10,109,8,70802
2009-01-01 18:00:00,0,0,0.0,10.1,3,31,11:09 AM,11:05 PM,08:02 AM,06:15 PM,11,12,12,12,17,46,94,0.0,1017,12,2,105,8,70802
2009-01-02 00:00:00,0,0,0.0,10.1,3,38,11:38 AM,No moonset,08:02 AM,06:16 PM,14,14,14,14,15,100,97,0.0,1016,14,0,139,8,70802
2009-01-02 06:00:00,0,0,0.0,10.1,3,38,11:38 AM,No moonset,08:02 AM,06:16 PM,15,15,15,15,19,100,98,0.0,1016,15,0,187,9,70802
2009-01-02 12:00:00,0,0,0.0,10.1,3,38,11:38 AM,No moonset,08:02 AM,06:16 PM,19,25,25,22,17,52,80,0.0,1015,22,10,244,13,70802
2009-01-02 18:00:00,0,0,0.0,10.1,3,38,11:38 AM,No moonset,08:02 AM,06:16 PM,18,19,19,19,22,33,94,0.0,1014,19,10,183,10,70802
2009-01-03 00:00:00,0,0,0.0,8.3,4,45,12:06 PM,12:02 AM,08:02 AM,06:17 PM,17,18,18,18,20,37,96,0.0,1015,18,2,189,10,70802
2009-01-03 06:00:00,0,0,0.0,8.3,4,45,12:06 PM,12:02 AM,08:02 AM,06:17 PM,17,18,18,18,20,54,96,0.0,1014,18,2,184,10,70802
2009-01-03 12:00:00,0,0,0.0,8.3,4,45,12:06 PM,12:02 AM,08:02 AM,06:17 PM,18,19,19,19,19,100,94,0.0,1014,19,2,186,11,70802
2009-01-03 18:00:00,0,0,0.0,8.3,4,45,12:06 PM,12:02 AM,08:02 AM,06:17 PM,18,19,19,19,11,34,96,0.0,1014,19,2,169,6,70802
2009-01-04 00:00:00,0,0,0.0,10.2,4,52,12:37 PM,01:01 AM,08:02 AM,06:17 PM,17,18,18,18,11,43,97,0.0,1014,18,2,175,6,70802
2009-01-04 06:00:00,0,0,0.0,10.2,4,52,12:37 PM,01:01 AM,08:02 AM,06:17 PM,17,17,17,17,19,100,97,0.0,1016,17,0,168,10,70802
2009-01-04 12:00:00,0,0,0.0,10.2,4,52,12:37 PM,01:01 AM,08:02 AM,06:17 PM,19,25,25,23,18,33,80,0.0,1018,23,10,173,14,70802
2009-01-04 18:00:00,0,0,0.0,10.2,4,52,12:37 PM,01:01 AM,08:02 AM,06:17 PM,18,19,19,19,17,19,93,0.0,1018,19,10,166,8,70802
2009-01-05 00:00:00,0,0,0.0,8.3,4,60,01:12 PM,02:04 AM,08:02 AM,06:18 PM,16,17,17,17,5,100,98,0.0,1020,17,0,212,3,70802
2009-01-05 06:00:00,0,0,0.0,8.3,4,60,01:12 PM,02:04 AM,08:02 AM,06:18 PM,17,17,17,17,8,100,98,0.0,1019,17,0,56,5,70802
2009-01-05 12:00:00,0,0,0.0,8.3,4,60,01:12 PM,02:04 AM,08:02 AM,06:18 PM,18,20,20,20,9,79,91,0.0,1017,20,10,129,6,70802
2009-01-05 18:00:00,0,0,0.0,8.3,4,60,01:12 PM,02:04 AM,08:02 AM,06:18 PM,19,20,20,20,17,20,95,0.0,1013,20,2,198,9,70802
2009-01-06 00:00:00,0,0,0.0,5.1,4,67,01:53 PM,03:10 AM,08:03 AM,06:19 PM,18,19,19,19,15,85,94,0.0,1011,19,2,201,9,70802
2009-01-06 06:00:00,0,0,0.0,5.1,4,67,01:53 PM,03:10 AM,08:03 AM,06:19 PM,19,20,20,20,26,100,95,0.0,1007,20,10,190,15,70802
2009-01-06 12:00:00,0,0,0.0,5.1,4,67,01:53 PM,03:10 AM,08:03 AM,06:19 PM,19,21,21,21,35,100,93,0.0,1006,21,10,211,21,70802
2009-01-06 18:00:00,0,0,0.0,5.1,4,67,01:53 PM,03:10 AM,08:03 AM,06:19 PM,14,15,15,15,11,100,93,0.0,1005,15,10,344,8,70802
2009-01-07 00:00:00,0,0,0.0,10.2,4,74,02:42 PM,04:19 AM,08:03 AM,06:20 PM,12,12,13,12,27,2,89,0.0,1008,13,10,235,16,70802
2009-01-07 06:00:00,0,0,0.0,10.2,4,74,02:42 PM,04:19 AM,08:03 AM,06:20 PM,6,5,8,5,28,0,87,0.0,1012,8,10,282,16,70802
2009-01-07 12:00:00,0,0,0.0,10.2,4,74,02:42 PM,04:19 AM,08:03 AM,06:20 PM,5,15,15,15,5,0,53,0.0,1013,14,10,252,4,70802
2009-01-07 18:00:00,0,0,0.0,10.2,4,74,02:42 PM,04:19 AM,08:03 AM,06:20 PM,6,10,11,10,20,0,72,0.0,1012,11,10,212,10,70802
2009-01-08 00:00:00,0,0,0.0,10.2,3,82,03:41 PM,05:31 AM,08:03 AM,06:20 PM,7,8,10,8,25,6,82,0.0,1014,10,10,231,12,70802
2009-01-08 06:00:00,0,0,0.0,10.2,3,82,03:41 PM,05:31 AM,08:03 AM,06:20 PM,9,9,10,9,21,3,92,0.0,1014,10,10,242,10,70802
2009-01-08 12:00:00,0,0,0.0,10.2,3,82,03:41 PM,05:31 AM,08:03 AM,06:20 PM,12,20,20,20,17,2,63,0.0,1016,20,10,284,14,70802
2009-01-08 18:00:00,0,0,0.0,10.2,3,82,03:41 PM,05:31 AM,08:03 AM,06:20 PM,12,14,14,14,9,0,88,0.0,1016,13,10,41,4,70802
2009-01-09 00:00:00,0,0,0.0,10.2,4,89,04:49 PM,06:38 AM,08:03 AM,06:21 PM,10,11,11,11,11,0,92,0.0,1018,11,10,104,5,70802
