date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,0,-8,1.5,5.1,1,31,11:31 AM,11:11 PM,08:55 AM,05:41 PM,-0,-5,1,-5,49,100,94,0.0,1008,0,10,309,27,59101
2009-01-01 06:00:00,0,-8,1.5,5.1,1,31,11:31 AM,11:11 PM,08:55 AM,05:41 PM,-6,-11,-4,-11,44,23,89,0.0,1013,-4,10,321,21,59101
2009-01-01 12:00:00,0,-8,1.5,5.1,1,31,11:31 AM,11:11 PM,08:55 AM,05:41 PM,-4,-6,-3,-6,9,100,96,0.0,1012,-3,2,247,6,59101
2009-01-01 18:00:00,0,-8,1.5,5.1,1,31,11:31 AM,11:11 PM,08:55 AM,05:41 PM,-4,-9,-3,-9,26,100,97,0.0,1005,-3,10,122,16,59101
2009-01-02 00:00:00,4,-10,0.7,8.7,1,38,11:49 AM,No moonset,08:55 AM,05:42 PM,-2,-3,-1,-3,10,63,98,0.0,1000,-1,0,237,5,59101
2009-01-02 06:00:00,4,-10,0.7,8.7,1,38,11:49 AM,No moonset,08:55 AM,05:42 PM,-0,-3,0,-3,16,56,97,0.0,996,0,2,109,8,59101
2009-01-02 12:00:00,4,-10,0.7,8.7,1,38,11:49 AM,No moonset,08:55 AM,05:42 PM,2,-3,3,-3,49,33,99,0.0,987,3,10,204,23,59101
2009-01-02 18:00:00,4,-10,0.7,8.7,1,38,11:49 AM,No moonset,08:55 AM,05:42 PM,-2,-8,-2,-8,36,51,96,0.0,1000,-2,10,339,22,59101
2009-01-03 00:00:00,-10,-15,0.4,6.9,1,45,12:06 PM,12:19 AM,08:55 AM,05:43 PM,-13,-19,-13,-19,15,73,96,0.0,1015,-13,2,90,10,59101
2009-01-03 06:00:00,-10,-15,0.4,6.9,1,45,12:06 PM,12:19 AM,08:55 AM,05:43 PM,-16,-20,-15,-20,8,100,97,0.0,1024,-15,2,72,6,59101
2009-01-03 12:00:00,-10,-15,0.4,6.9,1,45,12:06 PM,12:19 AM,08:55 AM,05:43 PM,-13,-12,-12,-12,2,42,94,0.0,1026,-12,2,315,2,59101
2009-01-03 18:00:00,-10,-15,0.4,6.9,1,45,12:06 PM,12:19 AM,08:55 AM,05:43 PM,-13,-19,-13,-19,18,67,99,0.0,1030,-13,0,51,10,59101
2009-01-04 00:00:00,-6,-13,0.0,8.7,2,52,12:26 PM,01:30 AM,08:55 AM,05:44 PM,-13,-19,-12,-19,30,6,93,0.0,1030,-12,10,221,15,59101
2009-01-04 06:00:00,-6,-13,0.0,8.7,2,52,12:26 PM,01:30 AM,08:55 AM,05:44 PM,-14,-21,-13,-21,37,4,90,0.0,1031,-13,10,247,20,59101
2009-01-04 12:00:00,-6,-13,0.0,8.7,2,52,12:26 PM,01:30 AM,08:55 AM,05:44 PM,-11,-18,-9,-18,36,8,86,0.0,1030,-9,10,233,26,59101
2009-01-04 18:00:00,-6,-13,0.0,8.7,2,52,12:26 PM,01:30 AM,08:55 AM,05:44 PM,-10,-16,-8,-16,47,0,89,0.0,1026,-8,10,218,23,59101
2009-01-05 00:00:00,-2,-11,0.1,5.1,2,60,12:51 PM,02:44 AM,08:55 AM,05:45 PM,-11,-20,-10,-20,55,3,91,0.0,1020,-10,10,217,30,59101
2009-01-05 06:00:00,-2,-11,0.1,5.1,2,60,12:51 PM,02:44 AM,08:55 AM,05:45 PM,-11,-20,-10,-20,63,70,90,0.0,1011,-10,10,224,36,59101
2009-01-05 12:00:00,-2,-11,0.1,5.1,2,60,12:51 PM,02:44 AM,08:55 AM,05:45 PM,-5,-11,-4,-11,40,100,89,0.0,1004,-4,10,244,24,59101
2009-01-05 18:00:00,-2,-11,0.1,5.1,2,60,12:51 PM,02:44 AM,08:55 AM,05:45 PM,-4,-9,-3,-9,41,54,90,0.0,1003,-3,10,247,21,59101
2009-01-06 00:00:00,1,-3,0.3,6.9,1,67,01:21 PM,04:02 AM,08:55 AM,05:46 PM,-3,-8,-2,-8,50,92,91,0.0,1005,-2,10,265,24,59101
2009-01-06 06:00:00,1,-3,0.3,6.9,1,67,01:21 PM,04:02 AM,08:55 AM,05:46 PM,-3,-7,-1,-7,46,22,89,0.0,1006,-1,10,288,22,59101
2009-01-06 12:00:00,1,-3,0.3,6.9,1,67,01:21 PM,04:02 AM,08:55 AM,05:46 PM,-2,-6,0,-6,46,45,89,0.0,1008,0,10,279,27,59101
2009-01-06 18:00:00,1,-3,0.3,6.9,1,67,01:21 PM,04:02 AM,08:55 AM,05:46 PM,-1,-4,0,-4,26,49,93,0.0,1008,0,10,283,13,59101
2009-01-07 00:00:00,4,-1,0.0,5.1,1,74,02:01 PM,05:23 AM,08:54 AM,05:47 PM,-1,-7,-1,-7,36,66,96,0.0,1004,-1,10,229,21,59101
2009-01-07 06:00:00,4,-1,0.0,5.1,1,74,02:01 PM,05:23 AM,08:54 AM,05:47 PM,1,-2,1,-2,22,100,97,0.0,999,1,2,244,10,59101
2009-01-07 12:00:00,4,-1,0.0,5.1,1,74,02:01 PM,05:23 AM,08:54 AM,05:47 PM,3,-1,3,-1,33,44,99,0.0,1002,3,10,272,16,59101
2009-01-07 18:00:00,4,-1,0.0,5.1,1,74,02:01 PM,05:23 AM,08:54 AM,05:47 PM,3,-2,3,-2,53,100,100,0.0,1004,3,10,275,25,59101
