date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,9,2,0.0,3.3,2,31,11:29 AM,11:12 PM,08:52 AM,05:40 PM,3,-1,3,-1,25,94,100,1.8,1018,3,9,163,14,97123
2009-01-01 06:00:00,9,2,0.0,3.3,2,31,11:29 AM,11:12 PM,08:52 AM,05:40 PM,5,1,5,1,50,100,100,8.8,1006,5,5,203,25,97123
2009-01-01 12:00:00,9,2,0.0,3.3,2,31,11:29 AM,11:12 PM,08:52 AM,05:40 PM,9,6,9,6,35,100,99,15.6,1004,9,5,227,21,97123
2009-01-01 18:00:00,9,2,0.0,3.3,2,31,11:29 AM,11:12 PM,08:52 AM,05:40 PM,7,7,7,7,7,100,100,7.1,1003,7,7,296,5,97123
2009-01-02 00:00:00,2,1,0.2,5.1,1,38,11:47 AM,No moonset,08:52 AM,05:41 PM,1,-3,1,-3,26,100,100,17.9,997,1,6,339,15,97123
2009-01-02 06:00:00,2,1,0.2,5.1,1,38,11:47 AM,No moonset,08:52 AM,05:41 PM,1,-2,1,-2,17,100,100,0.0,1008,1,0,240,9,97123
2009-01-02 12:00:00,2,1,0.2,5.1,1,38,11:47 AM,No moonset,08:52 AM,05:41 PM,3,1,3,1,10,41,100,0.2,1014,2,9,241,6,97123
2009-01-02 18:00:00,2,1,0.2,5.1,1,38,11:47 AM,No moonset,08:52 AM,05:41 PM,1,-1,1,-1,11,46,97,0.2,1017,1,7,196,6,97123
2009-01-03 00:00:00,2,-0,2.1,3.3,1,45,12:05 PM,12:20 AM,08:52 AM,05:42 PM,1,-2,1,-2,20,97,98,1.2,1021,1,2,184,12,97123
2009-01-03 06:00:00,2,-0,2.1,3.3,1,45,12:05 PM,12:20 AM,08:52 AM,05:42 PM,1,-2,1,-2,15,100,98,1.2,1023,1,2,177,9,97123
2009-01-03 12:00:00,2,-0,2.1,3.3,1,45,12:05 PM,12:20 AM,08:52 AM,05:42 PM,2,-0,2,-0,12,100,99,0.2,1024,2,5,165,8,97123
2009-01-03 18:00:00,2,-0,2.1,3.3,1,45,12:05 PM,12:20 AM,08:52 AM,05:42 PM,1,-1,1,-1,12,100,99,0.0,1024,1,0,120,6,97123
2009-01-04 00:00:00,2,-3,0.0,6.9,1,52,12:26 PM,01:31 AM,08:52 AM,05:43 PM,-2,-3,-1,-3,12,13,97,0.0,1024,-2,0,89,6,97123
2009-01-04 06:00:00,2,-3,0.0,6.9,1,52,12:26 PM,01:31 AM,08:52 AM,05:43 PM,-3,-6,-3,-6,16,33,95,0.0,1023,-3,2,110,8,97123
2009-01-04 12:00:00,2,-3,0.0,6.9,1,52,12:26 PM,01:31 AM,08:52 AM,05:43 PM,-1,-1,2,-1,14,46,84,0.0,1018,2,10,130,9,97123
2009-01-04 18:00:00,2,-3,0.0,6.9,1,52,12:26 PM,01:31 AM,08:52 AM,05:43 PM,1,-3,1,-3,30,100,97,7.9,1010,1,6,163,17,97123
2009-01-05 00:00:00,7,5,0.0,3.3,2,60,12:50 PM,02:44 AM,08:52 AM,05:44 PM,5,1,5,1,42,100,100,10.7,1005,5,5,205,20,97123
2009-01-05 06:00:00,7,5,0.0,3.3,2,60,12:50 PM,02:44 AM,08:52 AM,05:44 PM,6,4,7,4,27,100,100,1.3,1007,7,9,247,14,97123
2009-01-05 12:00:00,7,5,0.0,3.3,2,60,12:50 PM,02:44 AM,08:52 AM,05:44 PM,6,3,6,3,21,100,100,1.0,1014,6,9,222,12,97123
2009-01-05 18:00:00,7,5,0.0,3.3,2,60,12:50 PM,02:44 AM,08:52 AM,05:44 PM,6,4,6,4,17,100,99,0.2,1018,6,2,205,10,97123
2009-01-06 00:00:00,10,5,0.0,3.4,2,67,01:22 PM,04:02 AM,08:51 AM,05:45 PM,5,3,5,3,20,100,100,0.0,1017,5,0,191,11,97123
2009-01-06 06:00:00,10,5,0.0,3.4,2,67,01:22 PM,04:02 AM,08:51 AM,05:45 PM,7,4,8,4,33,100,99,3.2,1014,8,7,204,18,97123
2009-01-06 12:00:00,10,5,0.0,3.4,2,67,01:22 PM,04:02 AM,08:51 AM,05:45 PM,9,6,9,6,31,100,99,1.6,1016,9,9,214,18,97123
2009-01-06 18:00:00,10,5,0.0,3.4,2,67,01:22 PM,04:02 AM,08:51 AM,05:45 PM,9,6,9,6,40,100,98,1.9,1017,9,9,208,22,97123
2009-01-07 00:00:00,11,10,0.0,3.4,3,74,02:02 PM,05:23 AM,08:51 AM,05:46 PM,9,7,10,7,41,100,98,2.1,1014,10,9,206,23,97123
2009-01-07 06:00:00,11,10,0.0,3.4,3,74,02:02 PM,05:23 AM,08:51 AM,05:46 PM,10,7,11,7,47,100,97,4.0,1013,10,7,206,29,97123
2009-01-07 12:00:00,11,10,0.0,3.4,3,74,02:02 PM,05:23 AM,08:51 AM,05:46 PM,10,8,11,8,44,100,97,6.5,1012,11,7,207,27,97123
2009-01-07 18:00:00,11,10,0.0,3.4,3,74,02:02 PM,05:23 AM,08:51 AM,05:46 PM,9,7,10,7,43,100,98,9.1,1008,10,5,196,25,97123
2009-01-08 00:00:00,10,4,0.0,3.4,2,82,02:57 PM,06:40 AM,08:51 AM,05:47 PM,10,7,10,7,36,100,98,10.2,1006,10,5,234,22,97123
2009-01-08 06:00:00,10,4,0.0,3.4,2,82,02:57 PM,06:40 AM,08:51 AM,05:47 PM,7,5,8,5,26,100,96,1.4,1013,8,10,255,17,97123
2009-01-08 12:00:00,10,4,0.0,3.4,2,82,02:57 PM,06:40 AM,08:51 AM,05:47 PM,6,3,6,3,27,90,99,1.4,1020,6,9,243,16,97123
2009-01-08 18:00:00,10,4,0.0,3.4,2,82,02:57 PM,06:40 AM,08:51 AM,05:47 PM,4,2,4,2,14,83,96,0.4,1029,4,2,251,9,97123
2009-01-09 00:00:00,5,0,0.0,6.9,1,89,04:06 PM,07:48 AM,08:50 AM,05:48 PM,4,3,4,3,7,87,97,0.3,1033,4,2,196,5,97123
2009-01-09 06:00:00,5,0,0.0,6.9,1,89,04:06 PM,07:48 AM,08:50 AM,05:48 PM,2,3,3,3,4,60,96,0.0,1037,2,2,139,2,97123
2009-01-09 12:00:00,5,0,0.0,6.9,1,89,04:06 PM,07:48 AM,08:50 AM,05:48 PM,4,5,5,5,4,81,92,0.0,1036,5,10,143,3,97123
2009-01-09 18:00:00,5,0,0.0,6.9,1,89,04:06 PM,07:48 AM,08:50 AM,05:48 PM,-0,-1,1,-1,11,48,93,0.0,1036,0,10,120,5,97123
2009-01-10 00:00:00,6,-1,0.0,6.9,2,96,05:27 PM,08:43 AM,08:50 AM,05:50 PM,-3,-2,-0,-2,10,43,79,0.0,1036,-1,10,135,5,97123
2009-01-10 06:00:00,6,-1,0.0,6.9,2,96,05:27 PM,08:43 AM,08:50 AM,05:50 PM,-3,-3,0,-3,17,47,78,0.0,1035,-0,10,165,8,97123
2009-01-10 12:00:00,6,-1,0.0,6.9,2,96,05:27 PM,08:43 AM,08:50 AM,05:50 PM,1,5,6,5,10,44,70,0.0,1034,6,10,174,6,97123
2009-01-10 18:00:00,6,-1,0.0,6.9,2,96,05:27 PM,08:43 AM,08:50 AM,05:50 PM,1,2,4,2,22,68,78,0.0,1035,4,10,194,12,97123
2009-01-11 00:00:00,7,5,0.0,3.4,2,100,06:52 PM,09:25 AM,08:50 AM,05:51 PM,4,2,5,2,21,100,94,1.5,1036,5,9,193,12,97123
2009-01-11 06:00:00,7,5,0.0,3.4,2,100,06:52 PM,09:25 AM,08:50 AM,05:51 PM,6,4,6,4,18,100,98,0.1,1037,6,0,196,11,97123
2009-01-11 12:00:00,7,5,0.0,3.4,2,100,06:52 PM,09:25 AM,08:50 AM,05:51 PM,7,5,7,5,13,100,98,1.2,1038,7,9,191,8,97123
2009-01-11 18:00:00,7,5,0.0,3.4,2,100,06:52 PM,09:25 AM,08:50 AM,05:51 PM,7,6,7,6,12,100,99,1.1,1039,7,9,181,7,97123
2009-01-12 00:00:00,11,5,0.0,6.9,2,89,08:16 PM,09:57 AM,08:49 AM,05:52 PM,7,7,8,7,8,100,98,0.7,1037,7,2,175,4,97123
2009-01-12 06:00:00,11,5,0.0,6.9,2,89,08:16 PM,09:57 AM,08:49 AM,05:52 PM,6,6,6,6,4,100,99,0.1,1038,6,0,10,2,97123
2009-01-12 12:00:00,11,5,0.0,6.9,2,89,08:16 PM,09:57 AM,08:49 AM,05:52 PM,10,12,12,12,2,54,91,0.0,1037,11,10,350,2,97123
2009-01-12 18:00:00,11,5,0.0,6.9,2,89,08:16 PM,09:57 AM,08:49 AM,05:52 PM,7,7,8,7,10,100,99,0.0,1037,7,0,32,5,97123
