date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,25,23,0.0,10.9,6,31,10:37 AM,10:44 PM,07:09 AM,06:01 PM,20,25,25,23,16,31,80,0.0,1013,23,10,168,11,96813
2009-01-01 06:00:00,25,23,0.0,10.9,6,31,10:37 AM,10:44 PM,07:09 AM,06:01 PM,19,25,25,23,14,34,79,0.0,1014,23,10,151,10,96813
2009-01-01 12:00:00,25,23,0.0,10.9,6,31,10:37 AM,10:44 PM,07:09 AM,06:01 PM,20,27,27,25,15,15,77,0.0,1013,25,10,103,11,96813
2009-01-01 18:00:00,25,23,0.0,10.9,6,31,10:37 AM,10:44 PM,07:09 AM,06:01 PM,21,27,27,25,28,19,79,0.0,1015,25,10,98,19,96813
2009-01-02 00:00:00,25,23,0.0,10.9,6,38,11:10 AM,11:37 PM,07:10 AM,06:02 PM,21,26,26,24,19,29,82,0.0,1015,24,10,97,14,96813
2009-01-02 06:00:00,25,23,0.0,10.9,6,38,11:10 AM,11:37 PM,07:10 AM,06:02 PM,20,25,25,23,32,49,82,0.0,1016,23,10,100,23,96813
2009-01-02 12:00:00,25,23,0.0,10.9,6,38,11:10 AM,11:37 PM,07:10 AM,06:02 PM,21,27,27,25,26,15,78,0.0,1015,25,10,87,18,96813
2009-01-02 18:00:00,25,23,0.0,10.9,6,38,11:10 AM,11:37 PM,07:10 AM,06:02 PM,20,26,26,25,36,11,77,0.0,1017,25,10,93,26,96813
2009-01-03 00:00:00,24,24,0.0,10.9,6,45,11:44 AM,No moonset,07:10 AM,06:03 PM,20,26,26,24,33,28,78,0.0,1017,24,10,87,24,96813
2009-01-03 06:00:00,24,24,0.0,10.9,6,45,11:44 AM,No moonset,07:10 AM,06:03 PM,20,26,26,24,37,16,77,0.0,1018,24,10,81,27,96813
2009-01-03 12:00:00,24,24,0.0,10.9,6,45,11:44 AM,No moonset,07:10 AM,06:03 PM,19,26,26,25,36,7,73,0.0,1016,24,10,85,26,96813
2009-01-03 18:00:00,24,24,0.0,10.9,6,45,11:44 AM,No moonset,07:10 AM,06:03 PM,20,26,26,24,40,29,77,0.0,1018,24,10,93,28,96813
2009-01-04 00:00:00,24,24,0.0,10.9,6,52,12:20 PM,12:31 AM,07:10 AM,06:03 PM,20,26,26,24,35,29,76,0.0,1017,24,10,96,25,96813
2009-01-04 06:00:00,24,24,0.0,10.9,6,52,12:20 PM,12:31 AM,07:10 AM,06:03 PM,20,26,26,24,41,27,76,0.0,1018,24,10,103,29,96813
2009-01-04 12:00:00,24,24,0.0,10.9,6,52,12:20 PM,12:31 AM,07:10 AM,06:03 PM,20,26,26,24,34,12,75,0.0,1017,24,10,93,24,96813
2009-01-04 18:00:00,24,24,0.0,10.9,6,52,12:20 PM,12:31 AM,07:10 AM,06:03 PM,20,26,26,24,33,16,76,0.0,1018,24,10,89,23,96813
2009-01-05 00:00:00,24,24,0.0,10.9,6,60,01:01 PM,01:29 AM,07:11 AM,06:04 PM,19,26,26,24,29,9,75,0.0,1018,24,10,98,20,96813
2009-01-05 06:00:00,24,24,0.0,10.9,6,60,01:01 PM,01:29 AM,07:11 AM,06:04 PM,20,26,26,24,32,20,78,0.0,1019,24,10,100,23,96813
2009-01-05 12:00:00,24,24,0.0,10.9,6,60,01:01 PM,01:29 AM,07:11 AM,06:04 PM,19,26,26,25,18,9,72,0.0,1018,24,10,110,13,96813
2009-01-05 18:00:00,24,24,0.0,10.9,6,60,01:01 PM,01:29 AM,07:11 AM,06:04 PM,19,26,26,24,21,2,74,0.0,1019,24,10,93,15,96813
2009-01-06 00:00:00,24,23,0.0,10.9,6,67,01:48 PM,02:31 AM,07:11 AM,06:05 PM,19,25,25,24,21,1,74,0.0,1020,24,10,102,15,96813
2009-01-06 06:00:00,24,23,0.0,10.9,6,67,01:48 PM,02:31 AM,07:11 AM,06:05 PM,18,25,25,23,14,0,73,0.0,1019,23,10,108,10,96813
2009-01-06 12:00:00,24,23,0.0,10.9,6,67,01:48 PM,02:31 AM,07:11 AM,06:05 PM,19,26,26,24,14,0,72,0.0,1018,24,10,99,10,96813
2009-01-06 18:00:00,24,23,0.0,10.9,6,67,01:48 PM,02:31 AM,07:11 AM,06:05 PM,20,26,26,24,13,18,78,0.0,1020,24,10,48,9,96813
2009-01-07 00:00:00,24,24,0.0,10.9,6,74,02:42 PM,03:37 AM,07:11 AM,06:05 PM,20,26,26,24,23,27,79,0.0,1019,24,10,74,16,96813
2009-01-07 06:00:00,24,24,0.0,10.9,6,74,02:42 PM,03:37 AM,07:11 AM,06:05 PM,20,26,26,24,25,36,78,0.0,1019,24,10,78,18,96813
2009-01-07 12:00:00,24,24,0.0,10.9,6,74,02:42 PM,03:37 AM,07:11 AM,06:05 PM,20,26,26,24,30,14,77,0.0,1017,24,10,93,21,96813
