date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,19,7,0.0,8.3,4,31,11:26 AM,11:23 PM,08:17 AM,06:33 PM,5,8,10,8,23,8,71,0.0,1022,10,10,63,14,77002
2009-01-01 06:00:00,19,7,0.0,8.3,4,31,11:26 AM,11:23 PM,08:17 AM,06:33 PM,5,5,7,5,18,35,83,0.0,1021,7,10,38,11,77002
2009-01-01 12:00:00,19,7,0.0,8.3,4,31,11:26 AM,11:23 PM,08:17 AM,06:33 PM,12,17,17,17,8,59,73,0.0,1018,17,10,91,7,77002
2009-01-01 18:00:00,19,7,0.0,8.3,4,31,11:26 AM,11:23 PM,08:17 AM,06:33 PM,16,17,17,17,12,92,95,0.0,1014,16,2,99,7,77002
2009-01-02 00:00:00,23,15,0.0,10.2,4,38,11:54 AM,No moonset,08:17 AM,06:34 PM,16,17,17,17,11,52,96,0.0,1014,16,2,196,6,77002
2009-01-02 06:00:00,23,15,0.0,10.2,4,38,11:54 AM,No moonset,08:17 AM,06:34 PM,15,16,16,16,11,41,96,0.0,1014,15,2,247,5,77002
2009-01-02 12:00:00,23,15,0.0,10.2,4,38,11:54 AM,No moonset,08:17 AM,06:34 PM,17,22,25,22,10,49,73,0.0,1014,22,10,225,9,77002
2009-01-02 18:00:00,23,15,0.0,10.2,4,38,11:54 AM,No moonset,08:17 AM,06:34 PM,18,20,20,20,20,6,91,0.0,1011,20,10,175,10,77002
2009-01-03 00:00:00,25,19,0.0,10.2,6,45,12:23 PM,12:19 AM,08:17 AM,06:35 PM,17,19,19,19,18,27,90,0.0,1012,19,10,182,10,77002
2009-01-03 06:00:00,25,19,0.0,10.2,6,45,12:23 PM,12:19 AM,08:17 AM,06:35 PM,18,19,19,19,23,93,90,0.0,1010,19,10,177,13,77002
2009-01-03 12:00:00,25,19,0.0,10.2,6,45,12:23 PM,12:19 AM,08:17 AM,06:35 PM,17,26,26,25,19,2,64,0.0,1010,25,10,210,15,77002
