date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-03-01 00:00:00,19,6,0.0,11.2,4,30,09:17 AM,11:51 PM,07:11 AM,06:35 PM,-6,6,7,6,17,33,39,0.0,1023,7,10,30,8,89101
2009-03-01 06:00:00,19,6,0.0,11.2,4,30,09:17 AM,11:51 PM,07:11 AM,06:35 PM,-5,5,7,5,18,32,44,0.0,1023,6,10,8,9,89101
2009-03-01 12:00:00,19,6,0.0,11.2,4,30,09:17 AM,11:51 PM,07:11 AM,06:35 PM,-5,20,20,20,10,0,18,0.0,1018,19,10,114,8,89101
2009-03-01 18:00:00,19,6,0.0,11.2,4,30,09:17 AM,11:51 PM,07:11 AM,06:35 PM,-6,14,14,14,14,9,25,0.0,1017,13,10,165,7,89101
2009-03-02 00:00:00,20,8,0.0,11.3,4,37,09:56 AM,No moonset,07:09 AM,06:36 PM,-7,9,10,9,15,32,29,0.0,1017,10,10,189,7,89101
2009-03-02 06:00:00,20,8,0.0,11.3,4,37,09:56 AM,No moonset,07:09 AM,06:36 PM,-6,10,10,10,11,4,32,0.0,1017,9,10,225,5,89101
2009-03-02 12:00:00,20,8,0.0,11.3,4,37,09:56 AM,No moonset,07:09 AM,06:36 PM,-3,20,20,20,18,31,20,0.0,1014,20,10,207,15,89101
2009-03-02 18:00:00,20,8,0.0,11.3,4,37,09:56 AM,No moonset,07:09 AM,06:36 PM,5,13,14,13,14,32,56,0.7,1016,14,9,186,9,89101
2009-03-03 00:00:00,19,12,0.0,11.3,4,45,10:43 AM,01:01 AM,07:08 AM,06:37 PM,6,12,13,12,24,4,62,0.0,1014,13,10,214,13,89101
2009-03-03 06:00:00,19,12,0.0,11.3,4,45,10:43 AM,01:01 AM,07:08 AM,06:37 PM,7,10,12,10,25,37,72,0.0,1014,12,10,232,14,89101
2009-03-03 12:00:00,19,12,0.0,11.3,4,45,10:43 AM,01:01 AM,07:08 AM,06:37 PM,-5,19,19,19,26,0,19,0.0,1012,19,10,212,23,89101
2009-03-03 18:00:00,19,12,0.0,11.3,4,45,10:43 AM,01:01 AM,07:08 AM,06:37 PM,-4,12,13,12,27,0,31,0.0,1011,13,10,207,13,89101
2009-03-04 00:00:00,15,7,0.0,11.3,4,52,11:40 AM,02:08 AM,07:06 AM,06:38 PM,-4,7,9,7,28,3,39,0.0,1012,9,10,227,14,89101
2009-03-04 06:00:00,15,7,0.0,11.3,4,52,11:40 AM,02:08 AM,07:06 AM,06:38 PM,-7,4,7,4,29,0,36,0.0,1013,7,10,229,16,89101
2009-03-04 12:00:00,15,7,0.0,11.3,4,52,11:40 AM,02:08 AM,07:06 AM,06:38 PM,-1,13,15,13,28,16,35,0.0,1011,15,10,217,24,89101
2009-03-04 18:00:00,15,7,0.0,11.3,4,52,11:40 AM,02:08 AM,07:06 AM,06:38 PM,1,7,9,7,27,23,57,0.0,1011,9,10,235,17,89101
2009-03-05 00:00:00,13,5,0.0,11.3,3,59,12:44 PM,03:10 AM,07:05 AM,06:39 PM,3,3,6,3,22,4,81,0.0,1015,6,10,239,14,89101
2009-03-05 06:00:00,13,5,0.0,11.3,3,59,12:44 PM,03:10 AM,07:05 AM,06:39 PM,3,4,6,4,11,16,81,0.0,1019,5,10,304,8,89101
2009-03-05 12:00:00,13,5,0.0,11.3,3,59,12:44 PM,03:10 AM,07:05 AM,06:39 PM,-3,14,14,14,7,3,31,0.0,1015,13,10,168,6,89101
2009-03-05 18:00:00,13,5,0.0,11.3,3,59,12:44 PM,03:10 AM,07:05 AM,06:39 PM,-6,8,9,8,15,10,34,0.0,1011,9,10,208,8,89101
2009-03-06 00:00:00,12,3,0.0,11.4,3,67,01:56 PM,04:04 AM,07:04 AM,06:40 PM,-8,2,5,2,21,3,41,0.0,1015,5,10,243,11,89101
2009-03-06 06:00:00,12,3,0.0,11.4,3,67,01:56 PM,04:04 AM,07:04 AM,06:40 PM,-5,2,4,2,15,5,51,0.0,1016,4,10,273,8,89101
2009-03-06 12:00:00,12,3,0.0,11.4,3,67,01:56 PM,04:04 AM,07:04 AM,06:40 PM,-8,11,12,11,9,30,23,0.0,1011,12,10,234,8,89101
2009-03-06 18:00:00,12,3,0.0,11.4,3,67,01:56 PM,04:04 AM,07:04 AM,06:40 PM,-7,7,8,7,11,12,33,0.0,1010,8,10,304,6,89101
2009-03-07 00:00:00,10,3,0.0,11.4,3,74,03:10 PM,04:50 AM,07:02 AM,06:41 PM,-3,3,6,3,18,23,54,0.0,1014,6,10,300,12,89101
2009-03-07 06:00:00,10,3,0.0,11.4,3,74,03:10 PM,04:50 AM,07:02 AM,06:41 PM,-6,0,3,0,17,2,50,0.0,1019,3,10,334,12,89101
2009-03-07 12:00:00,10,3,0.0,11.4,3,74,03:10 PM,04:50 AM,07:02 AM,06:41 PM,-9,12,13,12,6,0,21,0.0,1018,10,10,56,5,89101
2009-03-07 18:00:00,10,3,0.0,11.4,3,74,03:10 PM,04:50 AM,07:02 AM,06:41 PM,-9,8,8,8,5,1,29,0.0,1018,6,10,117,4,89101
2009-03-08 00:00:00,14,1,0.0,11.4,3,81,04:22 PM,05:28 AM,07:01 AM,06:42 PM,-8,5,6,5,7,0,37,0.0,1018,2,10,193,4,89101
2009-03-08 06:00:00,14,1,0.0,11.4,3,81,04:22 PM,05:28 AM,07:01 AM,06:42 PM,-8,5,6,5,7,0,37,0.0,1017,3,10,273,4,89101
2009-03-08 12:00:00,14,1,0.0,11.4,3,81,04:22 PM,05:28 AM,07:01 AM,06:42 PM,-10,13,14,13,13,0,19,0.0,1013,14,10,192,12,89101
2009-03-08 18:00:00,14,1,0.0,11.4,3,81,04:22 PM,05:28 AM,07:01 AM,06:42 PM,-8,7,9,7,20,0,30,0.0,1010,8,10,206,10,89101
2009-03-09 00:00:00,14,5,0.0,11.6,3,88,05:34 PM,06:01 AM,06:59 AM,06:43 PM,-4,3,5,3,26,3,49,0.0,1010,5,10,213,12,89101
2009-03-09 06:00:00,14,5,0.0,11.6,3,88,05:34 PM,06:01 AM,06:59 AM,06:43 PM,1,2,5,2,23,18,76,0.0,1011,5,10,208,14,89101
2009-03-09 12:00:00,14,5,0.0,11.6,3,88,05:34 PM,06:01 AM,06:59 AM,06:43 PM,-1,12,14,12,31,5,36,0.0,1006,14,10,218,27,89101
2009-03-09 18:00:00,14,5,0.0,11.6,3,88,05:34 PM,06:01 AM,06:59 AM,06:43 PM,-5,7,9,7,24,0,37,0.0,1008,9,10,232,13,89101
2009-03-10 00:00:00,11,2,0.0,11.6,3,96,06:42 PM,06:31 AM,06:58 AM,06:44 PM,-6,2,4,2,20,0,46,0.0,1018,4,10,326,11,89101
2009-03-10 06:00:00,11,2,0.0,11.6,3,96,06:42 PM,06:31 AM,06:58 AM,06:44 PM,-11,-1,2,-1,17,0,36,0.0,1022,2,10,20,12,89101
2009-03-10 12:00:00,11,2,0.0,11.6,3,96,06:42 PM,06:31 AM,06:58 AM,06:44 PM,-14,13,13,13,8,0,13,0.0,1018,11,10,55,7,89101
2009-03-10 18:00:00,11,2,0.0,11.6,3,96,06:42 PM,06:31 AM,06:58 AM,06:44 PM,-14,7,8,7,9,0,20,0.0,1016,6,10,96,5,89101
2009-03-11 00:00:00,14,1,0.0,10.2,3,100,07:49 PM,06:59 AM,06:57 AM,06:45 PM,-14,4,5,4,9,0,24,0.0,1018,2,10,31,4,89101
2009-03-11 06:00:00,14,1,0.0,10.2,3,100,07:49 PM,06:59 AM,06:57 AM,06:45 PM,-14,2,4,2,18,0,25,0.0,1019,3,10,17,9,89101
2009-03-11 12:00:00,14,1,0.0,10.2,3,100,07:49 PM,06:59 AM,06:57 AM,06:45 PM,-10,15,15,15,5,33,17,0.0,1015,14,10,117,5,89101
2009-03-11 18:00:00,14,1,0.0,10.2,3,100,07:49 PM,06:59 AM,06:57 AM,06:45 PM,-8,9,9,9,13,79,28,0.0,1014,9,10,88,6,89101
2009-03-12 00:00:00,17,5,0.0,11.6,4,90,08:54 PM,07:27 AM,06:55 AM,06:45 PM,-8,5,7,5,14,6,35,0.0,1014,6,10,63,7,89101
2009-03-12 06:00:00,17,5,0.0,11.6,4,90,08:54 PM,07:27 AM,06:55 AM,06:45 PM,-9,3,6,3,23,51,34,0.0,1017,6,10,12,11,89101
2009-03-12 12:00:00,17,5,0.0,11.6,4,90,08:54 PM,07:27 AM,06:55 AM,06:45 PM,-10,17,17,17,9,18,14,0.0,1013,17,10,30,8,89101
2009-03-12 18:00:00,17,5,0.0,11.6,4,90,08:54 PM,07:27 AM,06:55 AM,06:45 PM,-9,11,11,11,6,12,23,0.0,1013,10,10,327,3,89101
2009-03-13 00:00:00,16,6,0.0,11.6,3,83,09:59 PM,07:56 AM,06:54 AM,06:46 PM,-5,4,7,4,28,0,43,0.0,1018,7,10,357,14,89101
2009-03-13 06:00:00,16,6,0.0,11.6,3,83,09:59 PM,07:56 AM,06:54 AM,06:46 PM,-5,3,6,3,22,0,48,0.0,1020,6,10,0,14,89101
2009-03-13 12:00:00,16,6,0.0,11.6,3,83,09:59 PM,07:56 AM,06:54 AM,06:46 PM,-9,14,15,14,13,0,17,0.0,1015,15,10,31,11,89101
2009-03-13 18:00:00,16,6,0.0,11.6,3,83,09:59 PM,07:56 AM,06:54 AM,06:46 PM,-9,12,12,12,10,0,21,0.0,1013,10,10,77,5,89101
2009-03-14 00:00:00,18,4,0.0,11.6,4,75,11:03 PM,08:27 AM,06:52 AM,06:47 PM,-9,5,7,5,19,0,32,0.0,1015,6,10,1,9,89101
2009-03-14 06:00:00,18,4,0.0,11.6,4,75,11:03 PM,08:27 AM,06:52 AM,06:47 PM,-6,8,8,8,10,0,36,0.0,1014,6,10,349,5,89101
2009-03-14 12:00:00,18,4,0.0,11.6,4,75,11:03 PM,08:27 AM,06:52 AM,06:47 PM,-11,19,19,19,9,7,12,0.0,1010,18,10,207,8,89101
2009-03-14 18:00:00,18,4,0.0,11.6,4,75,11:03 PM,08:27 AM,06:52 AM,06:47 PM,-10,11,12,11,22,1,21,0.0,1009,12,10,216,10,89101
2009-03-15 00:00:00,17,7,0.0,11.6,4,68,No moonrise,09:03 AM,06:51 AM,06:48 PM,-5,5,8,5,23,6,39,0.0,1012,8,10,228,11,89101
2009-03-15 06:00:00,17,7,0.0,11.6,4,68,No moonrise,09:03 AM,06:51 AM,06:48 PM,1,6,8,6,13,7,62,0.0,1014,7,10,262,8,89101
2009-03-15 12:00:00,17,7,0.0,11.6,4,68,No moonrise,09:03 AM,06:51 AM,06:48 PM,-3,18,18,18,14,0,24,0.0,1014,17,10,184,12,89101
2009-03-15 18:00:00,17,7,0.0,11.6,4,68,No moonrise,09:03 AM,06:51 AM,06:48 PM,-4,12,13,12,17,4,32,0.0,1017,12,10,182,8,89101
2009-03-16 00:00:00,20,7,0.0,11.6,4,61,12:05 AM,09:44 AM,06:49 AM,06:49 PM,-2,9,9,9,12,3,44,0.0,1019,7,10,219,6,89101
2009-03-16 06:00:00,20,7,0.0,11.6,4,61,12:05 AM,09:44 AM,06:49 AM,06:49 PM,-3,9,9,9,6,11,43,0.0,1022,8,10,213,3,89101
2009-03-16 12:00:00,20,7,0.0,11.6,4,61,12:05 AM,09:44 AM,06:49 AM,06:49 PM,-6,20,20,20,10,5,17,0.0,1019,20,10,180,8,89101
2009-03-16 18:00:00,20,7,0.0,11.6,4,61,12:05 AM,09:44 AM,06:49 AM,06:49 PM,-5,15,15,15,14,0,25,0.0,1019,14,10,196,7,89101
2009-03-17 00:00:00,22,7,0.0,11.6,4,53,01:04 AM,10:30 AM,06:48 AM,06:50 PM,-5,9,9,9,8,24,36,0.0,1020,9,10,229,4,89101
2009-03-17 06:00:00,22,7,0.0,11.6,4,53,01:04 AM,10:30 AM,06:48 AM,06:50 PM,-3,13,13,13,5,0,34,0.0,1020,9,10,58,3,89101
2009-03-17 12:00:00,22,7,0.0,11.6,4,53,01:04 AM,10:30 AM,06:48 AM,06:50 PM,-5,22,22,23,2,48,15,0.0,1018,22,10,132,1,89101
2009-03-17 18:00:00,22,7,0.0,11.6,4,53,01:04 AM,10:30 AM,06:48 AM,06:50 PM,-2,17,17,17,9,0,26,0.0,1017,15,10,251,4,89101
2009-03-18 00:00:00,24,10,0.0,11.6,5,46,01:57 AM,11:21 AM,06:46 AM,06:51 PM,-2,12,13,12,17,0,36,0.0,1018,11,10,317,8,89101
2009-03-18 06:00:00,24,10,0.0,11.6,5,46,01:57 AM,11:21 AM,06:46 AM,06:51 PM,-2,12,13,12,20,0,35,0.0,1019,12,10,336,9,89101
2009-03-18 12:00:00,24,10,0.0,11.6,5,46,01:57 AM,11:21 AM,06:46 AM,06:51 PM,-4,24,24,26,5,0,14,0.0,1016,24,10,84,5,89101
2009-03-18 18:00:00,24,10,0.0,11.6,5,46,01:57 AM,11:21 AM,06:46 AM,06:51 PM,-5,18,18,18,3,2,20,0.0,1014,16,10,133,1,89101
2009-03-19 00:00:00,24,10,0.0,8.8,5,39,02:44 AM,12:17 PM,06:45 AM,06:52 PM,-5,13,13,13,6,5,27,0.0,1014,11,10,308,3,89101
