date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,12,-0,0.0,8.7,3,31,10:51 AM,10:44 PM,07:47 AM,05:52 PM,-3,-2,1,-2,21,8,71,0.0,1025,1,10,28,12,36101
2009-01-01 06:00:00,12,-0,0.0,8.7,3,31,10:51 AM,10:44 PM,07:47 AM,05:52 PM,-5,-5,-0,-5,33,0,70,0.0,1025,-0,10,81,18,36101
2009-01-01 12:00:00,12,-0,0.0,8.7,3,31,10:51 AM,10:44 PM,07:47 AM,05:52 PM,-1,9,11,9,19,15,44,0.0,1023,11,10,125,16,36101
2009-01-01 18:00:00,12,-0,0.0,8.7,3,31,10:51 AM,10:44 PM,07:47 AM,05:52 PM,2,5,7,5,23,3,67,0.0,1021,7,10,154,11,36101
2009-01-02 00:00:00,18,6,0.0,5.4,4,38,11:18 AM,11:43 PM,07:47 AM,05:52 PM,3,3,6,3,32,17,81,0.0,1020,6,10,130,16,36101
2009-01-02 06:00:00,18,6,0.0,5.4,4,38,11:18 AM,11:43 PM,07:47 AM,05:52 PM,6,5,8,5,23,80,91,0.0,1018,8,10,152,14,36101
2009-01-02 12:00:00,18,6,0.0,5.4,4,38,11:18 AM,11:43 PM,07:47 AM,05:52 PM,13,18,18,18,18,60,76,0.0,1017,18,10,202,15,36101
2009-01-02 18:00:00,18,6,0.0,5.4,4,38,11:18 AM,11:43 PM,07:47 AM,05:52 PM,14,15,15,15,12,71,97,0.0,1016,15,2,186,6,36101
2009-01-03 00:00:00,21,14,0.0,8.7,4,45,11:45 AM,No moonset,07:48 AM,05:53 PM,14,14,14,14,22,100,98,0.0,1017,14,0,167,12,36101
2009-01-03 06:00:00,21,14,0.0,8.7,4,45,11:45 AM,No moonset,07:48 AM,05:53 PM,13,13,14,13,18,82,95,0.0,1017,14,2,186,10,36101
2009-01-03 12:00:00,21,14,0.0,8.7,4,45,11:45 AM,No moonset,07:48 AM,05:53 PM,16,20,20,20,18,23,76,0.0,1017,20,10,177,14,36101
2009-01-03 18:00:00,21,14,0.0,8.7,4,45,11:45 AM,No moonset,07:48 AM,05:53 PM,17,17,17,17,17,63,96,0.0,1016,17,2,198,9,36101
2009-01-04 00:00:00,20,14,0.0,3.8,4,52,12:15 PM,12:43 AM,07:48 AM,05:54 PM,15,16,16,16,20,73,93,0.0,1016,16,10,167,13,36101
2009-01-04 06:00:00,20,14,0.0,3.8,4,52,12:15 PM,12:43 AM,07:48 AM,05:54 PM,14,14,14,14,15,68,97,0.0,1018,14,2,186,9,36101
2009-01-04 12:00:00,20,14,0.0,3.8,4,52,12:15 PM,12:43 AM,07:48 AM,05:54 PM,16,18,18,18,12,71,88,0.0,1020,18,10,221,10,36101
2009-01-04 18:00:00,20,14,0.0,3.8,4,52,12:15 PM,12:43 AM,07:48 AM,05:54 PM,15,16,16,16,9,59,95,0.0,1020,16,2,299,4,36101
2009-01-05 00:00:00,18,15,0.0,3.8,4,60,12:49 PM,01:46 AM,07:48 AM,05:55 PM,15,15,15,15,23,57,96,0.0,1020,15,2,212,11,36101
2009-01-05 06:00:00,18,15,0.0,3.8,4,60,12:49 PM,01:46 AM,07:48 AM,05:55 PM,15,15,15,15,18,100,98,0.0,1019,15,0,212,9,36101
2009-01-05 12:00:00,18,15,0.0,3.8,4,60,12:49 PM,01:46 AM,07:48 AM,05:55 PM,16,17,17,17,15,100,96,0.0,1018,17,2,236,10,36101
2009-01-05 18:00:00,18,15,0.0,3.8,4,60,12:49 PM,01:46 AM,07:48 AM,05:55 PM,17,17,17,17,19,100,98,0.0,1014,17,0,185,10,36101
2009-01-06 00:00:00,22,17,0.0,3.8,5,67,01:29 PM,02:53 AM,07:48 AM,05:55 PM,16,17,17,17,39,50,92,0.0,1011,17,10,209,23,36101
2009-01-06 06:00:00,22,17,0.0,3.8,5,67,01:29 PM,02:53 AM,07:48 AM,05:55 PM,17,18,18,18,36,100,97,0.0,1010,18,10,203,22,36101
2009-01-06 12:00:00,22,17,0.0,3.8,5,67,01:29 PM,02:53 AM,07:48 AM,05:55 PM,19,22,25,22,36,80,83,0.0,1006,22,10,193,24,36101
2009-01-06 18:00:00,22,17,0.0,3.8,5,67,01:29 PM,02:53 AM,07:48 AM,05:55 PM,16,19,19,19,26,64,83,0.0,1004,19,10,193,15,36101
2009-01-07 00:00:00,15,8,0.0,7.1,3,74,02:16 PM,04:04 AM,07:48 AM,05:56 PM,14,15,15,15,31,77,92,0.0,1002,15,10,295,21,36101
2009-01-07 06:00:00,15,8,0.0,7.1,3,74,02:16 PM,04:04 AM,07:48 AM,05:56 PM,10,8,11,8,36,87,90,0.0,1004,11,10,248,23,36101
2009-01-07 12:00:00,15,8,0.0,7.1,3,74,02:16 PM,04:04 AM,07:48 AM,05:56 PM,3,10,12,10,33,0,53,0.0,1009,12,10,284,29,36101
2009-01-07 18:00:00,15,8,0.0,7.1,3,74,02:16 PM,04:04 AM,07:48 AM,05:56 PM,3,7,9,7,29,46,64,0.0,1010,9,10,257,14,36101
2009-01-08 00:00:00,16,7,0.0,8.7,4,82,03:15 PM,05:16 AM,07:48 AM,05:57 PM,3,4,7,4,45,7,74,0.0,1012,7,10,239,22,36101
2009-01-08 06:00:00,16,7,0.0,8.7,4,82,03:15 PM,05:16 AM,07:48 AM,05:57 PM,4,4,7,4,38,5,79,0.0,1011,7,10,230,19,36101
2009-01-08 12:00:00,16,7,0.0,8.7,4,82,03:15 PM,05:16 AM,07:48 AM,05:57 PM,7,16,16,16,29,2,57,0.0,1012,16,10,292,23,36101
2009-01-08 18:00:00,16,7,0.0,8.7,4,82,03:15 PM,05:16 AM,07:48 AM,05:57 PM,6,7,10,7,38,0,75,0.0,1016,10,10,312,18,36101
2009-01-09 00:00:00,16,3,0.0,8.7,3,89,04:22 PM,06:24 AM,07:48 AM,05:58 PM,2,3,6,3,28,0,75,0.0,1020,6,10,16,14,36101
2009-01-09 06:00:00,16,3,0.0,8.7,3,89,04:22 PM,06:24 AM,07:48 AM,05:58 PM,-3,-0,3,-0,28,0,62,0.0,1022,3,10,78,13,36101
2009-01-09 12:00:00,16,3,0.0,8.7,3,89,04:22 PM,06:24 AM,07:48 AM,05:58 PM,2,14,15,14,11,2,42,0.0,1022,15,10,133,10,36101
2009-01-09 18:00:00,16,3,0.0,8.7,3,89,04:22 PM,06:24 AM,07:48 AM,05:58 PM,5,10,11,10,25,2,65,0.0,1021,11,10,152,12,36101
2009-01-10 00:00:00,18,9,0.0,3.8,4,96,05:37 PM,07:25 AM,07:48 AM,05:59 PM,6,7,10,7,47,6,79,0.0,1022,10,10,163,22,36101
2009-01-10 06:00:00,18,9,0.0,3.8,4,96,05:37 PM,07:25 AM,07:48 AM,05:59 PM,9,9,11,9,32,100,86,0.0,1020,11,10,160,18,36101
2009-01-10 12:00:00,18,9,0.0,3.8,4,96,05:37 PM,07:25 AM,07:48 AM,05:59 PM,16,18,18,18,32,93,88,0.0,1018,18,10,200,20,36101
