date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,5,-4,0.0,9.6,2,31,11:36 AM,11:21 PM,08:49 AM,06:06 PM,-17,-13,-4,-13,61,6,37,0.0,1017,-4,10,173,38,68183
2009-01-01 06:00:00,5,-4,0.0,9.6,2,31,11:36 AM,11:21 PM,08:49 AM,06:06 PM,-12,-11,-3,-11,51,4,52,0.0,1010,-3,10,198,29,68183
2009-01-01 12:00:00,5,-4,0.0,9.6,2,31,11:36 AM,11:21 PM,08:49 AM,06:06 PM,-6,-2,2,-2,21,9,54,0.0,1011,2,10,318,17,68183
2009-01-01 18:00:00,5,-4,0.0,9.6,2,31,11:36 AM,11:21 PM,08:49 AM,06:06 PM,-3,-4,-1,-4,19,17,86,0.0,1012,-1,10,269,9,68183
2009-01-02 00:00:00,4,-3,0.0,9.6,2,38,11:57 AM,No moonset,08:50 AM,06:06 PM,-4,-5,-1,-5,23,44,80,0.0,1013,-1,10,282,11,68183
2009-01-02 06:00:00,4,-3,0.0,9.6,2,38,11:57 AM,No moonset,08:50 AM,06:06 PM,-6,-7,-3,-7,21,9,77,0.0,1013,-3,10,86,11,68183
2009-01-02 12:00:00,4,-3,0.0,9.6,2,38,11:57 AM,No moonset,08:50 AM,06:06 PM,-7,-1,3,-1,20,5,49,0.0,1013,3,10,134,17,68183
2009-01-02 18:00:00,4,-3,0.0,9.6,2,38,11:57 AM,No moonset,08:50 AM,06:06 PM,-4,-4,2,-4,52,7,68,0.0,1008,1,10,140,26,68183
2009-01-03 00:00:00,2,-6,0.6,4.8,2,45,12:19 PM,12:25 AM,08:50 AM,06:07 PM,-1,-6,1,-6,51,17,92,0.0,1007,0,10,138,28,68183
2009-01-03 06:00:00,2,-6,0.6,4.8,2,45,12:19 PM,12:25 AM,08:50 AM,06:07 PM,0,-4,1,-4,28,83,96,0.0,1003,1,10,125,17,68183
2009-01-03 12:00:00,2,-6,0.6,4.8,2,45,12:19 PM,12:25 AM,08:50 AM,06:07 PM,1,-2,2,-2,19,100,97,0.0,1005,2,2,4,12,68183
2009-01-03 18:00:00,2,-6,0.6,4.8,2,45,12:19 PM,12:25 AM,08:50 AM,06:07 PM,-7,-13,-5,-13,47,100,80,0.0,1014,-5,10,332,41,68183
2009-01-04 00:00:00,-4,-13,0.0,9.6,1,52,12:43 PM,01:32 AM,08:50 AM,06:08 PM,-13,-19,-8,-19,53,100,69,0.0,1023,-8,10,334,44,68183
2009-01-04 06:00:00,-4,-13,0.0,9.6,1,52,12:43 PM,01:32 AM,08:50 AM,06:08 PM,-20,-23,-13,-23,41,3,56,0.0,1030,-13,10,333,34,68183
2009-01-04 12:00:00,-4,-13,0.0,9.6,1,52,12:43 PM,01:32 AM,08:50 AM,06:08 PM,-18,-13,-6,-13,19,4,38,0.0,1033,-6,10,332,16,68183
2009-01-04 18:00:00,-4,-13,0.0,9.6,1,52,12:43 PM,01:32 AM,08:50 AM,06:08 PM,-18,-11,-8,-11,8,3,43,0.0,1032,-8,10,243,5,68183
2009-01-05 00:00:00,1,-8,0.0,9.6,2,60,01:11 PM,02:42 AM,08:50 AM,06:09 PM,-19,-12,-8,-12,17,8,42,0.0,1030,-8,10,193,8,68183
2009-01-05 06:00:00,1,-8,0.0,9.6,2,60,01:11 PM,02:42 AM,08:50 AM,06:09 PM,-19,-16,-8,-16,45,2,41,0.0,1026,-8,10,222,22,68183
2009-01-05 12:00:00,1,-8,0.0,9.6,2,60,01:11 PM,02:42 AM,08:50 AM,06:09 PM,-18,-7,-0,-7,35,3,24,0.0,1018,-0,10,203,29,68183
2009-01-05 18:00:00,1,-8,0.0,9.6,2,60,01:11 PM,02:42 AM,08:50 AM,06:09 PM,-17,-8,-2,-8,38,2,32,0.0,1010,-2,10,165,19,68183
2009-01-06 00:00:00,3,-6,0.0,9.6,2,67,01:45 PM,03:56 AM,08:49 AM,06:10 PM,-16,-11,-4,-11,49,9,37,0.0,1007,-4,10,175,28,68183
2009-01-06 06:00:00,3,-6,0.0,9.6,2,67,01:45 PM,03:56 AM,08:49 AM,06:10 PM,-15,-12,-6,-12,28,6,47,0.0,1004,-6,10,207,15,68183
2009-01-06 12:00:00,3,-6,0.0,9.6,2,67,01:45 PM,03:56 AM,08:49 AM,06:10 PM,-12,-3,0,-3,12,9,39,0.0,1002,0,10,238,10,68183
2009-01-06 18:00:00,3,-6,0.0,9.6,2,67,01:45 PM,03:56 AM,08:49 AM,06:10 PM,-3,-4,-1,-4,23,17,86,0.0,1002,-1,10,308,11,68183
2009-01-07 00:00:00,-0,-6,0.0,9.6,1,74,02:27 PM,05:12 AM,08:49 AM,06:11 PM,-4,-8,-2,-8,36,63,86,0.0,1003,-2,10,332,22,68183
2009-01-07 06:00:00,-0,-6,0.0,9.6,1,74,02:27 PM,05:12 AM,08:49 AM,06:11 PM,-9,-12,-5,-12,36,37,72,0.0,1004,-5,10,323,27,68183
2009-01-07 12:00:00,-0,-6,0.0,9.6,1,74,02:27 PM,05:12 AM,08:49 AM,06:11 PM,-11,-7,-2,-7,18,33,49,0.0,1004,-2,10,292,15,68183
2009-01-07 18:00:00,-0,-6,0.0,9.6,1,74,02:27 PM,05:12 AM,08:49 AM,06:11 PM,-9,-10,-4,-10,22,26,67,0.0,1007,-4,10,341,15,68183
2009-01-08 00:00:00,-2,-11,0.0,9.6,2,82,03:23 PM,06:27 AM,08:49 AM,06:12 PM,-13,-15,-7,-15,26,4,66,0.0,1013,-7,10,342,20,68183
2009-01-08 06:00:00,-2,-11,0.0,9.6,2,82,03:23 PM,06:27 AM,08:49 AM,06:12 PM,-17,-17,-11,-17,15,15,62,0.0,1017,-11,10,326,12,68183
2009-01-08 12:00:00,-2,-11,0.0,9.6,2,82,03:23 PM,06:27 AM,08:49 AM,06:12 PM,-17,-10,-5,-10,11,45,40,0.0,1018,-5,10,141,10,68183
2009-01-08 18:00:00,-2,-11,0.0,9.6,2,82,03:23 PM,06:27 AM,08:49 AM,06:12 PM,-12,-9,-3,-9,32,20,50,0.0,1013,-3,10,135,18,68183
2009-01-09 00:00:00,2,-5,0.3,8.2,2,89,04:31 PM,07:37 AM,08:49 AM,06:13 PM,-6,-8,-2,-8,48,11,74,0.0,1008,-2,10,157,26,68183
2009-01-09 06:00:00,2,-5,0.3,8.2,2,89,04:31 PM,07:37 AM,08:49 AM,06:13 PM,-1,-3,-0,-3,17,9,92,0.0,1006,-0,10,234,8,68183
2009-01-09 12:00:00,2,-5,0.3,8.2,2,89,04:31 PM,07:37 AM,08:49 AM,06:13 PM,-3,-3,2,-3,26,24,70,0.0,1012,2,10,6,23,68183
2009-01-09 18:00:00,2,-5,0.3,8.2,2,89,04:31 PM,07:37 AM,08:49 AM,06:13 PM,-5,-12,-4,-12,42,100,89,0.0,1021,-4,10,355,33,68183
2009-01-10 00:00:00,-4,-8,0.1,9.7,1,96,05:49 PM,08:34 AM,08:49 AM,06:14 PM,-8,-15,-6,-15,41,100,84,0.0,1026,-6,10,347,32,68183
2009-01-10 06:00:00,-4,-8,0.1,9.7,1,96,05:49 PM,08:34 AM,08:49 AM,06:14 PM,-10,-17,-8,-17,37,100,82,0.0,1028,-8,10,350,28,68183
2009-01-10 12:00:00,-4,-8,0.1,9.7,1,96,05:49 PM,08:34 AM,08:49 AM,06:14 PM,-10,-10,-5,-10,15,7,70,0.0,1030,-5,10,314,13,68183
2009-01-10 18:00:00,-4,-8,0.1,9.7,1,96,05:49 PM,08:34 AM,08:49 AM,06:14 PM,-11,-12,-7,-12,19,28,73,0.0,1026,-7,10,199,10,68183
