date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,-11,-15,0.0,8.7,2,31,10:54 AM,10:32 PM,08:15 AM,05:15 PM,-16,-24,-13,-24,45,13,77,0.0,1008,-13,10,322,37,04101
2009-01-01 06:00:00,-11,-15,0.0,8.7,2,31,10:54 AM,10:32 PM,08:15 AM,05:15 PM,-18,-26,-15,-26,41,1,77,0.0,1012,-15,10,310,33,04101
2009-01-01 12:00:00,-11,-15,0.0,8.7,2,31,10:54 AM,10:32 PM,08:15 AM,05:15 PM,-15,-22,-11,-22,48,0,68,0.0,1014,-11,10,310,41,04101
2009-01-01 18:00:00,-11,-15,0.0,8.7,2,31,10:54 AM,10:32 PM,08:15 AM,05:15 PM,-15,-21,-12,-21,35,14,79,0.0,1018,-12,10,295,22,04101
2009-01-02 00:00:00,-4,-13,0.1,6.9,2,38,11:13 AM,11:39 PM,08:15 AM,05:16 PM,-14,-21,-12,-21,34,13,85,0.0,1019,-12,10,294,20,04101
2009-01-02 06:00:00,-4,-13,0.1,6.9,2,38,11:13 AM,11:39 PM,08:15 AM,05:16 PM,-15,-18,-12,-18,19,17,79,0.0,1016,-13,10,276,9,04101
2009-01-02 12:00:00,-4,-13,0.1,6.9,2,38,11:13 AM,11:39 PM,08:15 AM,05:16 PM,-8,-10,-4,-10,30,46,74,0.0,1008,-4,10,219,21,04101
2009-01-02 18:00:00,-4,-13,0.1,6.9,2,38,11:13 AM,11:39 PM,08:15 AM,05:16 PM,-7,-12,-5,-12,32,23,86,0.0,1004,-5,10,274,18,04101
2009-01-03 00:00:00,-3,-8,0.0,8.7,2,45,11:33 AM,No moonset,08:15 AM,05:17 PM,-7,-11,-6,-11,30,26,89,0.0,1004,-6,10,278,14,04101
2009-01-03 06:00:00,-3,-8,0.0,8.7,2,45,11:33 AM,No moonset,08:15 AM,05:17 PM,-8,-12,-5,-12,34,25,84,0.0,1004,-5,10,285,19,04101
2009-01-03 12:00:00,-3,-8,0.0,8.7,2,45,11:33 AM,No moonset,08:15 AM,05:17 PM,-7,-9,-3,-9,32,8,75,0.0,1006,-3,10,295,22,04101
2009-01-03 18:00:00,-3,-8,0.0,8.7,2,45,11:33 AM,No moonset,08:15 AM,05:17 PM,-9,-13,-6,-13,37,56,81,0.0,1008,-6,10,289,22,04101
2009-01-04 00:00:00,-2,-8,0.0,8.7,2,52,11:55 AM,12:47 AM,08:15 AM,05:18 PM,-10,-16,-8,-16,45,12,83,0.0,1009,-7,10,297,28,04101
2009-01-04 06:00:00,-2,-8,0.0,8.7,2,52,11:55 AM,12:47 AM,08:15 AM,05:18 PM,-10,-15,-8,-15,30,7,85,0.0,1012,-8,10,301,19,04101
2009-01-04 12:00:00,-2,-8,0.0,8.7,2,52,11:55 AM,12:47 AM,08:15 AM,05:18 PM,-5,-8,-2,-8,28,1,80,0.0,1013,-2,10,325,19,04101
2009-01-04 18:00:00,-2,-8,0.0,8.7,2,52,11:55 AM,12:47 AM,08:15 AM,05:18 PM,-7,-10,-5,-10,26,7,84,0.0,1016,-5,10,331,14,04101
2009-01-05 00:00:00,1,-4,0.0,8.7,2,60,12:20 PM,01:59 AM,08:14 AM,05:19 PM,-5,-4,-3,-4,6,32,83,0.0,1013,-4,10,197,4,04101
2009-01-05 06:00:00,1,-4,0.0,8.7,2,60,12:20 PM,01:59 AM,08:14 AM,05:19 PM,-4,-6,-2,-6,20,59,84,0.0,1009,-2,10,232,12,04101
2009-01-05 12:00:00,1,-4,0.0,8.7,2,60,12:20 PM,01:59 AM,08:14 AM,05:19 PM,-1,-3,1,-3,24,48,83,0.0,1009,1,10,291,16,04101
2009-01-05 18:00:00,1,-4,0.0,8.7,2,60,12:20 PM,01:59 AM,08:14 AM,05:19 PM,-4,-6,-2,-6,27,23,83,0.0,1011,-2,10,270,13,04101
2009-01-06 00:00:00,-1,-5,0.0,8.7,2,67,12:51 PM,03:14 AM,08:14 AM,05:20 PM,-5,-8,-2,-8,36,0,83,0.0,1012,-2,10,278,19,04101
2009-01-06 06:00:00,-1,-5,0.0,8.7,2,67,12:51 PM,03:14 AM,08:14 AM,05:20 PM,-7,-11,-5,-11,36,2,83,0.0,1015,-5,10,269,21,04101
2009-01-06 12:00:00,-1,-5,0.0,8.7,2,67,12:51 PM,03:14 AM,08:14 AM,05:20 PM,-5,-7,-2,-7,27,1,75,0.0,1015,-1,10,244,19,04101
2009-01-06 18:00:00,-1,-5,0.0,8.7,2,67,12:51 PM,03:14 AM,08:14 AM,05:20 PM,-6,-7,-4,-7,18,21,82,0.0,1015,-4,10,274,9,04101
2009-01-07 00:00:00,-2,-5,1.4,3.4,1,74,01:32 PM,04:32 AM,08:14 AM,05:21 PM,-6,-6,-3,-6,15,77,79,0.0,1014,-3,10,66,9,04101
2009-01-07 06:00:00,-2,-5,1.4,3.4,1,74,01:32 PM,04:32 AM,08:14 AM,05:21 PM,-4,-10,-3,-10,37,100,94,0.0,1008,-3,10,76,25,04101
2009-01-07 12:00:00,-2,-5,1.4,3.4,1,74,01:32 PM,04:32 AM,08:14 AM,05:21 PM,-4,-10,-3,-10,38,100,93,0.0,998,-3,10,44,27,04101
2009-01-07 18:00:00,-2,-5,1.4,3.4,1,74,01:32 PM,04:32 AM,08:14 AM,05:21 PM,-6,-13,-5,-13,39,100,92,0.0,988,-5,10,19,29,04101
2009-01-08 00:00:00,2,-6,0.0,3.4,1,82,02:25 PM,05:50 AM,08:14 AM,05:22 PM,-7,-13,-6,-13,27,98,92,0.0,981,-6,10,335,20,04101
2009-01-08 06:00:00,2,-6,0.0,3.4,1,82,02:25 PM,05:50 AM,08:14 AM,05:22 PM,-2,-7,-0,-7,48,79,86,0.0,985,-0,10,240,29,04101
2009-01-08 12:00:00,2,-6,0.0,3.4,1,82,02:25 PM,05:50 AM,08:14 AM,05:22 PM,-1,-4,2,-4,43,69,84,0.0,989,2,10,237,28,04101
2009-01-08 18:00:00,2,-6,0.0,3.4,1,82,02:25 PM,05:50 AM,08:14 AM,05:22 PM,-5,-9,-2,-9,42,60,83,0.0,995,-2,10,274,26,04101
2009-01-09 00:00:00,-5,-9,0.0,8.7,2,89,03:33 PM,07:00 AM,08:14 AM,05:23 PM,-10,-14,-7,-14,28,13,79,0.0,1001,-7,10,294,18,04101
2009-01-09 06:00:00,-5,-9,0.0,8.7,2,89,03:33 PM,07:00 AM,08:14 AM,05:23 PM,-11,-15,-9,-15,23,19,80,0.0,1006,-9,10,296,15,04101
2009-01-09 12:00:00,-5,-9,0.0,8.7,2,89,03:33 PM,07:00 AM,08:14 AM,05:23 PM,-9,-12,-5,-12,27,42,73,0.0,1008,-5,10,309,21,04101
2009-01-09 18:00:00,-5,-9,0.0,8.7,2,89,03:33 PM,07:00 AM,08:14 AM,05:23 PM,-11,-15,-8,-15,31,33,80,0.0,1015,-8,10,310,19,04101
2009-01-10 00:00:00,-6,-10,0.0,8.7,2,96,04:52 PM,07:57 AM,08:13 AM,05:25 PM,-11,-16,-9,-16,27,15,85,0.0,1019,-9,10,301,17,04101
2009-01-10 06:00:00,-6,-10,0.0,8.7,2,96,04:52 PM,07:57 AM,08:13 AM,05:25 PM,-12,-16,-10,-16,17,2,84,0.0,1023,-10,10,301,10,04101
2009-01-10 12:00:00,-6,-10,0.0,8.7,2,96,04:52 PM,07:57 AM,08:13 AM,05:25 PM,-10,-7,-5,-7,6,8,71,0.0,1023,-6,10,327,5,04101
2009-01-10 18:00:00,-6,-10,0.0,8.7,2,96,04:52 PM,07:57 AM,08:13 AM,05:25 PM,-11,-7,-7,-7,1,29,77,0.0,1023,-8,10,291,0,04101
2009-01-11 00:00:00,-5,-9,0.7,5.2,2,100,06:15 PM,08:42 AM,08:13 AM,05:26 PM,-8,-12,-6,-12,29,44,81,0.0,1019,-6,10,71,19,04101
2009-01-11 06:00:00,-5,-9,0.7,5.2,2,100,06:15 PM,08:42 AM,08:13 AM,05:26 PM,-8,-16,-7,-16,48,100,94,0.0,1013,-7,10,29,34,04101
2009-01-11 12:00:00,-5,-9,0.7,5.2,2,100,06:15 PM,08:42 AM,08:13 AM,05:26 PM,-8,-16,-7,-16,42,100,94,0.0,1011,-7,10,358,32,04101
2009-01-11 18:00:00,-5,-9,0.7,5.2,2,100,06:15 PM,08:42 AM,08:13 AM,05:26 PM,-9,-14,-8,-14,32,5,89,0.0,1015,-7,10,21,16,04101
2009-01-12 00:00:00,-5,-10,0.1,6.9,2,89,07:37 PM,09:17 AM,08:13 AM,05:27 PM,-12,-16,-10,-16,21,5,89,0.0,1017,-10,10,28,10,04101
2009-01-12 06:00:00,-5,-10,0.1,6.9,2,89,07:37 PM,09:17 AM,08:13 AM,05:27 PM,-10,-15,-9,-15,21,70,90,0.0,1017,-9,10,23,12,04101
2009-01-12 12:00:00,-5,-10,0.1,6.9,2,89,07:37 PM,09:17 AM,08:13 AM,05:27 PM,-8,-9,-5,-9,16,27,81,0.0,1019,-5,10,325,11,04101
2009-01-12 18:00:00,-5,-10,0.1,6.9,2,89,07:37 PM,09:17 AM,08:13 AM,05:27 PM,-11,-14,-9,-14,22,3,85,0.0,1023,-9,10,318,10,04101
2009-01-13 00:00:00,2,-10,0.0,6.9,2,82,08:56 PM,09:45 AM,08:12 AM,05:28 PM,-12,-13,-10,-13,12,16,83,0.0,1026,-10,10,273,6,04101
2009-01-13 06:00:00,2,-10,0.0,6.9,2,82,08:56 PM,09:45 AM,08:12 AM,05:28 PM,-9,-13,-7,-13,28,9,84,0.0,1024,-7,10,226,14,04101
2009-01-13 12:00:00,2,-10,0.0,6.9,2,82,08:56 PM,09:45 AM,08:12 AM,05:28 PM,-3,-7,-1,-7,36,50,86,0.0,1018,-1,10,201,24,04101
2009-01-13 18:00:00,2,-10,0.0,6.9,2,82,08:56 PM,09:45 AM,08:12 AM,05:28 PM,-0,-4,1,-4,41,100,91,0.0,1012,1,10,181,24,04101
2009-01-14 00:00:00,2,-14,0.0,8.7,2,75,10:10 PM,10:09 AM,08:12 AM,05:29 PM,1,-3,2,-3,29,44,95,0.0,1002,2,10,238,17,04101
2009-01-14 06:00:00,2,-14,0.0,8.7,2,75,10:10 PM,10:09 AM,08:12 AM,05:29 PM,-10,-16,-8,-16,46,0,83,0.0,1006,-8,10,302,30,04101
2009-01-14 12:00:00,2,-14,0.0,8.7,2,75,10:10 PM,10:09 AM,08:12 AM,05:29 PM,-13,-19,-11,-19,28,3,82,0.0,1014,-11,10,307,21,04101
2009-01-14 18:00:00,2,-14,0.0,8.7,2,75,10:10 PM,10:09 AM,08:12 AM,05:29 PM,-16,-21,-14,-21,24,100,84,0.0,1021,-14,10,313,15,04101
2009-01-15 00:00:00,-13,-17,0.0,8.7,1,68,11:21 PM,10:30 AM,08:11 AM,05:30 PM,-18,-23,-16,-23,21,67,83,0.0,1023,-16,10,316,12,04101
2009-01-15 06:00:00,-13,-17,0.0,8.7,1,68,11:21 PM,10:30 AM,08:11 AM,05:30 PM,-19,-25,-17,-25,24,47,87,0.0,1024,-17,10,4,13,04101
2009-01-15 12:00:00,-13,-17,0.0,8.7,1,68,11:21 PM,10:30 AM,08:11 AM,05:30 PM,-15,-18,-13,-18,13,42,81,0.0,1023,-13,10,0,10,04101
2009-01-15 18:00:00,-13,-17,0.0,8.7,1,68,11:21 PM,10:30 AM,08:11 AM,05:30 PM,-19,-23,-17,-23,18,4,85,0.0,1026,-17,10,334,9,04101
2009-01-16 00:00:00,-11,-20,0.0,8.7,2,60,No moonrise,10:52 AM,08:11 AM,05:32 PM,-19,-25,-18,-25,25,3,89,0.0,1027,-18,10,340,12,04101
2009-01-16 06:00:00,-11,-20,0.0,8.7,2,60,No moonrise,10:52 AM,08:11 AM,05:32 PM,-21,-27,-20,-27,23,13,89,0.0,1028,-20,10,305,11,04101
2009-01-16 12:00:00,-11,-20,0.0,8.7,2,60,No moonrise,10:52 AM,08:11 AM,05:32 PM,-14,-19,-11,-19,22,7,78,0.0,1028,-11,10,269,17,04101
2009-01-16 18:00:00,-11,-20,0.0,8.7,2,60,No moonrise,10:52 AM,08:11 AM,05:32 PM,-14,-21,-12,-21,34,31,83,0.0,1029,-12,10,251,19,04101
2009-01-17 00:00:00,-9,-16,0.0,8.7,2,53,12:30 AM,11:14 AM,08:10 AM,05:33 PM,-16,-22,-15,-22,29,62,89,0.0,1030,-15,10,280,14,04101
2009-01-17 06:00:00,-9,-16,0.0,8.7,2,53,12:30 AM,11:14 AM,08:10 AM,05:33 PM,-17,-24,-16,-24,29,12,90,0.0,1032,-16,10,263,16,04101
2009-01-17 12:00:00,-9,-16,0.0,8.7,2,53,12:30 AM,11:14 AM,08:10 AM,05:33 PM,-12,-17,-9,-17,28,10,81,0.0,1030,-9,10,244,21,04101
2009-01-17 18:00:00,-9,-16,0.0,8.7,2,53,12:30 AM,11:14 AM,08:10 AM,05:33 PM,-14,-18,-12,-18,22,45,81,0.0,1030,-12,10,234,10,04101
