date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,0,0,0.0,11.4,6,31,10:20 AM,10:25 PM,06:57 AM,06:00 PM,20,23,25,23,7,3,81,0.0,1015,22,10,115,5,00901
2009-01-01 06:00:00,0,0,0.0,11.4,6,31,10:20 AM,10:25 PM,06:57 AM,06:00 PM,20,27,27,25,5,0,73,0.0,1016,23,10,199,4,00901
2009-01-01 12:00:00,0,0,0.0,11.4,6,31,10:20 AM,10:25 PM,06:57 AM,06:00 PM,17,26,26,25,12,0,60,0.0,1015,25,10,335,9,00901
2009-01-01 18:00:00,0,0,0.0,11.4,6,31,10:20 AM,10:25 PM,06:57 AM,06:00 PM,19,25,25,23,18,8,77,0.0,1016,23,10,30,12,00901
2009-01-02 00:00:00,0,0,0.0,11.4,6,38,10:54 AM,11:16 PM,06:57 AM,06:00 PM,19,25,25,23,20,22,79,0.0,1015,23,10,60,14,00901
2009-01-02 06:00:00,0,0,0.0,11.4,6,38,10:54 AM,11:16 PM,06:57 AM,06:00 PM,19,25,25,23,17,18,79,0.0,1016,23,10,76,12,00901
2009-01-02 12:00:00,0,0,0.0,11.4,6,38,10:54 AM,11:16 PM,06:57 AM,06:00 PM,19,27,27,26,19,3,68,0.0,1015,26,10,80,14,00901
2009-01-02 18:00:00,0,0,0.0,11.4,6,38,10:54 AM,11:16 PM,06:57 AM,06:00 PM,20,26,26,24,21,3,77,0.0,1016,24,10,84,14,00901
2009-01-03 00:00:00,0,0,0.0,10.1,5,45,11:29 AM,No moonset,06:57 AM,06:01 PM,20,26,26,24,14,69,80,0.0,1015,24,10,88,9,00901
2009-01-03 06:00:00,0,0,0.0,10.1,5,45,11:29 AM,No moonset,06:57 AM,06:01 PM,22,26,26,24,14,51,86,0.0,1016,24,10,93,10,00901
2009-01-03 12:00:00,0,0,0.0,10.1,5,45,11:29 AM,No moonset,06:57 AM,06:01 PM,23,27,27,25,12,50,87,0.0,1015,25,10,111,9,00901
2009-01-03 18:00:00,0,0,0.0,10.1,5,45,11:29 AM,No moonset,06:57 AM,06:01 PM,22,27,27,24,21,20,86,0.0,1015,24,10,92,14,00901
2009-01-04 00:00:00,0,0,0.0,11.4,6,52,12:06 PM,12:08 AM,06:58 AM,06:02 PM,22,26,26,24,10,16,87,0.0,1015,24,10,101,7,00901
2009-01-04 06:00:00,0,0,0.0,11.4,6,52,12:06 PM,12:08 AM,06:58 AM,06:02 PM,21,26,26,24,22,24,83,0.0,1016,24,10,112,16,00901
2009-01-04 12:00:00,0,0,0.0,11.4,6,52,12:06 PM,12:08 AM,06:58 AM,06:02 PM,21,28,28,26,22,7,74,0.0,1016,26,10,75,16,00901
2009-01-04 18:00:00,0,0,0.0,11.4,6,52,12:06 PM,12:08 AM,06:58 AM,06:02 PM,21,26,26,25,21,3,80,0.0,1017,24,10,81,15,00901
2009-01-05 00:00:00,0,0,0.0,11.4,6,60,12:47 PM,01:04 AM,06:58 AM,06:02 PM,21,26,26,24,18,12,81,0.0,1016,24,10,93,13,00901
2009-01-05 06:00:00,0,0,0.0,11.4,6,60,12:47 PM,01:04 AM,06:58 AM,06:02 PM,21,26,26,24,14,19,82,0.0,1017,24,10,105,10,00901
2009-01-05 12:00:00,0,0,0.0,11.4,6,60,12:47 PM,01:04 AM,06:58 AM,06:02 PM,21,28,28,26,19,3,73,0.0,1015,26,10,82,14,00901
2009-01-05 18:00:00,0,0,0.0,11.4,6,60,12:47 PM,01:04 AM,06:58 AM,06:02 PM,21,27,27,25,23,30,82,0.0,1015,25,10,82,16,00901
2009-01-06 00:00:00,0,0,0.0,11.5,6,67,01:34 PM,02:03 AM,06:58 AM,06:03 PM,21,26,26,24,24,31,82,0.0,1015,24,10,82,16,00901
2009-01-06 06:00:00,0,0,0.0,11.5,6,67,01:34 PM,02:03 AM,06:58 AM,06:03 PM,21,26,26,24,26,44,82,0.0,1016,24,10,97,18,00901
2009-01-06 12:00:00,0,0,0.0,11.5,6,67,01:34 PM,02:03 AM,06:58 AM,06:03 PM,22,28,28,26,22,35,80,0.0,1015,26,10,73,15,00901
2009-01-06 18:00:00,0,0,0.0,11.5,6,67,01:34 PM,02:03 AM,06:58 AM,06:03 PM,22,26,26,24,29,33,87,0.0,1015,24,10,83,19,00901
2009-01-07 00:00:00,0,0,0.0,11.5,6,74,02:27 PM,03:07 AM,06:58 AM,06:03 PM,21,26,26,24,33,47,83,0.0,1016,24,10,93,22,00901
2009-01-07 06:00:00,0,0,0.0,11.5,6,74,02:27 PM,03:07 AM,06:58 AM,06:03 PM,21,26,26,24,24,49,80,0.0,1016,24,10,101,17,00901
2009-01-07 12:00:00,0,0,0.0,11.5,6,74,02:27 PM,03:07 AM,06:58 AM,06:03 PM,21,28,28,26,21,18,75,0.0,1015,26,10,92,15,00901
2009-01-07 18:00:00,0,0,0.0,11.5,6,74,02:27 PM,03:07 AM,06:58 AM,06:03 PM,21,26,26,24,25,22,83,0.0,1016,24,10,85,17,00901
2009-01-08 00:00:00,0,0,0.0,11.5,6,82,03:28 PM,04:14 AM,06:59 AM,06:04 PM,21,26,26,23,27,52,88,0.0,1016,23,10,81,18,00901
2009-01-08 06:00:00,0,0,0.0,11.5,6,82,03:28 PM,04:14 AM,06:59 AM,06:04 PM,21,26,26,24,30,28,86,0.0,1016,23,10,107,21,00901
2009-01-08 12:00:00,0,0,0.0,11.5,6,82,03:28 PM,04:14 AM,06:59 AM,06:04 PM,21,28,28,26,25,0,73,0.0,1015,26,10,83,19,00901
2009-01-08 18:00:00,0,0,0.0,11.5,6,82,03:28 PM,04:14 AM,06:59 AM,06:04 PM,21,26,26,24,20,0,81,0.0,1016,24,10,97,14,00901
2009-01-09 00:00:00,0,0,0.0,11.5,6,89,04:35 PM,05:22 AM,06:59 AM,06:05 PM,21,26,26,24,24,13,83,0.0,1016,24,10,92,16,00901
2009-01-09 06:00:00,0,0,0.0,11.5,6,89,04:35 PM,05:22 AM,06:59 AM,06:05 PM,21,26,26,24,23,22,83,0.0,1017,24,10,120,16,00901
2009-01-09 12:00:00,0,0,0.0,11.5,6,89,04:35 PM,05:22 AM,06:59 AM,06:05 PM,22,28,28,25,17,12,80,0.0,1017,25,10,83,12,00901
