date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,0,0,0.0,8.7,2,31,11:18 AM,11:03 PM,08:27 AM,05:57 PM,-13,-10,-4,-10,33,12,48,0.0,1023,-4,10,313,21,20500
2009-01-01 06:00:00,0,0,0.0,8.7,2,31,11:18 AM,11:03 PM,08:27 AM,05:57 PM,-12,-8,-4,-8,14,5,50,0.0,1028,-5,10,308,11,20500
2009-01-01 12:00:00,0,0,0.0,8.7,2,31,11:18 AM,11:03 PM,08:27 AM,05:57 PM,-13,-1,2,-1,10,11,33,0.0,1028,1,10,325,9,20500
2009-01-01 18:00:00,0,0,0.0,8.7,2,31,11:18 AM,11:03 PM,08:27 AM,05:57 PM,-11,-3,-1,-3,11,1,44,0.0,1026,-3,10,178,8,20500
2009-01-02 00:00:00,0,0,0.0,7.0,2,38,11:41 AM,No moonset,08:27 AM,05:58 PM,-12,-7,-3,-7,22,12,47,0.0,1022,-3,10,181,13,20500
2009-01-02 06:00:00,0,0,0.0,7.0,2,38,11:41 AM,No moonset,08:27 AM,05:58 PM,-10,-5,0,-5,26,45,45,0.0,1017,-0,10,203,17,20500
2009-01-02 12:00:00,0,0,0.0,7.0,2,38,11:41 AM,No moonset,08:27 AM,05:58 PM,-5,2,5,2,17,34,49,0.0,1012,5,10,205,14,20500
2009-01-02 18:00:00,0,0,0.0,7.0,2,38,11:41 AM,No moonset,08:27 AM,05:58 PM,1,-1,2,-1,28,5,89,0.0,1011,2,10,210,13,20500
2009-01-03 00:00:00,0,0,0.0,8.7,1,45,12:04 PM,12:05 AM,08:27 AM,05:59 PM,1,0,2,0,12,4,95,0.0,1014,-0,2,261,6,20500
2009-01-03 06:00:00,0,0,0.0,8.7,1,45,12:04 PM,12:05 AM,08:27 AM,05:59 PM,-3,-2,-1,-2,9,3,87,0.0,1019,-3,10,9,5,20500
2009-01-03 12:00:00,0,0,0.0,8.7,1,45,12:04 PM,12:05 AM,08:27 AM,05:59 PM,-4,6,7,6,9,8,44,0.0,1020,6,10,331,8,20500
2009-01-03 18:00:00,0,0,0.0,8.7,1,45,12:04 PM,12:05 AM,08:27 AM,05:59 PM,-4,1,1,1,6,4,70,0.0,1021,-1,10,17,3,20500
2009-01-04 00:00:00,0,0,0.0,8.2,2,52,12:29 PM,01:10 AM,08:27 AM,06:00 PM,-6,-1,0,-1,7,7,61,0.0,1023,-2,10,351,4,20500
2009-01-04 06:00:00,0,0,0.0,8.2,2,52,12:29 PM,01:10 AM,08:27 AM,06:00 PM,-6,-0,1,-0,5,4,60,0.0,1022,-2,10,178,3,20500
2009-01-04 12:00:00,0,0,0.0,8.2,2,52,12:29 PM,01:10 AM,08:27 AM,06:00 PM,-3,6,7,6,5,65,52,0.0,1020,6,10,128,5,20500
2009-01-04 18:00:00,0,0,0.0,8.2,2,52,12:29 PM,01:10 AM,08:27 AM,06:00 PM,1,2,3,2,12,48,84,0.0,1019,3,10,161,6,20500
2009-01-05 00:00:00,0,0,0.0,8.2,1,60,12:58 PM,02:18 AM,08:27 AM,06:01 PM,4,5,5,5,6,100,98,0.0,1016,4,0,203,3,20500
2009-01-05 06:00:00,0,0,0.0,8.2,1,60,12:58 PM,02:18 AM,08:27 AM,06:01 PM,5,5,6,5,11,39,92,0.0,1015,5,10,7,6,20500
2009-01-05 12:00:00,0,0,0.0,8.2,1,60,12:58 PM,02:18 AM,08:27 AM,06:01 PM,5,9,10,9,9,30,70,0.0,1016,10,10,325,8,20500
