date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,1,-3,0.0,3.4,1,31,11:44 AM,11:28 PM,09:02 AM,06:03 PM,-0,-5,-0,-5,28,72,98,0.0,1015,-0,10,245,17,83402
2009-01-01 06:00:00,1,-3,0.0,3.4,1,31,11:44 AM,11:28 PM,09:02 AM,06:03 PM,-3,-7,-2,-7,22,95,98,0.0,1018,-2,10,246,14,83402
2009-01-01 12:00:00,1,-3,0.0,3.4,1,31,11:44 AM,11:28 PM,09:02 AM,06:03 PM,-1,-7,-1,-7,48,74,98,0.0,1013,-0,10,203,30,83402
2009-01-01 18:00:00,1,-3,0.0,3.4,1,31,11:44 AM,11:28 PM,09:02 AM,06:03 PM,1,-5,1,-5,68,100,100,0.0,1007,1,10,212,33,83402
2009-01-02 00:00:00,1,-2,0.0,3.4,1,38,12:03 PM,No moonset,09:02 AM,06:04 PM,1,-5,1,-5,64,100,100,0.0,1005,1,10,189,30,83402
2009-01-02 06:00:00,1,-2,0.0,3.4,1,38,12:03 PM,No moonset,09:02 AM,06:04 PM,1,-5,1,-5,61,100,100,0.0,1002,1,10,215,29,83402
2009-01-02 12:00:00,1,-2,0.0,3.4,1,38,12:03 PM,No moonset,09:02 AM,06:04 PM,1,-6,1,-6,70,100,100,0.0,997,1,10,218,35,83402
2009-01-02 18:00:00,1,-2,0.0,3.4,1,38,12:03 PM,No moonset,09:02 AM,06:04 PM,1,-5,1,-5,38,85,100,0.0,999,1,10,222,22,83402
2009-01-03 00:00:00,-5,-27,0.1,6.9,2,45,12:23 PM,12:34 AM,09:02 AM,06:05 PM,-6,-12,-5,-12,33,47,97,0.0,1012,-5,10,259,19,83402
2009-01-03 06:00:00,-5,-27,0.1,6.9,2,45,12:23 PM,12:34 AM,09:02 AM,06:05 PM,-22,-22,-22,-22,2,50,100,0.0,1023,-22,10,122,1,83402
2009-01-03 12:00:00,-5,-27,0.1,6.9,2,45,12:23 PM,12:34 AM,09:02 AM,06:05 PM,-12,-16,-12,-16,9,61,99,0.0,1029,-12,0,223,6,83402
2009-01-03 18:00:00,-5,-27,0.1,6.9,2,45,12:23 PM,12:34 AM,09:02 AM,06:05 PM,-17,-23,-17,-23,20,25,98,0.0,1033,-17,0,216,9,83402
2009-01-04 00:00:00,-13,-34,0.0,8.7,1,52,12:45 PM,01:43 AM,09:02 AM,06:06 PM,-22,-29,-22,-29,18,11,99,0.0,1039,-22,0,110,9,83402
2009-01-04 06:00:00,-13,-34,0.0,8.7,1,52,12:45 PM,01:43 AM,09:02 AM,06:06 PM,-24,-31,-24,-31,17,7,98,0.0,1041,-24,0,128,8,83402
2009-01-04 12:00:00,-13,-34,0.0,8.7,1,52,12:45 PM,01:43 AM,09:02 AM,06:06 PM,-18,-23,-17,-23,13,12,95,0.0,1041,-17,2,111,8,83402
2009-01-04 18:00:00,-13,-34,0.0,8.7,1,52,12:45 PM,01:43 AM,09:02 AM,06:06 PM,-34,-34,-34,-34,5,0,100,0.0,1037,-34,0,121,3,83402
2009-01-05 00:00:00,-9,-20,0.0,6.9,1,60,01:11 PM,02:54 AM,09:01 AM,06:07 PM,-21,-27,-20,-27,17,6,97,0.0,1036,-20,0,124,8,83402
2009-01-05 06:00:00,-9,-20,0.0,6.9,1,60,01:11 PM,02:54 AM,09:01 AM,06:07 PM,-15,-19,-15,-19,11,100,98,0.0,1027,-15,0,157,6,83402
2009-01-05 12:00:00,-9,-20,0.0,6.9,1,60,01:11 PM,02:54 AM,09:01 AM,06:07 PM,-10,-16,-10,-16,20,58,98,0.0,1020,-10,10,185,14,83402
2009-01-05 18:00:00,-9,-20,0.0,6.9,1,60,01:11 PM,02:54 AM,09:01 AM,06:07 PM,-10,-14,-10,-14,14,66,99,0.0,1017,-10,0,159,9,83402
2009-01-06 00:00:00,-0,-9,0.0,3.4,1,67,01:44 PM,04:10 AM,09:01 AM,06:08 PM,-8,-12,-8,-12,14,78,99,0.0,1019,-8,0,151,8,83402
2009-01-06 06:00:00,-0,-9,0.0,3.4,1,67,01:44 PM,04:10 AM,09:01 AM,06:08 PM,-9,-10,-9,-10,7,70,100,0.0,1020,-9,0,225,3,83402
2009-01-06 12:00:00,-0,-9,0.0,3.4,1,67,01:44 PM,04:10 AM,09:01 AM,06:08 PM,-4,-7,-4,-7,10,72,100,0.0,1019,-4,0,220,8,83402
2009-01-06 18:00:00,-0,-9,0.0,3.4,1,67,01:44 PM,04:10 AM,09:01 AM,06:08 PM,-1,-5,-1,-5,19,98,99,0.0,1015,-1,0,197,12,83402
2009-01-07 00:00:00,1,0,0.0,3.4,1,74,02:26 PM,05:29 AM,09:01 AM,06:09 PM,0,-5,0,-5,37,100,100,0.0,1012,0,10,214,21,83402
2009-01-07 06:00:00,1,0,0.0,3.4,1,74,02:26 PM,05:29 AM,09:01 AM,06:09 PM,0,-6,0,-6,47,100,100,0.0,1013,0,10,211,27,83402
2009-01-07 12:00:00,1,0,0.0,3.4,1,74,02:26 PM,05:29 AM,09:01 AM,06:09 PM,1,-4,1,-4,39,100,100,0.0,1015,1,10,218,21,83402
2009-01-07 18:00:00,1,0,0.0,3.4,1,74,02:26 PM,05:29 AM,09:01 AM,06:09 PM,1,-4,1,-4,33,100,100,0.0,1015,1,10,197,17,83402
2009-01-08 00:00:00,1,0,0.0,3.4,1,82,03:21 PM,06:45 AM,09:01 AM,06:10 PM,1,-4,1,-4,35,100,100,0.0,1015,1,10,196,17,83402
2009-01-08 06:00:00,1,0,0.0,3.4,1,82,03:21 PM,06:45 AM,09:01 AM,06:10 PM,1,-4,1,-4,36,100,100,0.0,1014,1,10,178,18,83402
2009-01-08 12:00:00,1,0,0.0,3.4,1,82,03:21 PM,06:45 AM,09:01 AM,06:10 PM,1,-4,1,-4,46,100,100,0.0,1010,1,10,181,23,83402
2009-01-08 18:00:00,1,0,0.0,3.4,1,82,03:21 PM,06:45 AM,09:01 AM,06:10 PM,1,-5,1,-5,57,100,100,0.0,1008,1,10,236,27,83402
