date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-03-01 00:00:00,1,-2,3.2,8.6,1,30,09:19 AM,No moonset,07:30 AM,06:48 PM,-6,-5,0,-5,25,100,64,0.0,1022,0,10,49,16,07302
2009-03-01 06:00:00,1,-2,3.2,8.6,1,30,09:19 AM,No moonset,07:30 AM,06:48 PM,-4,-6,-1,-6,21,85,82,0.0,1019,-2,10,27,15,07302
2009-03-01 12:00:00,1,-2,3.2,8.6,1,30,09:19 AM,No moonset,07:30 AM,06:48 PM,-3,-3,1,-3,15,44,74,0.0,1018,1,10,42,13,07302
2009-03-01 18:00:00,1,-2,3.2,8.6,1,30,09:19 AM,No moonset,07:30 AM,06:48 PM,-2,-4,-0,-4,17,71,85,0.0,1016,-0,10,43,11,07302
2009-03-02 00:00:00,-3,-10,0.0,5.6,1,37,09:54 AM,12:11 AM,07:29 AM,06:49 PM,-3,-9,-3,-9,31,100,97,0.0,1015,-3,10,15,20,07302
2009-03-02 06:00:00,-3,-10,0.0,5.6,1,37,09:54 AM,12:11 AM,07:29 AM,06:49 PM,-6,-13,-6,-13,41,100,95,0.0,1012,-6,10,4,27,07302
2009-03-02 12:00:00,-3,-10,0.0,5.6,1,37,09:54 AM,12:11 AM,07:29 AM,06:49 PM,-6,-14,-6,-14,40,100,96,0.0,1013,-6,10,343,26,07302
2009-03-02 18:00:00,-3,-10,0.0,5.6,1,37,09:54 AM,12:11 AM,07:29 AM,06:49 PM,-9,-15,-8,-15,35,88,92,0.0,1016,-8,10,328,21,07302
2009-03-03 00:00:00,-5,-12,0.0,8.6,1,45,10:37 AM,01:24 AM,07:27 AM,06:50 PM,-11,-19,-10,-19,36,66,91,0.0,1020,-10,10,319,22,07302
2009-03-03 06:00:00,-5,-12,0.0,8.6,1,45,10:37 AM,01:24 AM,07:27 AM,06:50 PM,-13,-19,-12,-19,24,21,93,0.0,1023,-12,10,305,15,07302
2009-03-03 12:00:00,-5,-12,0.0,8.6,1,45,10:37 AM,01:24 AM,07:27 AM,06:50 PM,-8,-13,-6,-13,29,81,85,0.0,1024,-6,10,322,22,07302
2009-03-03 18:00:00,-5,-12,0.0,8.6,1,45,10:37 AM,01:24 AM,07:27 AM,06:50 PM,-8,-13,-6,-13,34,0,89,0.0,1026,-7,10,318,17,07302
