date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,0,0,0.0,3.3,1,31,11:28 AM,11:08 PM,08:56 AM,05:30 PM,1,-3,1,-3,27,100,100,1.4,1015,1,9,169,15,98032
2009-01-01 06:00:00,0,0,0.0,3.3,1,31,11:28 AM,11:08 PM,08:56 AM,05:30 PM,1,-3,1,-3,30,100,100,5.1,1002,1,7,155,14,98032
2009-01-01 12:00:00,0,0,0.0,3.3,1,31,11:28 AM,11:08 PM,08:56 AM,05:30 PM,3,-1,3,-1,27,100,100,1.8,1001,2,9,229,13,98032
2009-01-01 18:00:00,0,0,0.0,3.3,1,31,11:28 AM,11:08 PM,08:56 AM,05:30 PM,1,1,1,1,4,100,100,3.1,1003,1,7,226,2,98032
2009-01-02 00:00:00,0,0,0.4,8.7,1,38,11:44 AM,No moonset,08:56 AM,05:31 PM,1,-2,1,-2,13,79,99,2.2,998,0,9,356,7,98032
2009-01-02 06:00:00,0,0,0.4,8.7,1,38,11:44 AM,No moonset,08:56 AM,05:31 PM,-0,-3,-0,-3,14,41,98,0.5,1004,-0,5,282,8,98032
2009-01-02 12:00:00,0,0,0.4,8.7,1,38,11:44 AM,No moonset,08:56 AM,05:31 PM,0,-1,1,-1,8,7,98,0.0,1012,-0,0,187,6,98032
2009-01-02 18:00:00,0,0,0.4,8.7,1,38,11:44 AM,No moonset,08:56 AM,05:31 PM,-8,-11,-7,-11,15,30,97,0.1,1016,-8,10,147,7,98032
2009-01-03 00:00:00,0,0,0.3,6.9,1,45,12:01 PM,12:18 AM,08:56 AM,05:32 PM,-3,-5,-2,-5,14,45,97,0.3,1020,-3,5,146,7,98032
2009-01-03 06:00:00,0,0,0.3,6.9,1,45,12:01 PM,12:18 AM,08:56 AM,05:32 PM,-3,-5,-3,-5,12,47,99,0.0,1022,-3,10,190,6,98032
2009-01-03 12:00:00,0,0,0.3,6.9,1,45,12:01 PM,12:18 AM,08:56 AM,05:32 PM,0,-3,1,-3,17,38,98,0.1,1023,0,7,175,11,98032
2009-01-03 18:00:00,0,0,0.3,6.9,1,45,12:01 PM,12:18 AM,08:56 AM,05:32 PM,0,-3,1,-3,20,40,98,0.2,1024,0,5,182,12,98032
2009-01-04 00:00:00,0,0,4.2,6.9,1,52,12:20 PM,01:30 AM,08:56 AM,05:33 PM,-1,-4,-1,-4,21,22,95,0.0,1024,-1,2,156,11,98032
2009-01-04 06:00:00,0,0,4.2,6.9,1,52,12:20 PM,01:30 AM,08:56 AM,05:33 PM,-3,-7,-2,-7,25,34,95,0.0,1023,-3,2,133,12,98032
2009-01-04 12:00:00,0,0,4.2,6.9,1,52,12:20 PM,01:30 AM,08:56 AM,05:33 PM,-1,-4,-0,-4,23,46,94,0.0,1017,-0,10,151,13,98032
2009-01-04 18:00:00,0,0,4.2,6.9,1,52,12:20 PM,01:30 AM,08:56 AM,05:33 PM,-1,-6,-0,-6,46,82,97,5.0,1007,-0,2,164,26,98032
2009-01-05 00:00:00,0,0,0.0,3.3,1,60,12:42 PM,02:46 AM,08:56 AM,05:34 PM,1,-4,1,-4,39,100,100,3.9,1002,1,7,179,20,98032
2009-01-05 06:00:00,0,0,0.0,3.3,1,60,12:42 PM,02:46 AM,08:56 AM,05:34 PM,2,-1,2,-1,27,100,100,2.8,1003,2,7,221,13,98032
