date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,8,2,0.0,3.3,2,31,11:28 AM,11:11 PM,08:51 AM,05:39 PM,3,-1,3,-1,24,88,99,1.6,1018,3,9,169,14,97034
2009-01-01 06:00:00,8,2,0.0,3.3,2,31,11:28 AM,11:11 PM,08:51 AM,05:39 PM,4,-1,4,-1,52,100,100,5.1,1007,4,7,197,26,97034
2009-01-01 12:00:00,8,2,0.0,3.3,2,31,11:28 AM,11:11 PM,08:51 AM,05:39 PM,8,5,8,5,40,100,99,16.2,1004,8,5,217,23,97034
2009-01-01 18:00:00,8,2,0.0,3.3,2,31,11:28 AM,11:11 PM,08:51 AM,05:39 PM,7,6,7,6,11,100,100,9.1,1003,7,5,250,7,97034
2009-01-02 00:00:00,2,0,0.5,6.9,1,38,11:46 AM,No moonset,08:51 AM,05:40 PM,2,-2,2,-2,28,100,100,15.0,996,2,5,328,17,97034
2009-01-02 06:00:00,2,0,0.5,6.9,1,38,11:46 AM,No moonset,08:51 AM,05:40 PM,1,-3,1,-3,22,32,100,0.0,1007,1,10,238,13,97034
2009-01-02 12:00:00,2,0,0.5,6.9,1,38,11:46 AM,No moonset,08:51 AM,05:40 PM,2,0,2,0,13,34,100,0.4,1013,2,7,248,8,97034
2009-01-02 18:00:00,2,0,0.5,6.9,1,38,11:46 AM,No moonset,08:51 AM,05:40 PM,0,-2,1,-2,12,39,97,0.2,1017,0,7,212,7,97034
2009-01-03 00:00:00,1,-1,1.2,3.3,1,45,12:04 PM,12:19 AM,08:50 AM,05:41 PM,0,-3,1,-3,22,71,97,0.5,1021,0,5,187,13,97034
2009-01-03 06:00:00,1,-1,1.2,3.3,1,45,12:04 PM,12:19 AM,08:50 AM,05:41 PM,0,-3,1,-3,17,84,98,0.7,1023,0,2,187,11,97034
2009-01-03 12:00:00,1,-1,1.2,3.3,1,45,12:04 PM,12:19 AM,08:50 AM,05:41 PM,1,-1,2,-1,11,88,97,0.2,1025,1,5,187,8,97034
2009-01-03 18:00:00,1,-1,1.2,3.3,1,45,12:04 PM,12:19 AM,08:50 AM,05:41 PM,0,-1,0,-1,8,41,99,0.0,1025,-0,0,116,4,97034
2009-01-04 00:00:00,2,-3,0.0,8.7,1,52,12:25 PM,01:29 AM,08:50 AM,05:42 PM,-2,-5,-2,-5,17,32,96,0.0,1025,-2,2,95,8,97034
2009-01-04 06:00:00,2,-3,0.0,8.7,1,52,12:25 PM,01:29 AM,08:50 AM,05:42 PM,-4,-7,-3,-7,23,28,91,0.0,1023,-3,10,109,12,97034
2009-01-04 12:00:00,2,-3,0.0,8.7,1,52,12:25 PM,01:29 AM,08:50 AM,05:42 PM,-1,-1,2,-1,17,46,81,0.0,1018,2,10,123,11,97034
2009-01-04 18:00:00,2,-3,0.0,8.7,1,52,12:25 PM,01:29 AM,08:50 AM,05:42 PM,1,-3,1,-3,33,100,95,7.0,1011,1,7,158,18,97034
2009-01-05 00:00:00,6,3,0.0,3.3,1,60,12:49 PM,02:43 AM,08:50 AM,05:43 PM,3,-1,3,-1,47,100,100,5.4,1005,3,7,199,24,97034
2009-01-05 06:00:00,6,3,0.0,3.3,1,60,12:49 PM,02:43 AM,08:50 AM,05:43 PM,6,3,6,3,30,100,100,2.3,1007,6,9,242,15,97034
2009-01-05 12:00:00,6,3,0.0,3.3,1,60,12:49 PM,02:43 AM,08:50 AM,05:43 PM,5,2,5,2,26,100,100,0.7,1014,5,2,224,14,97034
2009-01-05 18:00:00,6,3,0.0,3.3,1,60,12:49 PM,02:43 AM,08:50 AM,05:43 PM,4,2,4,2,23,100,100,0.5,1018,4,2,208,12,97034
2009-01-06 00:00:00,7,4,0.0,3.4,2,67,01:21 PM,04:01 AM,08:50 AM,05:44 PM,4,1,4,1,25,100,100,1.1,1017,4,9,189,13,97034
2009-01-06 06:00:00,7,4,0.0,3.4,2,67,01:21 PM,04:01 AM,08:50 AM,05:44 PM,5,2,6,2,42,100,100,3.0,1015,6,7,194,20,97034
2009-01-06 12:00:00,7,4,0.0,3.4,2,67,01:21 PM,04:01 AM,08:50 AM,05:44 PM,7,4,7,4,37,100,100,1.4,1016,7,9,208,19,97034
2009-01-06 18:00:00,7,4,0.0,3.4,2,67,01:21 PM,04:01 AM,08:50 AM,05:44 PM,6,3,7,3,48,100,99,1.6,1017,7,9,205,23,97034
2009-01-07 00:00:00,10,8,0.0,3.4,2,74,02:01 PM,05:21 AM,08:50 AM,05:45 PM,8,5,8,5,45,100,99,1.3,1014,8,9,204,23,97034
2009-01-07 06:00:00,10,8,0.0,3.4,2,74,02:01 PM,05:21 AM,08:50 AM,05:45 PM,9,6,9,6,52,100,98,4.2,1013,9,7,203,31,97034
2009-01-07 12:00:00,10,8,0.0,3.4,2,74,02:01 PM,05:21 AM,08:50 AM,05:45 PM,10,7,10,7,46,100,98,5.7,1013,10,7,206,28,97034
2009-01-07 18:00:00,10,8,0.0,3.4,2,74,02:01 PM,05:21 AM,08:50 AM,05:45 PM,7,4,8,4,51,100,99,6.3,1009,8,7,190,24,97034
2009-01-08 00:00:00,9,3,0.0,3.4,2,82,02:56 PM,06:38 AM,08:50 AM,05:46 PM,9,6,9,6,40,100,99,11.0,1006,9,5,228,23,97034
2009-01-08 06:00:00,9,3,0.0,3.4,2,82,02:56 PM,06:38 AM,08:50 AM,05:46 PM,7,4,7,4,28,100,98,2.1,1013,7,10,256,18,97034
2009-01-08 12:00:00,9,3,0.0,3.4,2,82,02:56 PM,06:38 AM,08:50 AM,05:46 PM,6,2,6,2,33,94,99,1.8,1020,6,9,234,19,97034
2009-01-08 18:00:00,9,3,0.0,3.4,2,82,02:56 PM,06:38 AM,08:50 AM,05:46 PM,3,0,3,0,18,80,98,0.6,1028,3,2,251,11,97034
2009-01-09 00:00:00,3,-1,0.0,8.7,1,89,04:05 PM,07:47 AM,08:49 AM,05:47 PM,3,2,4,2,9,45,98,0.2,1033,3,5,210,6,97034
2009-01-09 06:00:00,3,-1,0.0,8.7,1,89,04:05 PM,07:47 AM,08:49 AM,05:47 PM,-0,-0,0,-0,7,20,98,0.0,1037,-1,0,140,3,97034
2009-01-09 12:00:00,3,-1,0.0,8.7,1,89,04:05 PM,07:47 AM,08:49 AM,05:47 PM,3,3,4,3,8,52,94,0.0,1036,3,2,129,5,97034
2009-01-09 18:00:00,3,-1,0.0,8.7,1,89,04:05 PM,07:47 AM,08:49 AM,05:47 PM,-0,-1,1,-1,15,32,88,0.0,1036,1,10,120,7,97034
2009-01-10 00:00:00,6,0,0.0,8.7,2,96,05:26 PM,08:42 AM,08:49 AM,05:49 PM,-3,-2,1,-2,15,32,75,0.0,1036,0,10,137,7,97034
2009-01-10 06:00:00,6,0,0.0,8.7,2,96,05:26 PM,08:42 AM,08:49 AM,05:49 PM,-3,-3,1,-3,23,46,74,0.0,1036,0,10,159,11,97034
2009-01-10 12:00:00,6,0,0.0,8.7,2,96,05:26 PM,08:42 AM,08:49 AM,05:49 PM,1,6,7,6,11,46,64,0.0,1034,6,10,187,7,97034
2009-01-10 18:00:00,6,0,0.0,8.7,2,96,05:26 PM,08:42 AM,08:49 AM,05:49 PM,0,2,5,2,24,45,74,0.0,1035,4,10,190,12,97034
2009-01-11 00:00:00,7,5,0.0,3.4,2,100,06:51 PM,09:24 AM,08:48 AM,05:50 PM,3,2,5,2,24,100,91,1.4,1036,5,9,192,13,97034
2009-01-11 06:00:00,7,5,0.0,3.4,2,100,06:51 PM,09:24 AM,08:48 AM,05:50 PM,5,3,6,3,21,100,97,0.5,1038,5,2,196,12,97034
2009-01-11 12:00:00,7,5,0.0,3.4,2,100,06:51 PM,09:24 AM,08:48 AM,05:50 PM,7,5,7,5,14,100,97,0.7,1037,7,2,193,9,97034
2009-01-11 18:00:00,7,5,0.0,3.4,2,100,06:51 PM,09:24 AM,08:48 AM,05:50 PM,7,6,7,6,14,100,98,1.1,1039,7,9,180,8,97034
2009-01-12 00:00:00,11,3,0.0,6.9,2,89,08:15 PM,09:56 AM,08:48 AM,05:51 PM,7,7,8,7,9,99,98,0.6,1038,7,2,175,5,97034
2009-01-12 06:00:00,11,3,0.0,6.9,2,89,08:15 PM,09:56 AM,08:48 AM,05:51 PM,5,5,5,5,4,100,99,0.1,1038,5,0,36,2,97034
2009-01-12 12:00:00,11,3,0.0,6.9,2,89,08:15 PM,09:56 AM,08:48 AM,05:51 PM,10,12,12,12,2,32,89,0.0,1037,11,10,341,1,97034
2009-01-12 18:00:00,11,3,0.0,6.9,2,89,08:15 PM,09:56 AM,08:48 AM,05:51 PM,5,5,5,5,8,100,99,0.0,1037,5,0,48,4,97034
2009-01-13 00:00:00,11,1,0.0,6.9,1,82,09:35 PM,10:21 AM,08:48 AM,05:52 PM,2,2,3,2,8,96,97,0.0,1036,2,2,42,4,97034
2009-01-13 06:00:00,11,1,0.0,6.9,1,82,09:35 PM,10:21 AM,08:48 AM,05:52 PM,1,1,2,1,8,93,92,0.0,1034,2,10,22,4,97034
2009-01-13 12:00:00,11,1,0.0,6.9,1,82,09:35 PM,10:21 AM,08:48 AM,05:52 PM,6,11,12,11,6,18,70,0.0,1032,11,10,350,5,97034
2009-01-13 18:00:00,11,1,0.0,6.9,1,82,09:35 PM,10:21 AM,08:48 AM,05:52 PM,1,1,3,1,13,20,88,0.0,1031,2,10,35,6,97034
