date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,17,0,0.0,10.1,3,31,11:14 AM,11:10 PM,08:08 AM,06:13 PM,-6,2,3,2,10,0,52,0.0,1020,3,10,179,5,88001
2009-01-01 06:00:00,17,0,0.0,10.1,3,31,11:14 AM,11:10 PM,08:08 AM,06:13 PM,-4,-1,0,-1,8,0,73,0.0,1018,0,10,318,4,88001
2009-01-01 12:00:00,17,0,0.0,10.1,3,31,11:14 AM,11:10 PM,08:08 AM,06:13 PM,-7,11,12,11,12,0,25,0.0,1017,12,10,289,10,88001
2009-01-01 18:00:00,17,0,0.0,10.1,3,31,11:14 AM,11:10 PM,08:08 AM,06:13 PM,-5,9,11,9,21,0,32,0.0,1013,11,10,238,10,88001
2009-01-02 00:00:00,17,2,0.0,10.1,3,38,11:41 AM,No moonset,08:09 AM,06:14 PM,-6,4,5,4,10,0,48,0.0,1016,4,10,323,5,88001
2009-01-02 06:00:00,17,2,0.0,10.1,3,38,11:41 AM,No moonset,08:09 AM,06:14 PM,-5,1,2,1,13,0,58,0.0,1015,2,10,334,6,88001
2009-01-02 12:00:00,17,2,0.0,10.1,3,38,11:41 AM,No moonset,08:09 AM,06:14 PM,-6,14,13,14,4,27,26,0.0,1013,13,10,250,4,88001
2009-01-02 18:00:00,17,2,0.0,10.1,3,38,11:41 AM,No moonset,08:09 AM,06:14 PM,-6,10,11,10,17,22,29,0.0,1008,11,10,238,8,88001
2009-01-03 00:00:00,16,4,0.0,10.1,3,45,12:08 PM,12:08 AM,08:09 AM,06:15 PM,-1,5,6,5,14,0,57,0.0,1010,6,10,218,6,88001
2009-01-03 06:00:00,16,4,0.0,10.1,3,45,12:08 PM,12:08 AM,08:09 AM,06:15 PM,2,3,4,3,9,3,87,0.0,1009,4,10,305,4,88001
2009-01-03 12:00:00,16,4,0.0,10.1,3,45,12:08 PM,12:08 AM,08:09 AM,06:15 PM,1,12,13,12,19,5,41,0.0,1009,13,10,243,17,88001
2009-01-03 18:00:00,16,4,0.0,10.1,3,45,12:08 PM,12:08 AM,08:09 AM,06:15 PM,-3,10,11,10,19,0,38,0.0,1007,11,10,250,9,88001
2009-01-04 00:00:00,15,3,0.0,10.1,3,52,12:38 PM,01:08 AM,08:09 AM,06:15 PM,-2,5,5,5,8,6,61,0.0,1012,5,10,64,4,88001
2009-01-04 06:00:00,15,3,0.0,10.1,3,52,12:38 PM,01:08 AM,08:09 AM,06:15 PM,1,3,3,3,6,7,85,0.0,1014,3,10,248,3,88001
2009-01-04 12:00:00,15,3,0.0,10.1,3,52,12:38 PM,01:08 AM,08:09 AM,06:15 PM,-1,11,12,11,14,6,41,0.0,1016,12,10,148,12,88001
2009-01-04 18:00:00,15,3,0.0,10.1,3,52,12:38 PM,01:08 AM,08:09 AM,06:15 PM,-6,7,9,7,25,5,33,0.0,1015,9,10,117,14,88001
2009-01-05 00:00:00,8,2,0.0,10.1,2,60,01:13 PM,02:11 AM,08:09 AM,06:16 PM,-7,0,3,0,13,0,48,0.0,1021,2,10,103,8,88001
2009-01-05 06:00:00,8,2,0.0,10.1,2,60,01:13 PM,02:11 AM,08:09 AM,06:16 PM,-9,2,2,2,3,17,44,0.0,1022,2,10,88,2,88001
2009-01-05 12:00:00,8,2,0.0,10.1,2,60,01:13 PM,02:11 AM,08:09 AM,06:16 PM,-8,3,6,3,13,22,37,0.0,1018,6,10,181,12,88001
2009-01-05 18:00:00,8,2,0.0,10.1,2,60,01:13 PM,02:11 AM,08:09 AM,06:16 PM,-1,4,7,4,22,10,57,0.0,1010,7,10,271,13,88001
2009-01-06 00:00:00,11,2,0.0,10.1,3,67,01:53 PM,03:19 AM,08:09 AM,06:17 PM,0,-1,3,-1,37,45,81,0.0,1012,3,10,264,21,88001
2009-01-06 06:00:00,11,2,0.0,10.1,3,67,01:53 PM,03:19 AM,08:09 AM,06:17 PM,-4,-2,3,-2,44,16,58,0.0,1011,3,10,280,28,88001
2009-01-06 12:00:00,11,2,0.0,10.1,3,67,01:53 PM,03:19 AM,08:09 AM,06:17 PM,-7,5,8,5,24,5,32,0.0,1013,8,10,303,21,88001
2009-01-06 18:00:00,11,2,0.0,10.1,3,67,01:53 PM,03:19 AM,08:09 AM,06:17 PM,-8,5,8,5,29,8,32,0.0,1015,8,10,280,15,88001
2009-01-07 00:00:00,14,-1,0.0,10.1,2,74,02:41 PM,04:29 AM,08:09 AM,06:18 PM,-5,1,1,1,6,3,63,0.0,1020,1,10,281,3,88001
2009-01-07 06:00:00,14,-1,0.0,10.1,2,74,02:41 PM,04:29 AM,08:09 AM,06:18 PM,-5,-1,-1,-1,2,0,75,0.0,1020,-1,10,39,1,88001
2009-01-07 12:00:00,14,-1,0.0,10.1,2,74,02:41 PM,04:29 AM,08:09 AM,06:18 PM,-6,10,10,10,2,0,31,0.0,1018,10,10,199,2,88001
2009-01-07 18:00:00,14,-1,0.0,10.1,2,74,02:41 PM,04:29 AM,08:09 AM,06:18 PM,-5,8,10,8,22,0,35,0.0,1014,10,10,225,10,88001
2009-01-08 00:00:00,16,3,0.0,10.1,3,82,03:40 PM,05:41 AM,08:09 AM,06:19 PM,-3,3,6,3,26,0,51,0.0,1018,6,10,321,12,88001
2009-01-08 06:00:00,16,3,0.0,10.1,3,82,03:40 PM,05:41 AM,08:09 AM,06:19 PM,-5,0,3,0,18,0,55,0.0,1019,3,10,352,9,88001
2009-01-08 12:00:00,16,3,0.0,10.1,3,82,03:40 PM,05:41 AM,08:09 AM,06:19 PM,-5,13,13,13,1,0,28,0.0,1017,13,10,175,1,88001
2009-01-08 18:00:00,16,3,0.0,10.1,3,82,03:40 PM,05:41 AM,08:09 AM,06:19 PM,-7,10,12,10,25,46,27,0.0,1011,12,10,213,12,88001
2009-01-09 00:00:00,19,3,0.0,10.1,3,89,04:48 PM,06:49 AM,08:09 AM,06:19 PM,-8,4,5,4,12,0,38,0.0,1013,5,10,237,6,88001
2009-01-09 06:00:00,19,3,0.0,10.1,3,89,04:48 PM,06:49 AM,08:09 AM,06:19 PM,-6,1,3,1,14,0,50,0.0,1013,3,10,271,7,88001
2009-01-09 12:00:00,19,3,0.0,10.1,3,89,04:48 PM,06:49 AM,08:09 AM,06:19 PM,-6,13,15,13,19,0,23,0.0,1013,14,10,259,17,88001
2009-01-09 18:00:00,19,3,0.0,10.1,3,89,04:48 PM,06:49 AM,08:09 AM,06:19 PM,-8,13,14,13,32,0,20,0.0,1011,14,10,253,15,88001
2009-01-10 00:00:00,10,3,0.0,10.1,3,96,06:03 PM,07:50 AM,08:09 AM,06:20 PM,-4,5,8,5,37,2,42,0.0,1020,8,10,343,18,88001
2009-01-10 06:00:00,10,3,0.0,10.1,3,96,06:03 PM,07:50 AM,08:09 AM,06:20 PM,-2,3,5,3,15,53,60,0.0,1028,5,10,58,9,88001
2009-01-10 12:00:00,10,3,0.0,10.1,3,96,06:03 PM,07:50 AM,08:09 AM,06:20 PM,-3,5,7,5,16,44,48,0.0,1030,7,10,7,14,88001
2009-01-10 18:00:00,10,3,0.0,10.1,3,96,06:03 PM,07:50 AM,08:09 AM,06:20 PM,-7,6,6,6,2,0,41,0.0,1027,6,10,108,1,88001
2009-01-11 00:00:00,11,-1,0.0,10.1,2,100,07:18 PM,08:41 AM,08:09 AM,06:21 PM,-8,-1,1,-1,11,0,52,0.0,1031,1,10,283,5,88001
2009-01-11 06:00:00,11,-1,0.0,10.1,2,100,07:18 PM,08:41 AM,08:09 AM,06:21 PM,-9,-5,-1,-5,21,0,57,0.0,1032,-1,10,356,10,88001
2009-01-11 12:00:00,11,-1,0.0,10.1,2,100,07:18 PM,08:41 AM,08:09 AM,06:21 PM,-9,8,8,8,1,0,29,0.0,1028,8,10,239,1,88001
2009-01-11 18:00:00,11,-1,0.0,10.1,2,100,07:18 PM,08:41 AM,08:09 AM,06:21 PM,-11,5,6,5,11,0,27,0.0,1021,6,10,204,5,88001
2009-01-12 00:00:00,15,-0,0.0,10.1,3,89,08:30 PM,09:24 AM,08:09 AM,06:22 PM,-8,1,1,1,5,0,48,0.0,1026,1,10,261,3,88001
2009-01-12 06:00:00,15,-0,0.0,10.1,3,89,08:30 PM,09:24 AM,08:09 AM,06:22 PM,-7,-3,0,-3,24,0,59,0.0,1025,0,10,13,12,88001
2009-01-12 12:00:00,15,-0,0.0,10.1,3,89,08:30 PM,09:24 AM,08:09 AM,06:22 PM,-7,9,10,9,8,4,28,0.0,1023,10,10,36,7,88001
2009-01-12 18:00:00,15,-0,0.0,10.1,3,89,08:30 PM,09:24 AM,08:09 AM,06:22 PM,-10,9,9,9,13,6,24,0.0,1021,9,10,48,6,88001
2009-01-13 00:00:00,11,-0,0.0,10.1,2,82,09:40 PM,10:00 AM,08:09 AM,06:23 PM,-7,2,4,2,13,0,48,0.0,1031,3,10,73,6,88001
