date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,9,-2,0.0,9.9,2,31,11:17 AM,11:09 PM,08:16 AM,06:09 PM,-6,-6,-1,-6,25,3,71,0.0,1027,-1,10,85,14,72201
2009-01-01 06:00:00,9,-2,0.0,9.9,2,31,11:17 AM,11:09 PM,08:16 AM,06:09 PM,-6,-6,-2,-6,21,0,73,0.0,1023,-2,10,108,13,72201
2009-01-01 12:00:00,9,-2,0.0,9.9,2,31,11:17 AM,11:09 PM,08:16 AM,06:09 PM,-2,4,8,4,21,6,49,0.0,1019,7,10,166,18,72201
2009-01-01 18:00:00,9,-2,0.0,9.9,2,31,11:17 AM,11:09 PM,08:16 AM,06:09 PM,3,2,5,2,23,7,87,0.0,1014,5,10,128,11,72201
2009-01-02 00:00:00,14,2,0.0,5.0,2,38,11:42 AM,No moonset,08:17 AM,06:10 PM,3,3,3,3,8,9,96,0.0,1015,3,2,179,4,72201
2009-01-02 06:00:00,14,2,0.0,5.0,2,38,11:42 AM,No moonset,08:17 AM,06:10 PM,4,5,5,5,2,100,98,0.0,1014,5,0,14,1,72201
2009-01-02 12:00:00,14,2,0.0,5.0,2,38,11:42 AM,No moonset,08:17 AM,06:10 PM,9,10,11,10,12,91,92,0.0,1014,11,10,104,8,72201
2009-01-02 18:00:00,14,2,0.0,5.0,2,38,11:42 AM,No moonset,08:17 AM,06:10 PM,12,11,12,11,20,100,98,0.0,1011,12,0,114,10,72201
2009-01-03 00:00:00,21,15,0.0,8.3,4,45,12:08 PM,12:08 AM,08:17 AM,06:11 PM,14,14,15,14,24,95,98,0.0,1011,15,10,153,13,72201
2009-01-03 06:00:00,21,15,0.0,8.3,4,45,12:08 PM,12:08 AM,08:17 AM,06:11 PM,16,16,16,16,20,92,97,0.0,1009,16,2,187,11,72201
2009-01-03 12:00:00,21,15,0.0,8.3,4,45,12:08 PM,12:08 AM,08:17 AM,06:11 PM,17,18,18,18,36,100,94,0.0,1008,18,9,198,22,72201
2009-01-03 18:00:00,21,15,0.0,8.3,4,45,12:08 PM,12:08 AM,08:17 AM,06:11 PM,16,18,18,18,31,4,93,0.0,1008,18,10,161,15,72201
2009-01-04 00:00:00,16,4,0.0,5.0,3,52,12:36 PM,01:10 AM,08:17 AM,06:12 PM,16,16,16,16,34,70,98,0.0,1010,16,10,197,18,72201
2009-01-04 06:00:00,16,4,0.0,5.0,3,52,12:36 PM,01:10 AM,08:17 AM,06:12 PM,16,16,16,16,27,95,99,0.0,1014,16,10,242,14,72201
2009-01-04 12:00:00,16,4,0.0,5.0,3,52,12:36 PM,01:10 AM,08:17 AM,06:12 PM,5,4,8,4,28,92,85,0.0,1020,8,10,339,21,72201
2009-01-04 18:00:00,16,4,0.0,5.0,3,52,12:36 PM,01:10 AM,08:17 AM,06:12 PM,3,4,6,4,17,61,80,0.0,1024,6,10,21,13,72201
2009-01-05 00:00:00,3,0,0.0,5.0,2,60,01:09 PM,02:15 AM,08:17 AM,06:12 PM,-1,-2,3,-2,28,54,74,0.0,1027,3,10,29,20,72201
2009-01-05 06:00:00,3,0,0.0,5.0,2,60,01:09 PM,02:15 AM,08:17 AM,06:12 PM,-4,-3,1,-3,17,72,71,0.0,1025,1,10,33,12,72201
2009-01-05 12:00:00,3,0,0.0,5.0,2,60,01:09 PM,02:15 AM,08:17 AM,06:12 PM,-2,-4,0,-4,20,100,84,0.0,1021,0,10,66,15,72201
2009-01-05 18:00:00,3,0,0.0,5.0,2,60,01:09 PM,02:15 AM,08:17 AM,06:12 PM,-1,-2,0,-2,11,100,92,0.0,1015,0,10,61,8,72201
2009-01-06 00:00:00,5,0,0.0,5.0,1,67,01:47 PM,03:24 AM,08:17 AM,06:13 PM,-0,-3,1,-3,15,100,93,0.0,1012,0,10,345,11,72201
2009-01-06 06:00:00,5,0,0.0,5.0,1,67,01:47 PM,03:24 AM,08:17 AM,06:13 PM,1,-1,2,-1,13,82,93,0.0,1008,2,10,192,9,72201
2009-01-06 12:00:00,5,0,0.0,5.0,1,67,01:47 PM,03:24 AM,08:17 AM,06:13 PM,2,0,3,0,14,100,93,0.0,1005,3,10,210,10,72201
2009-01-06 18:00:00,5,0,0.0,5.0,1,67,01:47 PM,03:24 AM,08:17 AM,06:13 PM,4,3,5,3,11,67,95,0.0,1003,5,2,227,8,72201
2009-01-07 00:00:00,11,0,0.0,10.0,3,74,02:34 PM,04:35 AM,08:17 AM,06:14 PM,3,0,5,0,35,35,92,0.0,1004,5,10,277,22,72201
2009-01-07 06:00:00,11,0,0.0,10.0,3,74,02:34 PM,04:35 AM,08:17 AM,06:14 PM,-2,-4,0,-4,29,5,83,0.0,1006,0,10,253,14,72201
2009-01-07 12:00:00,11,0,0.0,10.0,3,74,02:34 PM,04:35 AM,08:17 AM,06:14 PM,2,8,10,8,17,12,58,0.0,1008,10,10,280,15,72201
2009-01-07 18:00:00,11,0,0.0,10.0,3,74,02:34 PM,04:35 AM,08:17 AM,06:14 PM,4,4,6,4,14,9,87,0.0,1007,6,10,210,6,72201
2009-01-08 00:00:00,10,4,0.0,10.0,3,82,03:32 PM,05:48 AM,08:17 AM,06:15 PM,4,2,6,2,39,13,86,0.0,1007,6,10,249,19,72201
2009-01-08 06:00:00,10,4,0.0,10.0,3,82,03:32 PM,05:48 AM,08:17 AM,06:15 PM,1,1,4,1,38,2,77,0.0,1013,4,10,347,18,72201
2009-01-08 12:00:00,10,4,0.0,10.0,3,82,03:32 PM,05:48 AM,08:17 AM,06:15 PM,2,7,9,7,13,4,59,0.0,1017,9,10,359,12,72201
2009-01-08 18:00:00,10,4,0.0,10.0,3,82,03:32 PM,05:48 AM,08:17 AM,06:15 PM,2,4,6,4,21,4,77,0.0,1017,6,10,124,10,72201
2009-01-09 00:00:00,15,3,0.0,8.3,3,89,04:40 PM,06:57 AM,08:17 AM,06:16 PM,2,1,4,1,27,3,85,0.0,1018,4,10,135,13,72201
2009-01-09 06:00:00,15,3,0.0,8.3,3,89,04:40 PM,06:57 AM,08:17 AM,06:16 PM,0,-1,3,-1,32,0,83,0.0,1018,3,10,142,15,72201
2009-01-09 12:00:00,15,3,0.0,8.3,3,89,04:40 PM,06:57 AM,08:17 AM,06:16 PM,9,13,14,13,13,13,74,0.0,1015,13,10,168,11,72201
2009-01-09 18:00:00,15,3,0.0,8.3,3,89,04:40 PM,06:57 AM,08:17 AM,06:16 PM,14,14,15,14,20,66,95,0.0,1012,15,2,137,9,72201
2009-01-10 00:00:00,17,1,0.0,10.0,2,96,05:55 PM,07:57 AM,08:17 AM,06:17 PM,16,16,16,16,38,98,97,0.0,1011,16,10,196,21,72201
2009-01-10 06:00:00,17,1,0.0,10.0,2,96,05:55 PM,07:57 AM,08:17 AM,06:17 PM,14,15,15,15,41,100,95,0.0,1015,15,10,308,24,72201
2009-01-10 12:00:00,17,1,0.0,10.0,2,96,05:55 PM,07:57 AM,08:17 AM,06:17 PM,3,2,6,2,29,36,77,0.0,1021,6,10,329,25,72201
