date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,4,-0,0.0,3.4,1,31,12:01 PM,11:46 PM,09:19 AM,06:20 PM,-0,0,0,0,0,100,97,0.0,1020,-0,10,199,0,83642
2009-01-01 06:00:00,4,-0,0.0,3.4,1,31,12:01 PM,11:46 PM,09:19 AM,06:20 PM,0,-1,1,-1,10,100,96,0.0,1019,0,2,161,5,83642
2009-01-01 12:00:00,4,-0,0.0,3.4,1,31,12:01 PM,11:46 PM,09:19 AM,06:20 PM,3,0,3,0,20,100,99,0.0,1011,3,0,189,9,83642
2009-01-01 18:00:00,4,-0,0.0,3.4,1,31,12:01 PM,11:46 PM,09:19 AM,06:20 PM,4,2,4,2,14,100,98,0.0,1008,4,0,211,7,83642
2009-01-02 00:00:00,6,-3,0.0,8.7,1,38,12:20 PM,No moonset,09:19 AM,06:21 PM,5,3,5,3,20,100,99,0.0,1005,5,0,232,9,83642
2009-01-02 06:00:00,6,-3,0.0,8.7,1,38,12:20 PM,No moonset,09:19 AM,06:21 PM,4,2,5,2,33,63,94,0.0,999,5,10,194,16,83642
2009-01-02 12:00:00,6,-3,0.0,8.7,1,38,12:20 PM,No moonset,09:19 AM,06:21 PM,4,5,6,5,10,26,85,0.0,1002,6,10,251,6,83642
2009-01-02 18:00:00,6,-3,0.0,8.7,1,38,12:20 PM,No moonset,09:19 AM,06:21 PM,-3,-5,0,-5,30,23,79,0.0,1010,0,10,354,18,83642
2009-01-03 00:00:00,-2,-6,0.0,8.7,2,45,12:40 PM,12:52 AM,09:19 AM,06:22 PM,-8,-5,-5,-5,2,14,80,0.0,1018,-6,10,45,1,83642
2009-01-03 06:00:00,-2,-6,0.0,8.7,2,45,12:40 PM,12:52 AM,09:19 AM,06:22 PM,-9,-10,-6,-10,17,17,75,0.0,1023,-6,10,328,9,83642
2009-01-03 12:00:00,-2,-6,0.0,8.7,2,45,12:40 PM,12:52 AM,09:19 AM,06:22 PM,-8,-4,-3,-4,4,22,68,0.0,1028,-4,10,172,4,83642
2009-01-03 18:00:00,-2,-6,0.0,8.7,2,45,12:40 PM,12:52 AM,09:19 AM,06:22 PM,-8,-6,-4,-6,9,8,72,0.0,1028,-5,10,358,5,83642
2009-01-04 00:00:00,-2,-7,0.0,8.7,2,52,01:03 PM,02:00 AM,09:19 AM,06:23 PM,-9,-9,-6,-9,14,8,76,0.0,1031,-6,10,93,8,83642
2009-01-04 06:00:00,-2,-7,0.0,8.7,2,52,01:03 PM,02:00 AM,09:19 AM,06:23 PM,-10,-11,-7,-11,15,6,78,0.0,1032,-7,10,116,8,83642
2009-01-04 12:00:00,-2,-7,0.0,8.7,2,52,01:03 PM,02:00 AM,09:19 AM,06:23 PM,-10,-9,-4,-9,18,2,61,0.0,1032,-4,10,142,14,83642
2009-01-04 18:00:00,-2,-7,0.0,8.7,2,52,01:03 PM,02:00 AM,09:19 AM,06:23 PM,-10,-11,-5,-11,27,27,65,0.0,1029,-5,10,136,16,83642
