date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,-3,-10,0.0,5.2,2,31,11:05 AM,10:46 PM,08:23 AM,05:28 PM,-15,-16,-10,-16,19,23,67,0.0,1028,-10,10,186,11,53202
2009-01-01 06:00:00,-3,-10,0.0,5.2,2,31,11:05 AM,10:46 PM,08:23 AM,05:28 PM,-12,-13,-6,-13,33,21,63,0.0,1022,-6,10,187,21,53202
2009-01-01 12:00:00,-3,-10,0.0,5.2,2,31,11:05 AM,10:46 PM,08:23 AM,05:28 PM,-10,-12,-4,-12,46,100,59,0.0,1015,-4,10,191,33,53202
2009-01-01 18:00:00,-3,-10,0.0,5.2,2,31,11:05 AM,10:46 PM,08:23 AM,05:28 PM,-9,-9,-3,-9,34,49,64,0.0,1009,-3,10,205,21,53202
2009-01-02 00:00:00,-2,-11,0.0,8.7,2,38,11:25 AM,11:52 PM,08:23 AM,05:29 PM,-5,-11,-3,-11,52,10,87,0.0,1007,-3,10,259,32,53202
2009-01-02 06:00:00,-2,-11,0.0,8.7,2,38,11:25 AM,11:52 PM,08:23 AM,05:29 PM,-8,-13,-6,-13,31,83,86,0.0,1009,-6,10,288,23,53202
2009-01-02 12:00:00,-2,-11,0.0,8.7,2,38,11:25 AM,11:52 PM,08:23 AM,05:29 PM,-12,-16,-9,-16,23,25,79,0.0,1014,-9,10,273,20,53202
2009-01-02 18:00:00,-2,-11,0.0,8.7,2,38,11:25 AM,11:52 PM,08:23 AM,05:29 PM,-13,-17,-11,-17,21,3,86,0.0,1018,-11,10,300,15,53202
2009-01-03 00:00:00,0,-10,0.0,8.7,2,45,11:45 AM,No moonset,08:23 AM,05:30 PM,-11,-11,-9,-11,6,24,86,0.0,1020,-10,10,303,4,53202
2009-01-03 06:00:00,0,-10,0.0,8.7,2,45,11:45 AM,No moonset,08:23 AM,05:30 PM,-7,-10,-6,-10,18,23,89,0.0,1021,-6,10,84,10,53202
2009-01-03 12:00:00,0,-10,0.0,8.7,2,45,11:45 AM,No moonset,08:23 AM,05:30 PM,-5,-7,-2,-7,27,34,76,0.0,1019,-2,10,107,19,53202
2009-01-03 18:00:00,0,-10,0.0,8.7,2,45,11:45 AM,No moonset,08:23 AM,05:30 PM,-3,-7,0,-7,46,98,79,0.0,1015,0,10,104,33,53202
2009-01-04 00:00:00,2,-10,0.0,3.4,1,52,12:07 PM,01:00 AM,08:23 AM,05:31 PM,-0,-5,1,-5,43,100,91,0.0,1013,1,10,134,30,53202
2009-01-04 06:00:00,2,-10,0.0,3.4,1,52,12:07 PM,01:00 AM,08:23 AM,05:31 PM,1,1,1,1,3,100,96,0.0,1012,1,2,206,2,53202
2009-01-04 12:00:00,2,-10,0.0,3.4,1,52,12:07 PM,01:00 AM,08:23 AM,05:31 PM,-3,-8,-2,-8,32,100,89,0.0,1018,-2,10,294,25,53202
2009-01-04 18:00:00,2,-10,0.0,3.4,1,52,12:07 PM,01:00 AM,08:23 AM,05:31 PM,-11,-17,-8,-17,38,8,80,0.0,1024,-8,10,288,27,53202
2009-01-05 00:00:00,-4,-13,0.0,8.7,2,60,12:33 PM,02:11 AM,08:23 AM,05:32 PM,-13,-18,-11,-18,22,5,81,0.0,1027,-11,10,267,17,53202
2009-01-05 06:00:00,-4,-13,0.0,8.7,2,60,12:33 PM,02:11 AM,08:23 AM,05:32 PM,-16,-20,-13,-20,19,0,80,0.0,1026,-13,10,263,13,53202
2009-01-05 12:00:00,-4,-13,0.0,8.7,2,60,12:33 PM,02:11 AM,08:23 AM,05:32 PM,-12,-11,-6,-11,14,0,66,0.0,1021,-6,10,216,11,53202
2009-01-05 18:00:00,-4,-13,0.0,8.7,2,60,12:33 PM,02:11 AM,08:23 AM,05:32 PM,-12,-12,-7,-12,25,0,65,0.0,1017,-6,10,205,14,53202
