date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,5,0,0.0,3.4,1,31,12:02 PM,11:47 PM,09:20 AM,06:21 PM,-0,0,0,0,2,100,96,0.0,1021,0,10,201,1,83651
2009-01-01 06:00:00,5,0,0.0,3.4,1,31,12:02 PM,11:47 PM,09:20 AM,06:21 PM,0,-0,1,-0,10,100,96,0.0,1019,1,2,174,5,83651
2009-01-01 12:00:00,5,0,0.0,3.4,1,31,12:02 PM,11:47 PM,09:20 AM,06:21 PM,3,1,4,1,23,100,98,0.0,1011,4,0,206,11,83651
2009-01-01 18:00:00,5,0,0.0,3.4,1,31,12:02 PM,11:47 PM,09:20 AM,06:21 PM,4,3,5,3,16,100,97,0.0,1009,4,0,216,8,83651
2009-01-02 00:00:00,7,-2,0.0,8.7,1,38,12:21 PM,No moonset,09:20 AM,06:21 PM,5,3,6,3,23,100,98,0.0,1005,5,0,241,11,83651
2009-01-02 06:00:00,7,-2,0.0,8.7,1,38,12:21 PM,No moonset,09:20 AM,06:21 PM,4,2,6,2,36,34,92,0.0,999,5,10,201,17,83651
2009-01-02 12:00:00,7,-2,0.0,8.7,1,38,12:21 PM,No moonset,09:20 AM,06:21 PM,4,5,7,5,11,24,81,0.0,1002,7,10,259,7,83651
2009-01-02 18:00:00,7,-2,0.0,8.7,1,38,12:21 PM,No moonset,09:20 AM,06:21 PM,-3,-4,1,-4,30,46,75,0.0,1010,1,10,354,19,83651
2009-01-03 00:00:00,-1,-5,0.0,8.7,2,45,12:41 PM,12:52 AM,09:20 AM,06:22 PM,-7,-3,-3,-3,1,19,73,0.0,1018,-3,10,23,1,83651
2009-01-03 06:00:00,-1,-5,0.0,8.7,2,45,12:41 PM,12:52 AM,09:20 AM,06:22 PM,-8,-8,-4,-8,17,23,72,0.0,1023,-4,10,317,10,83651
2009-01-03 12:00:00,-1,-5,0.0,8.7,2,45,12:41 PM,12:52 AM,09:20 AM,06:22 PM,-8,-3,-2,-3,4,29,62,0.0,1027,-2,10,203,3,83651
2009-01-03 18:00:00,-1,-5,0.0,8.7,2,45,12:41 PM,12:52 AM,09:20 AM,06:22 PM,-8,-5,-3,-5,9,10,66,0.0,1028,-3,10,3,5,83651
