date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,0,0,0.0,8.7,2,31,10:57 AM,10:38 PM,08:13 AM,05:26 PM,-16,-22,-12,-22,39,18,71,0.0,1010,-12,10,322,31,02903
2009-01-01 06:00:00,0,0,0.0,8.7,2,31,10:57 AM,10:38 PM,08:13 AM,05:26 PM,-18,-22,-13,-22,26,1,68,0.0,1017,-13,10,306,20,02903
2009-01-01 12:00:00,0,0,0.0,8.7,2,31,10:57 AM,10:38 PM,08:13 AM,05:26 PM,-16,-15,-8,-15,24,1,52,0.0,1018,-7,10,307,21,02903
2009-01-01 18:00:00,0,0,0.0,8.7,2,31,10:57 AM,10:38 PM,08:13 AM,05:26 PM,-14,-17,-9,-17,34,10,67,0.0,1021,-9,10,301,19,02903
2009-01-02 00:00:00,0,0,0.3,5.2,2,38,11:18 AM,11:43 PM,08:13 AM,05:27 PM,-14,-16,-12,-16,17,18,84,0.0,1021,-12,10,279,8,02903
2009-01-02 06:00:00,0,0,0.3,5.2,2,38,11:18 AM,11:43 PM,08:13 AM,05:27 PM,-11,-11,-8,-11,9,82,83,0.0,1018,-9,10,237,5,02903
2009-01-02 12:00:00,0,0,0.3,5.2,2,38,11:18 AM,11:43 PM,08:13 AM,05:27 PM,-0,-2,2,-2,23,46,89,0.0,1010,1,10,233,14,02903
2009-01-02 18:00:00,0,0,0.3,5.2,2,38,11:18 AM,11:43 PM,08:13 AM,05:27 PM,-3,-6,-2,-6,20,87,93,0.0,1007,-2,10,269,11,02903
2009-01-03 00:00:00,0,0,0.0,8.7,2,45,11:39 AM,No moonset,08:13 AM,05:28 PM,-2,-6,-1,-6,22,44,92,0.0,1005,-2,10,275,13,02903
2009-01-03 06:00:00,0,0,0.0,8.7,2,45,11:39 AM,No moonset,08:13 AM,05:28 PM,-4,-8,-2,-8,31,11,88,0.0,1009,-2,10,291,18,02903
2009-01-03 12:00:00,0,0,0.0,8.7,2,45,11:39 AM,No moonset,08:13 AM,05:28 PM,-3,-5,0,-5,32,1,78,0.0,1010,0,10,302,22,02903
2009-01-03 18:00:00,0,0,0.0,8.7,2,45,11:39 AM,No moonset,08:13 AM,05:28 PM,-6,-9,-4,-9,32,0,83,0.0,1012,-3,10,276,18,02903
2009-01-04 00:00:00,0,0,0.0,8.7,2,52,12:02 PM,12:50 AM,08:13 AM,05:29 PM,-8,-11,-6,-11,27,2,86,0.0,1014,-5,10,290,16,02903
2009-01-04 06:00:00,0,0,0.0,8.7,2,52,12:02 PM,12:50 AM,08:13 AM,05:29 PM,-7,-10,-5,-10,16,0,85,0.0,1014,-6,10,303,12,02903
2009-01-04 12:00:00,0,0,0.0,8.7,2,52,12:02 PM,12:50 AM,08:13 AM,05:29 PM,-2,-2,1,-2,15,9,80,0.0,1015,1,10,314,12,02903
2009-01-04 18:00:00,0,0,0.0,8.7,2,52,12:02 PM,12:50 AM,08:13 AM,05:29 PM,-5,-4,-2,-4,10,8,81,0.0,1016,-3,10,288,5,02903
2009-01-05 00:00:00,0,0,0.0,8.7,2,60,12:29 PM,02:00 AM,08:13 AM,05:30 PM,-4,-3,-1,-3,11,23,80,0.0,1014,-2,10,231,5,02903
2009-01-05 06:00:00,0,0,0.0,8.7,2,60,12:29 PM,02:00 AM,08:13 AM,05:30 PM,-1,-3,1,-3,22,29,89,0.0,1011,1,10,254,13,02903
2009-01-05 12:00:00,0,0,0.0,8.7,2,60,12:29 PM,02:00 AM,08:13 AM,05:30 PM,0,0,3,0,15,47,83,0.0,1012,3,10,289,10,02903
2009-01-05 18:00:00,0,0,0.0,8.7,2,60,12:29 PM,02:00 AM,08:13 AM,05:30 PM,-1,-2,1,-2,16,47,88,0.0,1013,1,10,274,8,02903
2009-01-06 00:00:00,0,0,0.0,8.7,2,67,01:02 PM,03:14 AM,08:13 AM,05:31 PM,-4,-5,-1,-5,20,2,79,0.0,1015,-2,10,303,13,02903
2009-01-06 06:00:00,0,0,0.0,8.7,2,67,01:02 PM,03:14 AM,08:13 AM,05:31 PM,-6,-7,-3,-7,15,7,79,0.0,1018,-3,10,325,10,02903
2009-01-06 12:00:00,0,0,0.0,8.7,2,67,01:02 PM,03:14 AM,08:13 AM,05:31 PM,-6,0,0,0,3,20,62,0.0,1017,-0,10,265,3,02903
2009-01-06 18:00:00,0,0,0.0,8.7,2,67,01:02 PM,03:14 AM,08:13 AM,05:31 PM,-5,-0,-0,-0,4,49,68,0.0,1016,-1,10,220,3,02903
2009-01-07 00:00:00,0,0,0.0,3.4,1,74,01:44 PM,04:30 AM,08:13 AM,05:32 PM,-2,-4,-1,-4,12,100,89,0.0,1013,-1,10,68,9,02903
2009-01-07 06:00:00,0,0,0.0,3.4,1,74,01:44 PM,04:30 AM,08:13 AM,05:32 PM,-1,-5,0,-5,25,100,95,0.0,1004,-0,10,77,17,02903
2009-01-07 12:00:00,0,0,0.0,3.4,1,74,01:44 PM,04:30 AM,08:13 AM,05:32 PM,2,-2,3,-2,39,100,100,0.0,993,3,10,4,21,02903
2009-01-07 18:00:00,0,0,0.0,3.4,1,74,01:44 PM,04:30 AM,08:13 AM,05:32 PM,2,1,3,1,10,100,97,0.0,986,3,2,67,5,02903
2009-01-08 00:00:00,0,0,0.0,8.7,1,82,02:38 PM,05:47 AM,08:13 AM,05:33 PM,-0,-3,1,-3,26,99,91,0.0,986,1,10,261,17,02903
2009-01-08 06:00:00,0,0,0.0,8.7,1,82,02:38 PM,05:47 AM,08:13 AM,05:33 PM,-1,-5,1,-5,46,14,86,0.0,992,1,10,240,27,02903
2009-01-08 12:00:00,0,0,0.0,8.7,1,82,02:38 PM,05:47 AM,08:13 AM,05:33 PM,-0,-2,3,-2,40,55,79,0.0,993,3,10,249,28,02903
2009-01-08 18:00:00,0,0,0.0,8.7,1,82,02:38 PM,05:47 AM,08:13 AM,05:33 PM,-3,-5,-0,-5,29,49,82,0.0,998,-0,10,269,18,02903
2009-01-09 00:00:00,0,0,0.0,8.7,2,89,03:46 PM,06:56 AM,08:13 AM,05:34 PM,-8,-9,-3,-9,21,45,70,0.0,1002,-3,10,309,16,02903
2009-01-09 06:00:00,0,0,0.0,8.7,2,89,03:46 PM,06:56 AM,08:13 AM,05:34 PM,-11,-12,-5,-12,29,13,65,0.0,1009,-5,10,299,22,02903
2009-01-09 12:00:00,0,0,0.0,8.7,2,89,03:46 PM,06:56 AM,08:13 AM,05:34 PM,-11,-9,-2,-9,30,7,50,0.0,1011,-2,10,303,24,02903
2009-01-09 18:00:00,0,0,0.0,8.7,2,89,03:46 PM,06:56 AM,08:13 AM,05:34 PM,-11,-10,-4,-10,29,5,59,0.0,1018,-4,10,295,19,02903
2009-01-10 00:00:00,0,0,1.3,8.7,2,96,05:04 PM,07:55 AM,08:12 AM,05:35 PM,-13,-13,-6,-13,25,1,60,0.0,1022,-6,10,301,17,02903
2009-01-10 06:00:00,0,0,1.3,8.7,2,96,05:04 PM,07:55 AM,08:12 AM,05:35 PM,-14,-13,-8,-13,17,12,61,0.0,1025,-8,10,305,13,02903
2009-01-10 12:00:00,0,0,1.3,8.7,2,96,05:04 PM,07:55 AM,08:12 AM,05:35 PM,-13,-4,-3,-4,5,45,45,0.0,1024,-4,10,332,4,02903
2009-01-10 18:00:00,0,0,1.3,8.7,2,96,05:04 PM,07:55 AM,08:12 AM,05:35 PM,-8,-5,-5,-5,3,100,79,0.0,1023,-5,10,85,3,02903
2009-01-11 00:00:00,0,0,1.0,3.5,1,100,06:25 PM,08:41 AM,08:12 AM,05:36 PM,-4,-9,-3,-9,26,100,95,0.0,1015,-3,10,66,18,02903
2009-01-11 06:00:00,0,0,1.0,3.5,1,100,06:25 PM,08:41 AM,08:12 AM,05:36 PM,-2,-8,-2,-8,33,100,96,0.0,1007,-2,10,11,21,02903
2009-01-11 12:00:00,0,0,1.0,3.5,1,100,06:25 PM,08:41 AM,08:12 AM,05:36 PM,-6,-11,-5,-11,27,100,95,0.0,1010,-5,10,343,20,02903
2009-01-11 18:00:00,0,0,1.0,3.5,1,100,06:25 PM,08:41 AM,08:12 AM,05:36 PM,-5,-7,-4,-7,8,93,96,0.0,1015,-4,2,311,6,02903
2009-01-12 00:00:00,0,0,0.3,8.7,1,89,07:46 PM,09:18 AM,08:12 AM,05:37 PM,-4,-8,-4,-8,15,98,93,0.0,1016,-4,10,12,10,02903
2009-01-12 06:00:00,0,0,0.3,8.7,1,89,07:46 PM,09:18 AM,08:12 AM,05:37 PM,-6,-9,-5,-9,16,100,92,0.0,1017,-5,10,311,12,02903
2009-01-12 12:00:00,0,0,0.3,8.7,1,89,07:46 PM,09:18 AM,08:12 AM,05:37 PM,-6,-7,-2,-7,22,7,77,0.0,1020,-2,10,320,17,02903
2009-01-12 18:00:00,0,0,0.3,8.7,1,89,07:46 PM,09:18 AM,08:12 AM,05:37 PM,-7,-7,-5,-7,10,9,88,0.0,1025,-6,10,331,5,02903
2009-01-13 00:00:00,0,0,0.0,5.2,2,82,09:03 PM,09:47 AM,08:11 AM,05:38 PM,-7,-8,-5,-8,11,45,84,0.0,1027,-6,10,281,6,02903
2009-01-13 06:00:00,0,0,0.0,5.2,2,82,09:03 PM,09:47 AM,08:11 AM,05:38 PM,-8,-8,-5,-8,15,33,78,0.0,1025,-5,10,159,8,02903
2009-01-13 12:00:00,0,0,0.0,5.2,2,82,09:03 PM,09:47 AM,08:11 AM,05:38 PM,-1,-2,1,-2,16,83,84,0.0,1019,1,10,173,10,02903
2009-01-13 18:00:00,0,0,0.0,5.2,2,82,09:03 PM,09:47 AM,08:11 AM,05:38 PM,1,-1,2,-1,23,100,91,0.0,1011,2,10,133,12,02903
2009-01-14 00:00:00,0,0,0.3,8.7,2,75,10:15 PM,10:12 AM,08:11 AM,05:39 PM,1,-3,1,-3,28,42,94,0.0,1003,1,10,315,16,02903
2009-01-14 06:00:00,0,0,0.3,8.7,2,75,10:15 PM,10:12 AM,08:11 AM,05:39 PM,-10,-17,-8,-17,41,0,86,0.0,1011,-8,10,305,26,02903
2009-01-14 12:00:00,0,0,0.3,8.7,2,75,10:15 PM,10:12 AM,08:11 AM,05:39 PM,-9,-13,-7,-13,15,5,84,0.0,1017,-7,10,315,13,02903
2009-01-14 18:00:00,0,0,0.3,8.7,2,75,10:15 PM,10:12 AM,08:11 AM,05:39 PM,-11,-13,-9,-13,13,48,87,0.0,1021,-9,10,316,8,02903
2009-01-15 00:00:00,0,0,0.5,3.5,2,68,11:25 PM,10:35 AM,08:10 AM,05:40 PM,-13,-14,-10,-14,12,44,78,0.0,1022,-10,10,335,9,02903
2009-01-15 06:00:00,0,0,0.5,3.5,2,68,11:25 PM,10:35 AM,08:10 AM,05:40 PM,-13,-17,-11,-17,16,100,84,0.0,1022,-11,10,18,12,02903
2009-01-15 12:00:00,0,0,0.5,3.5,2,68,11:25 PM,10:35 AM,08:10 AM,05:40 PM,-12,-16,-10,-16,19,68,85,0.0,1022,-10,10,10,15,02903
2009-01-15 18:00:00,0,0,0.5,3.5,2,68,11:25 PM,10:35 AM,08:10 AM,05:40 PM,-13,-16,-10,-16,17,15,80,0.0,1026,-10,10,341,11,02903
2009-01-16 00:00:00,0,0,0.0,8.7,2,60,No moonrise,10:58 AM,08:10 AM,05:42 PM,-13,-17,-11,-17,15,2,82,0.0,1028,-12,10,319,12,02903
