date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,1,-13,0.0,6.5,1,31,11:39 AM,11:27 PM,08:49 AM,06:12 PM,-6,-10,-6,-10,18,27,98,0.0,1022,-6,0,173,9,84601
2009-01-01 06:00:00,1,-13,0.0,6.5,1,31,11:39 AM,11:27 PM,08:49 AM,06:12 PM,-13,-15,-13,-15,8,53,100,0.0,1025,-13,0,256,4,84601
2009-01-01 12:00:00,1,-13,0.0,6.5,1,31,11:39 AM,11:27 PM,08:49 AM,06:12 PM,0,-4,1,-4,31,30,100,0.0,1018,1,10,201,15,84601
2009-01-01 18:00:00,1,-13,0.0,6.5,1,31,11:39 AM,11:27 PM,08:49 AM,06:12 PM,1,-3,1,-3,26,74,99,0.0,1015,1,10,205,13,84601
2009-01-02 00:00:00,1,-2,0.0,6.5,2,38,12:01 PM,No moonset,08:49 AM,06:13 PM,-1,-5,-1,-5,28,10,95,0.0,1014,-0,10,194,13,84601
2009-01-02 06:00:00,1,-2,0.0,6.5,2,38,12:01 PM,No moonset,08:49 AM,06:13 PM,-2,-8,-2,-8,51,31,97,0.0,1013,-2,10,177,24,84601
2009-01-02 12:00:00,1,-2,0.0,6.5,2,38,12:01 PM,No moonset,08:49 AM,06:13 PM,1,-5,1,-5,58,71,100,0.0,1007,1,10,191,28,84601
2009-01-02 18:00:00,1,-2,0.0,6.5,2,38,12:01 PM,No moonset,08:49 AM,06:13 PM,1,-3,1,-3,29,77,100,0.0,1002,1,9,294,14,84601
2009-01-03 00:00:00,-2,-17,1.1,9.6,1,45,12:24 PM,12:31 AM,08:49 AM,06:13 PM,-2,-8,-2,-8,31,93,99,0.0,1007,-2,10,352,21,84601
2009-01-03 06:00:00,-2,-17,1.1,9.6,1,45,12:24 PM,12:31 AM,08:49 AM,06:13 PM,-7,-13,-7,-13,22,53,98,0.0,1015,-7,10,310,14,84601
2009-01-03 12:00:00,-2,-17,1.1,9.6,1,45,12:24 PM,12:31 AM,08:49 AM,06:13 PM,-8,-12,-8,-12,10,24,97,0.0,1023,-8,2,340,8,84601
2009-01-03 18:00:00,-2,-17,1.1,9.6,1,45,12:24 PM,12:31 AM,08:49 AM,06:13 PM,-13,-18,-12,-18,19,28,98,0.0,1026,-12,0,336,9,84601
2009-01-04 00:00:00,-8,-26,0.0,9.7,1,52,12:48 PM,01:37 AM,08:49 AM,06:14 PM,-20,-25,-20,-25,15,11,98,0.0,1033,-20,0,76,7,84601
2009-01-04 06:00:00,-8,-26,0.0,9.7,1,52,12:48 PM,01:37 AM,08:49 AM,06:14 PM,-24,-28,-23,-28,11,7,98,0.0,1037,-24,0,113,5,84601
2009-01-04 12:00:00,-8,-26,0.0,9.7,1,52,12:48 PM,01:37 AM,08:49 AM,06:14 PM,-12,-15,-11,-15,7,10,96,0.0,1034,-11,2,115,6,84601
2009-01-04 18:00:00,-8,-26,0.0,9.7,1,52,12:48 PM,01:37 AM,08:49 AM,06:14 PM,-26,-29,-26,-29,7,15,100,0.0,1033,-26,0,97,3,84601
2009-01-05 00:00:00,-7,-18,3.0,8.2,1,60,01:17 PM,02:46 AM,08:49 AM,06:15 PM,-19,-24,-18,-24,17,10,97,0.0,1032,-18,0,143,8,84601
2009-01-05 06:00:00,-7,-18,3.0,8.2,1,60,01:17 PM,02:46 AM,08:49 AM,06:15 PM,-16,-24,-15,-24,36,12,97,0.0,1029,-15,10,147,17,84601
2009-01-05 12:00:00,-7,-18,3.0,8.2,1,60,01:17 PM,02:46 AM,08:49 AM,06:15 PM,-10,-16,-10,-16,18,59,98,0.0,1022,-10,0,225,12,84601
2009-01-05 18:00:00,-7,-18,3.0,8.2,1,60,01:17 PM,02:46 AM,08:49 AM,06:15 PM,-8,-14,-8,-14,22,87,99,0.0,1015,-8,10,194,14,84601
2009-01-06 00:00:00,-2,-6,3.2,4.8,1,67,01:52 PM,03:59 AM,08:49 AM,06:16 PM,-6,-10,-6,-10,12,100,100,0.0,1017,-6,0,256,8,84601
2009-01-06 06:00:00,-2,-6,3.2,4.8,1,67,01:52 PM,03:59 AM,08:49 AM,06:16 PM,-5,-7,-5,-7,9,96,99,0.0,1019,-5,0,235,5,84601
2009-01-06 12:00:00,-2,-6,3.2,4.8,1,67,01:52 PM,03:59 AM,08:49 AM,06:16 PM,-3,-8,-3,-8,18,100,100,0.0,1020,-3,10,254,13,84601
2009-01-06 18:00:00,-2,-6,3.2,4.8,1,67,01:52 PM,03:59 AM,08:49 AM,06:16 PM,-2,-5,-2,-5,10,99,100,0.0,1018,-2,0,204,6,84601
2009-01-07 00:00:00,0,-2,0.1,4.8,1,74,02:36 PM,05:15 AM,08:49 AM,06:17 PM,-2,-4,-2,-4,9,99,100,0.0,1020,-2,0,239,5,84601
2009-01-07 06:00:00,0,-2,0.1,4.8,1,74,02:36 PM,05:15 AM,08:49 AM,06:17 PM,-2,-3,-2,-3,9,89,100,0.0,1020,-2,0,259,4,84601
2009-01-07 12:00:00,0,-2,0.1,4.8,1,74,02:36 PM,05:15 AM,08:49 AM,06:17 PM,0,-1,1,-1,10,100,100,0.0,1019,0,0,202,5,84601
2009-01-07 18:00:00,0,-2,0.1,4.8,1,74,02:36 PM,05:15 AM,08:49 AM,06:17 PM,1,1,1,1,6,100,100,0.0,1019,0,0,268,3,84601
2009-01-08 00:00:00,2,-1,0.0,4.8,1,82,03:33 PM,06:29 AM,08:49 AM,06:18 PM,1,-1,1,-1,10,100,100,0.0,1021,1,0,205,5,84601
2009-01-08 06:00:00,2,-1,0.0,4.8,1,82,03:33 PM,06:29 AM,08:49 AM,06:18 PM,1,-3,1,-3,33,90,99,0.0,1020,1,10,181,16,84601
2009-01-08 12:00:00,2,-1,0.0,4.8,1,82,03:33 PM,06:29 AM,08:49 AM,06:18 PM,1,-4,1,-4,45,100,100,0.0,1017,1,10,177,22,84601
2009-01-08 18:00:00,2,-1,0.0,4.8,1,82,03:33 PM,06:29 AM,08:49 AM,06:18 PM,2,-3,2,-3,39,83,100,0.0,1010,2,10,192,19,84601
2009-01-09 00:00:00,-1,-5,0.7,4.9,1,89,04:42 PM,07:38 AM,08:49 AM,06:19 PM,-2,-8,-2,-8,32,74,100,0.0,1018,-1,10,348,23,84601
2009-01-09 06:00:00,-1,-5,0.7,4.9,1,89,04:42 PM,07:38 AM,08:49 AM,06:19 PM,-5,-11,-5,-11,30,63,99,0.0,1025,-5,10,309,17,84601
2009-01-09 12:00:00,-1,-5,0.7,4.9,1,89,04:42 PM,07:38 AM,08:49 AM,06:19 PM,-3,-8,-2,-8,22,64,99,0.0,1029,-2,9,334,16,84601
2009-01-09 18:00:00,-1,-5,0.7,4.9,1,89,04:42 PM,07:38 AM,08:49 AM,06:19 PM,-4,-5,-4,-5,7,70,99,0.0,1032,-4,0,318,4,84601
2009-01-10 00:00:00,-2,-16,0.1,9.7,1,96,06:00 PM,08:35 AM,08:49 AM,06:20 PM,-11,-11,-11,-11,3,59,100,0.0,1037,-11,0,296,1,84601
