date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,-1,-4,0.4,8.7,1,31,11:08 AM,10:50 PM,08:28 AM,05:26 PM,-3,-3,-3,-3,6,48,96,0.0,1005,-3,2,129,3,57701
2009-01-01 06:00:00,-1,-4,0.4,8.7,1,31,11:08 AM,10:50 PM,08:28 AM,05:26 PM,-3,-7,-1,-7,39,60,91,0.0,1012,-1,10,320,22,57701
2009-01-01 12:00:00,-1,-4,0.4,8.7,1,31,11:08 AM,10:50 PM,08:28 AM,05:26 PM,-4,-3,-1,-3,7,39,78,0.0,1015,-1,10,282,5,57701
2009-01-01 18:00:00,-1,-4,0.4,8.7,1,31,11:08 AM,10:50 PM,08:28 AM,05:26 PM,-6,-6,-4,-6,9,53,84,0.0,1011,-4,10,93,5,57701
2009-01-02 00:00:00,5,-6,0.0,8.7,2,38,11:27 AM,11:57 PM,08:28 AM,05:27 PM,-7,-8,-5,-8,14,28,83,0.0,1007,-5,10,164,7,57701
2009-01-02 06:00:00,5,-6,0.0,8.7,2,38,11:27 AM,11:57 PM,08:28 AM,05:27 PM,-6,-8,-5,-8,14,23,91,0.0,1005,-5,10,149,7,57701
2009-01-02 12:00:00,5,-6,0.0,8.7,2,38,11:27 AM,11:57 PM,08:28 AM,05:27 PM,1,2,4,2,12,13,78,0.0,999,4,10,136,8,57701
2009-01-02 18:00:00,5,-6,0.0,8.7,2,38,11:27 AM,11:57 PM,08:28 AM,05:27 PM,2,1,5,1,38,2,81,0.0,992,5,10,248,18,57701
2009-01-03 00:00:00,-0,-11,1.0,8.7,1,45,11:47 AM,No moonset,08:28 AM,05:28 PM,-2,-7,-1,-7,51,100,88,0.0,1004,-0,10,341,33,57701
2009-01-03 06:00:00,-0,-11,1.0,8.7,1,45,11:47 AM,No moonset,08:28 AM,05:28 PM,-11,-20,-10,-20,47,84,90,0.0,1016,-10,10,339,33,57701
2009-01-03 12:00:00,-0,-11,1.0,8.7,1,45,11:47 AM,No moonset,08:28 AM,05:28 PM,-12,-17,-10,-17,23,43,83,0.0,1023,-10,10,327,19,57701
2009-01-03 18:00:00,-0,-11,1.0,8.7,1,45,11:47 AM,No moonset,08:28 AM,05:28 PM,-13,-15,-11,-15,13,13,83,0.0,1027,-11,10,303,9,57701
2009-01-04 00:00:00,-5,-13,0.0,8.7,2,52,12:08 PM,01:06 AM,08:28 AM,05:29 PM,-14,-20,-13,-20,21,4,89,0.0,1030,-13,10,262,13,57701
2009-01-04 06:00:00,-5,-13,0.0,8.7,2,52,12:08 PM,01:06 AM,08:28 AM,05:29 PM,-15,-20,-13,-20,27,3,87,0.0,1031,-13,10,279,14,57701
2009-01-04 12:00:00,-5,-13,0.0,8.7,2,52,12:08 PM,01:06 AM,08:28 AM,05:29 PM,-12,-13,-7,-13,17,0,69,0.0,1029,-7,10,274,14,57701
2009-01-04 18:00:00,-5,-13,0.0,8.7,2,52,12:08 PM,01:06 AM,08:28 AM,05:29 PM,-12,-15,-9,-15,23,0,83,0.0,1027,-9,10,248,11,57701
2009-01-05 00:00:00,-2,-13,0.0,8.7,2,60,12:33 PM,02:18 AM,08:28 AM,05:30 PM,-13,-17,-11,-17,32,0,83,0.0,1023,-10,10,240,15,57701
2009-01-05 06:00:00,-2,-13,0.0,8.7,2,60,12:33 PM,02:18 AM,08:28 AM,05:30 PM,-14,-13,-13,-13,4,2,91,0.0,1016,-13,10,99,2,57701
2009-01-05 12:00:00,-2,-13,0.0,8.7,2,60,12:33 PM,02:18 AM,08:28 AM,05:30 PM,-9,-9,-4,-9,15,5,69,0.0,1004,-4,10,223,11,57701
2009-01-05 18:00:00,-2,-13,0.0,8.7,2,60,12:33 PM,02:18 AM,08:28 AM,05:30 PM,-6,-8,-5,-8,15,47,90,0.0,1002,-5,10,2,7,57701
2009-01-06 00:00:00,1,-5,0.5,5.2,1,67,01:05 PM,03:35 AM,08:27 AM,05:31 PM,-6,-9,-5,-9,20,51,95,0.0,1003,-5,2,242,9,57701
2009-01-06 06:00:00,1,-5,0.5,5.2,1,67,01:05 PM,03:35 AM,08:27 AM,05:31 PM,-5,-8,-4,-8,20,54,94,0.0,1004,-4,2,285,10,57701
2009-01-06 12:00:00,1,-5,0.5,5.2,1,67,01:05 PM,03:35 AM,08:27 AM,05:31 PM,-2,-5,-0,-5,30,62,90,0.0,1004,-0,10,301,19,57701
2009-01-06 18:00:00,1,-5,0.5,5.2,1,67,01:05 PM,03:35 AM,08:27 AM,05:31 PM,-3,-7,-2,-7,32,79,91,0.0,1008,-2,10,302,18,57701
2009-01-07 00:00:00,-2,-4,2.9,3.4,1,74,01:47 PM,04:53 AM,08:27 AM,05:32 PM,-5,-6,-4,-6,11,56,96,0.0,1006,-4,2,228,5,57701
2009-01-07 06:00:00,-2,-4,2.9,3.4,1,74,01:47 PM,04:53 AM,08:27 AM,05:32 PM,-3,-5,-3,-5,11,43,99,0.0,1003,-3,0,326,5,57701
2009-01-07 12:00:00,-2,-4,2.9,3.4,1,74,01:47 PM,04:53 AM,08:27 AM,05:32 PM,-3,-5,-2,-5,9,94,96,0.0,1003,-2,2,12,6,57701
2009-01-07 18:00:00,-2,-4,2.9,3.4,1,74,01:47 PM,04:53 AM,08:27 AM,05:32 PM,-3,-4,-3,-4,7,76,97,0.0,1006,-2,2,154,4,57701
2009-01-08 00:00:00,7,-1,0.0,6.9,1,82,02:41 PM,06:10 AM,08:27 AM,05:33 PM,-1,-2,-1,-2,10,96,99,0.0,1008,-1,0,293,5,57701
2009-01-08 06:00:00,7,-1,0.0,6.9,1,82,02:41 PM,06:10 AM,08:27 AM,05:33 PM,1,-2,1,-2,21,100,98,0.0,1007,1,0,284,10,57701
2009-01-08 12:00:00,7,-1,0.0,6.9,1,82,02:41 PM,06:10 AM,08:27 AM,05:33 PM,4,1,5,1,31,19,96,0.0,1004,5,10,230,15,57701
2009-01-08 18:00:00,7,-1,0.0,6.9,1,82,02:41 PM,06:10 AM,08:27 AM,05:33 PM,2,0,3,0,18,6,93,0.0,999,3,10,256,9,57701
2009-01-09 00:00:00,3,-7,0.1,3.4,1,89,03:50 PM,07:19 AM,08:27 AM,05:34 PM,3,-0,3,-0,24,100,97,0.0,1002,3,2,298,12,57701
2009-01-09 06:00:00,3,-7,0.1,3.4,1,89,03:50 PM,07:19 AM,08:27 AM,05:34 PM,0,-3,1,-3,22,40,94,0.0,1012,1,10,325,12,57701
2009-01-09 12:00:00,3,-7,0.1,3.4,1,89,03:50 PM,07:19 AM,08:27 AM,05:34 PM,-9,-16,-6,-16,57,100,81,0.0,1027,-6,10,323,45,57701
2009-01-09 18:00:00,3,-7,0.1,3.4,1,89,03:50 PM,07:19 AM,08:27 AM,05:34 PM,-10,-15,-7,-15,31,55,80,0.0,1033,-7,10,339,22,57701
2009-01-10 00:00:00,2,-8,0.0,8.7,2,96,05:09 PM,08:15 AM,08:26 AM,05:35 PM,-9,-10,-8,-10,10,6,86,0.0,1032,-8,10,175,5,57701
2009-01-10 06:00:00,2,-8,0.0,8.7,2,96,05:09 PM,08:15 AM,08:26 AM,05:35 PM,-8,-10,-6,-10,20,10,86,0.0,1026,-6,10,256,9,57701
2009-01-10 12:00:00,2,-8,0.0,8.7,2,96,05:09 PM,08:15 AM,08:26 AM,05:35 PM,-4,-4,1,-4,28,46,70,0.0,1023,1,10,274,18,57701
2009-01-10 18:00:00,2,-8,0.0,8.7,2,96,05:09 PM,08:15 AM,08:26 AM,05:35 PM,-3,-5,-1,-5,20,14,90,0.0,1023,-1,10,297,10,57701
2009-01-11 00:00:00,2,-3,0.0,8.7,2,100,06:33 PM,08:59 AM,08:26 AM,05:36 PM,-3,-7,-2,-7,35,13,89,0.0,1026,-2,10,284,18,57701
2009-01-11 06:00:00,2,-3,0.0,8.7,2,100,06:33 PM,08:59 AM,08:26 AM,05:36 PM,-4,-5,-3,-5,11,25,97,0.0,1027,-3,2,269,5,57701
2009-01-11 12:00:00,2,-3,0.0,8.7,2,100,06:33 PM,08:59 AM,08:26 AM,05:36 PM,-1,-0,2,-0,13,44,82,0.0,1023,2,10,179,9,57701
2009-01-11 18:00:00,2,-3,0.0,8.7,2,100,06:33 PM,08:59 AM,08:26 AM,05:36 PM,-0,-0,1,-0,8,52,95,0.0,1016,1,2,182,4,57701
2009-01-12 00:00:00,0,-8,0.1,6.9,2,89,07:56 PM,09:33 AM,08:26 AM,05:37 PM,-1,-6,0,-6,48,53,88,0.0,1018,0,10,327,28,57701
2009-01-12 06:00:00,0,-8,0.1,6.9,2,89,07:56 PM,09:33 AM,08:26 AM,05:37 PM,-7,-13,-4,-13,77,26,78,0.0,1021,-4,10,321,49,57701
2009-01-12 12:00:00,0,-8,0.1,6.9,2,89,07:56 PM,09:33 AM,08:26 AM,05:37 PM,-9,-12,-5,-12,32,72,72,0.0,1035,-5,10,328,27,57701
2009-01-12 18:00:00,0,-8,0.1,6.9,2,89,07:56 PM,09:33 AM,08:26 AM,05:37 PM,-8,-8,-6,-8,6,34,85,0.0,1033,-6,10,303,3,57701
2009-01-13 00:00:00,4,-7,0.0,8.7,2,82,09:14 PM,10:00 AM,08:25 AM,05:39 PM,-8,-10,-7,-10,12,35,89,0.0,1027,-7,10,190,6,57701
