date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,9,-2,0.0,8.7,2,31,10:45 AM,10:36 PM,07:48 AM,05:29 PM,-2,-2,-1,-2,9,0,92,0.0,1021,-1,10,4,4,84770
2009-01-01 06:00:00,9,-2,0.0,8.7,2,31,10:45 AM,10:36 PM,07:48 AM,05:29 PM,-3,-2,-1,-2,8,4,86,0.0,1022,-2,10,114,4,84770
2009-01-01 12:00:00,9,-2,0.0,8.7,2,31,10:45 AM,10:36 PM,07:48 AM,05:29 PM,1,4,6,4,12,15,71,0.0,1021,6,10,180,8,84770
2009-01-01 18:00:00,9,-2,0.0,8.7,2,31,10:45 AM,10:36 PM,07:48 AM,05:29 PM,1,1,4,1,19,2,83,0.0,1017,4,10,200,9,84770
2009-01-02 00:00:00,7,-1,0.0,8.7,2,38,11:09 AM,11:38 PM,07:48 AM,05:30 PM,-3,-2,-1,-2,10,4,84,0.0,1018,-1,10,135,5,84770
2009-01-02 06:00:00,7,-1,0.0,8.7,2,38,11:09 AM,11:38 PM,07:48 AM,05:30 PM,-6,-3,-1,-3,11,6,70,0.0,1017,-1,10,115,5,84770
2009-01-02 12:00:00,7,-1,0.0,8.7,2,38,11:09 AM,11:38 PM,07:48 AM,05:30 PM,1,3,5,3,17,3,76,0.0,1013,5,10,160,10,84770
2009-01-02 18:00:00,7,-1,0.0,8.7,2,38,11:09 AM,11:38 PM,07:48 AM,05:30 PM,0,1,3,1,14,4,82,0.0,1007,3,10,173,6,84770
2009-01-03 00:00:00,4,-4,0.0,8.7,2,45,11:34 AM,No moonset,07:48 AM,05:30 PM,-1,-1,1,-1,14,17,86,0.0,1008,1,10,166,7,84770
2009-01-03 06:00:00,4,-4,0.0,8.7,2,45,11:34 AM,No moonset,07:48 AM,05:30 PM,0,1,2,1,8,15,92,0.0,1010,1,10,28,4,84770
2009-01-03 12:00:00,4,-4,0.0,8.7,2,45,11:34 AM,No moonset,07:48 AM,05:30 PM,1,1,4,1,13,11,82,0.0,1015,4,10,336,11,84770
2009-01-03 18:00:00,4,-4,0.0,8.7,2,45,11:34 AM,No moonset,07:48 AM,05:30 PM,-3,-4,-0,-4,22,9,83,0.0,1017,-0,10,16,13,84770
2009-01-04 00:00:00,1,-6,0.0,8.7,2,52,12:01 PM,12:41 AM,07:49 AM,05:31 PM,-8,-13,-6,-13,39,3,80,0.0,1023,-6,10,23,24,84770
2009-01-04 06:00:00,1,-6,0.0,8.7,2,52,12:01 PM,12:41 AM,07:49 AM,05:31 PM,-9,-12,-6,-12,27,8,78,0.0,1025,-6,10,34,16,84770
2009-01-04 12:00:00,1,-6,0.0,8.7,2,52,12:01 PM,12:41 AM,07:49 AM,05:31 PM,-7,-5,-2,-5,10,6,65,0.0,1027,-2,10,25,9,84770
2009-01-04 18:00:00,1,-6,0.0,8.7,2,52,12:01 PM,12:41 AM,07:49 AM,05:31 PM,-4,-4,-2,-4,16,13,81,0.0,1024,-1,10,17,8,84770
2009-01-05 00:00:00,-2,-7,0.1,8.7,2,60,12:31 PM,01:48 AM,07:49 AM,05:32 PM,-7,-9,-6,-9,13,6,92,0.0,1029,-6,10,22,6,84770
2009-01-05 06:00:00,-2,-7,0.1,8.7,2,60,12:31 PM,01:48 AM,07:49 AM,05:32 PM,-9,-10,-7,-10,15,32,84,0.0,1027,-7,10,77,7,84770
2009-01-05 12:00:00,-2,-7,0.1,8.7,2,60,12:31 PM,01:48 AM,07:49 AM,05:32 PM,-7,-4,-3,-4,4,49,78,0.0,1024,-3,10,334,3,84770
2009-01-05 18:00:00,-2,-7,0.1,8.7,2,60,12:31 PM,01:48 AM,07:49 AM,05:32 PM,-6,-6,-4,-6,7,54,83,0.0,1020,-4,10,163,5,84770
2009-01-06 00:00:00,4,-7,0.0,8.7,2,67,01:09 PM,02:59 AM,07:49 AM,05:33 PM,-8,-7,-7,-7,1,13,91,0.0,1022,-7,10,206,0,84770
2009-01-06 06:00:00,4,-7,0.0,8.7,2,67,01:09 PM,02:59 AM,07:49 AM,05:33 PM,-8,-7,-7,-7,2,11,92,0.0,1023,-7,10,144,1,84770
2009-01-06 12:00:00,4,-7,0.0,8.7,2,67,01:09 PM,02:59 AM,07:49 AM,05:33 PM,-4,-3,1,-3,13,7,73,0.0,1023,1,10,181,10,84770
2009-01-06 18:00:00,4,-7,0.0,8.7,2,67,01:09 PM,02:59 AM,07:49 AM,05:33 PM,-2,-3,1,-3,26,8,79,0.0,1022,1,10,214,13,84770
2009-01-07 00:00:00,7,-3,0.0,8.7,2,74,01:55 PM,04:12 AM,07:49 AM,05:34 PM,-4,-5,-3,-5,13,12,91,0.0,1026,-3,10,165,6,84770
2009-01-07 06:00:00,7,-3,0.0,8.7,2,74,01:55 PM,04:12 AM,07:49 AM,05:34 PM,-4,-5,-2,-5,16,9,90,0.0,1025,-2,10,157,8,84770
2009-01-07 12:00:00,7,-3,0.0,8.7,2,74,01:55 PM,04:12 AM,07:49 AM,05:34 PM,-0,1,4,1,13,0,77,0.0,1024,4,10,209,9,84770
2009-01-07 18:00:00,7,-3,0.0,8.7,2,74,01:55 PM,04:12 AM,07:49 AM,05:34 PM,1,0,3,0,23,2,89,0.0,1021,3,10,220,11,84770
2009-01-08 00:00:00,11,-2,0.0,8.7,1,82,02:53 PM,05:26 AM,07:48 AM,05:35 PM,-2,-1,-1,-1,5,0,95,0.0,1025,-2,2,54,3,84770
2009-01-08 06:00:00,11,-2,0.0,8.7,1,82,02:53 PM,05:26 AM,07:48 AM,05:35 PM,-2,-3,-0,-3,14,0,91,0.0,1022,-0,10,80,6,84770
