date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,10,4,0.0,3.3,2,31,11:29 AM,11:13 PM,08:50 AM,05:42 PM,3,-0,4,-0,29,71,98,0.1,1019,4,10,166,16,97301
2009-01-01 06:00:00,10,4,0.0,3.3,2,31,11:29 AM,11:13 PM,08:50 AM,05:42 PM,7,2,7,2,59,100,99,0.0,1009,7,10,203,35,97301
2009-01-01 12:00:00,10,4,0.0,3.3,2,31,11:29 AM,11:13 PM,08:50 AM,05:42 PM,9,6,10,6,49,100,97,0.0,1006,9,10,206,30,97301
2009-01-01 18:00:00,10,4,0.0,3.3,2,31,11:29 AM,11:13 PM,08:50 AM,05:42 PM,9,7,10,7,27,100,98,5.7,1003,10,7,217,17,97301
2009-01-02 00:00:00,5,1,0.0,5.1,1,38,11:47 AM,No moonset,08:50 AM,05:43 PM,5,1,5,1,29,100,100,6.1,996,5,7,310,20,97301
2009-01-02 06:00:00,5,1,0.0,5.1,1,38,11:47 AM,No moonset,08:50 AM,05:43 PM,2,0,3,0,13,47,100,0.2,1008,2,5,228,8,97301
2009-01-02 12:00:00,5,1,0.0,5.1,1,38,11:47 AM,No moonset,08:50 AM,05:43 PM,3,1,4,1,14,67,94,0.0,1014,4,2,252,9,97301
2009-01-02 18:00:00,5,1,0.0,5.1,1,38,11:47 AM,No moonset,08:50 AM,05:43 PM,1,0,2,0,9,40,96,0.0,1018,1,2,207,5,97301
2009-01-03 00:00:00,2,0,0.1,3.4,1,45,12:06 PM,12:20 AM,08:50 AM,05:44 PM,0,-3,1,-3,21,69,96,0.0,1021,1,2,175,12,97301
2009-01-03 06:00:00,2,0,0.1,3.4,1,45,12:06 PM,12:20 AM,08:50 AM,05:44 PM,0,-3,1,-3,20,100,96,0.0,1023,1,10,168,13,97301
2009-01-03 12:00:00,2,0,0.1,3.4,1,45,12:06 PM,12:20 AM,08:50 AM,05:44 PM,2,-1,2,-1,13,100,97,0.1,1024,2,5,175,9,97301
2009-01-03 18:00:00,2,0,0.1,3.4,1,45,12:06 PM,12:20 AM,08:50 AM,05:44 PM,1,-1,1,-1,11,100,98,0.0,1024,1,0,94,5,97301
2009-01-04 00:00:00,4,-2,0.0,6.9,1,52,12:27 PM,01:30 AM,08:50 AM,05:45 PM,-2,-4,-1,-4,13,32,97,0.0,1024,-2,2,100,6,97301
2009-01-04 06:00:00,4,-2,0.0,6.9,1,52,12:27 PM,01:30 AM,08:50 AM,05:45 PM,-4,-6,-2,-6,17,30,91,0.0,1023,-2,10,117,8,97301
2009-01-04 12:00:00,4,-2,0.0,6.9,1,52,12:27 PM,01:30 AM,08:50 AM,05:45 PM,-0,1,4,1,13,47,77,0.0,1018,4,10,166,8,97301
2009-01-04 18:00:00,4,-2,0.0,6.9,1,52,12:27 PM,01:30 AM,08:50 AM,05:45 PM,1,-3,2,-3,43,100,93,0.0,1012,2,10,177,23,97301
2009-01-05 00:00:00,8,6,0.0,3.4,2,60,12:52 PM,02:43 AM,08:50 AM,05:46 PM,6,1,6,1,48,100,99,0.0,1006,6,10,204,28,97301
2009-01-05 06:00:00,8,6,0.0,3.4,2,60,12:52 PM,02:43 AM,08:50 AM,05:46 PM,8,5,8,5,27,100,98,0.9,1008,8,9,248,16,97301
2009-01-05 12:00:00,8,6,0.0,3.4,2,60,12:52 PM,02:43 AM,08:50 AM,05:46 PM,7,5,7,5,20,100,99,0.0,1015,7,0,217,12,97301
2009-01-05 18:00:00,8,6,0.0,3.4,2,60,12:52 PM,02:43 AM,08:50 AM,05:46 PM,6,3,6,3,23,100,98,0.0,1019,6,0,199,12,97301
2009-01-06 00:00:00,10,6,0.0,3.4,2,67,01:23 PM,04:01 AM,08:49 AM,05:47 PM,6,3,6,3,25,100,99,0.0,1018,6,10,187,14,97301
2009-01-06 06:00:00,10,6,0.0,3.4,2,67,01:23 PM,04:01 AM,08:49 AM,05:47 PM,8,6,9,6,38,100,98,0.0,1016,9,10,205,22,97301
2009-01-06 12:00:00,10,6,0.0,3.4,2,67,01:23 PM,04:01 AM,08:49 AM,05:47 PM,9,7,9,7,31,100,98,0.1,1018,9,10,205,18,97301
2009-01-06 18:00:00,10,6,0.0,3.4,2,67,01:23 PM,04:01 AM,08:49 AM,05:47 PM,9,6,9,6,40,100,98,0.0,1019,9,10,200,22,97301
2009-01-07 00:00:00,11,10,0.0,3.4,3,74,02:04 PM,05:20 AM,08:49 AM,05:48 PM,10,7,10,7,38,100,98,0.3,1016,10,2,201,22,97301
2009-01-07 06:00:00,11,10,0.0,3.4,3,74,02:04 PM,05:20 AM,08:49 AM,05:48 PM,10,7,10,7,47,100,98,0.0,1015,10,10,198,28,97301
2009-01-07 12:00:00,11,10,0.0,3.4,3,74,02:04 PM,05:20 AM,08:49 AM,05:48 PM,10,8,11,8,50,100,98,0.0,1014,11,10,204,29,97301
2009-01-07 18:00:00,11,10,0.0,3.4,3,74,02:04 PM,05:20 AM,08:49 AM,05:48 PM,10,7,11,7,53,100,98,0.0,1010,11,10,194,30,97301
2009-01-08 00:00:00,11,4,0.0,3.4,2,82,02:59 PM,06:37 AM,08:49 AM,05:49 PM,10,8,11,8,41,100,97,1.9,1008,11,9,229,26,97301
2009-01-08 06:00:00,11,4,0.0,3.4,2,82,02:59 PM,06:37 AM,08:49 AM,05:49 PM,7,5,8,5,25,100,97,0.5,1014,8,2,255,15,97301
2009-01-08 12:00:00,11,4,0.0,3.4,2,82,02:59 PM,06:37 AM,08:49 AM,05:49 PM,6,4,6,4,24,89,99,0.0,1021,6,10,235,14,97301
2009-01-08 18:00:00,11,4,0.0,3.4,2,82,02:59 PM,06:37 AM,08:49 AM,05:49 PM,4,3,5,3,10,53,96,0.0,1030,4,2,257,6,97301
2009-01-09 00:00:00,5,1,0.0,8.7,1,89,04:09 PM,07:46 AM,08:49 AM,05:50 PM,3,4,4,4,6,48,94,0.0,1033,4,2,170,3,97301
2009-01-09 06:00:00,5,1,0.0,8.7,1,89,04:09 PM,07:46 AM,08:49 AM,05:50 PM,1,0,2,0,11,23,94,0.0,1037,2,10,122,6,97301
2009-01-09 12:00:00,5,1,0.0,8.7,1,89,04:09 PM,07:46 AM,08:49 AM,05:50 PM,4,5,6,5,6,56,87,0.0,1035,5,10,68,4,97301
2009-01-09 18:00:00,5,1,0.0,8.7,1,89,04:09 PM,07:46 AM,08:49 AM,05:50 PM,-0,-0,1,-0,12,24,90,0.0,1036,1,10,99,6,97301
2009-01-10 00:00:00,8,0,0.0,6.9,2,96,05:30 PM,08:41 AM,08:48 AM,05:51 PM,-3,-1,1,-1,14,22,77,0.0,1036,0,10,117,6,97301
2009-01-10 06:00:00,8,0,0.0,6.9,2,96,05:30 PM,08:41 AM,08:48 AM,05:51 PM,-3,-2,1,-2,22,46,74,0.0,1036,1,10,150,10,97301
2009-01-10 12:00:00,8,0,0.0,6.9,2,96,05:30 PM,08:41 AM,08:48 AM,05:51 PM,2,7,8,7,14,47,63,0.0,1035,8,10,185,8,97301
2009-01-10 18:00:00,8,0,0.0,6.9,2,96,05:30 PM,08:41 AM,08:48 AM,05:51 PM,1,3,6,3,26,44,72,0.0,1036,6,10,184,12,97301
2009-01-11 00:00:00,8,5,0.0,3.4,2,100,06:54 PM,09:23 AM,08:48 AM,05:52 PM,3,2,5,2,28,100,85,0.0,1037,5,10,182,14,97301
2009-01-11 06:00:00,8,5,0.0,3.4,2,100,06:54 PM,09:23 AM,08:48 AM,05:52 PM,5,3,6,3,19,100,95,0.0,1038,6,2,175,11,97301
2009-01-11 12:00:00,8,5,0.0,3.4,2,100,06:54 PM,09:23 AM,08:48 AM,05:52 PM,7,6,8,6,12,100,96,0.0,1038,7,2,188,8,97301
2009-01-11 18:00:00,8,5,0.0,3.4,2,100,06:54 PM,09:23 AM,08:48 AM,05:52 PM,7,6,8,6,13,100,98,0.0,1039,8,0,164,7,97301
