date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,0,0,0.0,9.8,2,31,11:21 AM,11:13 PM,08:25 AM,06:02 PM,5,5,6,5,12,4,91,0.0,1022,4,10,41,6,94102
2009-01-01 06:00:00,0,0,0.0,9.8,2,31,11:21 AM,11:13 PM,08:25 AM,06:02 PM,3,3,4,3,12,9,88,0.0,1022,4,10,48,6,94102
2009-01-01 12:00:00,0,0,0.0,9.8,2,31,11:21 AM,11:13 PM,08:25 AM,06:02 PM,1,12,12,12,8,18,46,0.0,1021,12,10,45,7,94102
2009-01-01 18:00:00,0,0,0.0,9.8,2,31,11:21 AM,11:13 PM,08:25 AM,06:02 PM,3,7,7,7,2,27,76,0.0,1018,6,10,342,1,94102
2009-01-02 00:00:00,0,0,0.0,8.2,3,38,11:45 AM,No moonset,08:25 AM,06:03 PM,4,6,6,6,5,26,90,0.0,1018,5,10,117,3,94102
2009-01-02 06:00:00,0,0,0.0,8.2,3,38,11:45 AM,No moonset,08:25 AM,06:03 PM,7,5,8,5,28,100,95,0.4,1015,8,2,161,14,94102
2009-01-02 12:00:00,0,0,0.0,8.2,3,38,11:45 AM,No moonset,08:25 AM,06:03 PM,10,9,11,9,25,100,94,0.0,1013,11,10,261,15,94102
2009-01-02 18:00:00,0,0,0.0,8.2,3,38,11:45 AM,No moonset,08:25 AM,06:03 PM,5,5,8,5,28,0,81,0.0,1016,8,10,306,15,94102
2009-01-03 00:00:00,0,0,0.0,9.8,3,45,12:09 PM,12:15 AM,08:25 AM,06:04 PM,3,3,6,3,24,3,83,0.0,1017,6,10,336,13,94102
2009-01-03 06:00:00,0,0,0.0,9.8,3,45,12:09 PM,12:15 AM,08:25 AM,06:04 PM,1,1,3,1,19,18,84,0.0,1017,3,10,347,9,94102
2009-01-03 12:00:00,0,0,0.0,9.8,3,45,12:09 PM,12:15 AM,08:25 AM,06:04 PM,-1,8,10,8,17,32,46,0.0,1017,10,10,357,14,94102
