date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,1,-7,0.0,9.0,2,31,11:41 AM,11:24 PM,09:00 AM,06:01 PM,-11,-17,-7,-17,68,6,76,0.0,1011,-7,10,172,38,57104
2009-01-01 06:00:00,1,-7,0.0,9.0,2,31,11:41 AM,11:24 PM,09:00 AM,06:01 PM,-7,-10,-6,-10,20,62,88,0.0,1008,-6,10,176,10,57104
2009-01-01 12:00:00,1,-7,0.0,9.0,2,31,11:41 AM,11:24 PM,09:00 AM,06:01 PM,-3,-6,0,-6,38,14,79,0.0,1010,0,10,286,26,57104
2009-01-01 18:00:00,1,-7,0.0,9.0,2,31,11:41 AM,11:24 PM,09:00 AM,06:01 PM,-5,-10,-3,-10,44,5,88,0.0,1011,-3,10,284,22,57104
2009-01-02 00:00:00,-5,-10,0.0,9.0,2,38,12:01 PM,No moonset,09:00 AM,06:02 PM,-10,-16,-8,-16,37,21,83,0.0,1015,-8,10,330,24,57104
2009-01-02 06:00:00,-5,-10,0.0,9.0,2,38,12:01 PM,No moonset,09:00 AM,06:02 PM,-14,-16,-10,-16,15,31,74,0.0,1016,-10,10,39,11,57104
2009-01-02 12:00:00,-5,-10,0.0,9.0,2,38,12:01 PM,No moonset,09:00 AM,06:02 PM,-11,-13,-7,-13,17,12,73,0.0,1015,-7,10,109,15,57104
2009-01-02 18:00:00,-5,-10,0.0,9.0,2,38,12:01 PM,No moonset,09:00 AM,06:02 PM,-9,-16,-7,-16,57,12,87,0.0,1009,-7,10,120,35,57104
2009-01-03 00:00:00,-3,-10,0.0,4.5,2,45,12:20 PM,12:29 AM,09:00 AM,06:03 PM,-5,-13,-4,-13,61,60,94,0.0,1006,-4,10,136,36,57104
2009-01-03 06:00:00,-3,-10,0.0,4.5,2,45,12:20 PM,12:29 AM,09:00 AM,06:03 PM,-4,-10,-4,-10,30,98,95,0.0,1005,-4,10,132,19,57104
2009-01-03 12:00:00,-3,-10,0.0,4.5,2,45,12:20 PM,12:29 AM,09:00 AM,06:03 PM,-3,-7,-3,-7,15,100,94,0.0,1010,-3,2,315,11,57104
2009-01-03 18:00:00,-3,-10,0.0,4.5,2,45,12:20 PM,12:29 AM,09:00 AM,06:03 PM,-11,-19,-9,-19,45,100,86,0.0,1018,-9,10,326,36,57104
2009-01-04 00:00:00,-8,-16,0.0,9.0,1,52,12:42 PM,01:38 AM,09:00 AM,06:04 PM,-15,-24,-13,-24,46,100,83,0.0,1026,-13,10,314,35,57104
2009-01-04 06:00:00,-8,-16,0.0,9.0,1,52,12:42 PM,01:38 AM,09:00 AM,06:04 PM,-19,-27,-16,-27,36,19,80,0.0,1032,-16,10,306,26,57104
2009-01-04 12:00:00,-8,-16,0.0,9.0,1,52,12:42 PM,01:38 AM,09:00 AM,06:04 PM,-15,-19,-11,-19,22,0,69,0.0,1032,-11,10,273,19,57104
2009-01-04 18:00:00,-8,-16,0.0,9.0,1,52,12:42 PM,01:38 AM,09:00 AM,06:04 PM,-13,-18,-11,-18,30,0,81,0.0,1030,-11,10,242,15,57104
2009-01-05 00:00:00,-2,-11,0.0,9.1,2,60,01:08 PM,02:50 AM,09:00 AM,06:05 PM,-13,-17,-11,-17,26,0,81,0.0,1026,-11,10,223,12,57104
2009-01-05 06:00:00,-2,-11,0.0,9.1,2,60,01:08 PM,02:50 AM,09:00 AM,06:05 PM,-13,-18,-10,-18,36,0,83,0.0,1021,-10,10,243,17,57104
2009-01-05 12:00:00,-2,-11,0.0,9.1,2,60,01:08 PM,02:50 AM,09:00 AM,06:05 PM,-7,-10,-3,-10,45,9,71,0.0,1012,-3,10,201,30,57104
2009-01-05 18:00:00,-2,-11,0.0,9.1,2,60,01:08 PM,02:50 AM,09:00 AM,06:05 PM,-8,-12,-5,-12,44,40,79,0.0,1006,-5,10,181,21,57104
2009-01-06 00:00:00,-1,-7,0.0,9.1,2,67,01:41 PM,04:05 AM,09:00 AM,06:06 PM,-8,-14,-5,-14,63,4,79,0.0,1003,-5,10,180,33,57104
2009-01-06 06:00:00,-1,-7,0.0,9.1,2,67,01:41 PM,04:05 AM,09:00 AM,06:06 PM,-8,-14,-7,-14,31,19,91,0.0,1002,-7,10,224,16,57104
2009-01-06 12:00:00,-1,-7,0.0,9.1,2,67,01:41 PM,04:05 AM,09:00 AM,06:06 PM,-5,-8,-3,-8,25,20,80,0.0,1001,-3,10,283,18,57104
2009-01-06 18:00:00,-1,-7,0.0,9.1,2,67,01:41 PM,04:05 AM,09:00 AM,06:06 PM,-5,-11,-4,-11,37,64,95,0.0,1003,-4,10,306,20,57104
2009-01-07 00:00:00,-7,-12,0.0,8.1,1,74,02:22 PM,05:24 AM,09:00 AM,06:07 PM,-8,-15,-7,-15,44,71,88,0.0,1004,-7,10,316,30,57104
2009-01-07 06:00:00,-7,-12,0.0,8.1,1,74,02:22 PM,05:24 AM,09:00 AM,06:07 PM,-11,-18,-9,-18,37,79,86,0.0,1005,-9,10,318,27,57104
2009-01-07 12:00:00,-7,-12,0.0,8.1,1,74,02:22 PM,05:24 AM,09:00 AM,06:07 PM,-11,-17,-9,-17,32,71,80,0.0,1005,-9,10,312,27,57104
2009-01-07 18:00:00,-7,-12,0.0,8.1,1,74,02:22 PM,05:24 AM,09:00 AM,06:07 PM,-13,-18,-11,-18,24,23,87,0.0,1010,-11,10,315,16,57104
2009-01-08 00:00:00,-7,-15,0.6,8.1,2,82,03:17 PM,06:40 AM,09:00 AM,06:08 PM,-15,-20,-13,-20,17,10,88,0.0,1015,-13,10,325,12,57104
2009-01-08 06:00:00,-7,-15,0.6,8.1,2,82,03:17 PM,06:40 AM,09:00 AM,06:08 PM,-17,-21,-15,-21,16,16,83,0.0,1017,-15,10,326,10,57104
2009-01-08 12:00:00,-7,-15,0.6,8.1,2,82,03:17 PM,06:40 AM,09:00 AM,06:08 PM,-13,-13,-10,-13,7,44,75,0.0,1017,-10,10,122,6,57104
2009-01-08 18:00:00,-7,-15,0.6,8.1,2,82,03:17 PM,06:40 AM,09:00 AM,06:08 PM,-10,-15,-8,-15,28,100,88,0.0,1012,-8,10,139,18,57104
2009-01-09 00:00:00,-5,-8,2.4,4.8,1,89,04:25 PM,07:50 AM,08:59 AM,06:09 PM,-7,-13,-6,-13,36,80,93,0.0,1008,-6,10,124,23,57104
2009-01-09 06:00:00,-5,-8,2.4,4.8,1,89,04:25 PM,07:50 AM,08:59 AM,06:09 PM,-7,-11,-6,-11,21,87,94,0.0,1010,-6,10,78,14,57104
2009-01-09 12:00:00,-5,-8,2.4,4.8,1,89,04:25 PM,07:50 AM,08:59 AM,06:09 PM,-7,-11,-6,-11,17,100,93,0.0,1018,-6,10,356,13,57104
2009-01-09 18:00:00,-5,-8,2.4,4.8,1,89,04:25 PM,07:50 AM,08:59 AM,06:09 PM,-10,-16,-8,-16,28,100,90,0.0,1025,-8,10,7,21,57104
2009-01-10 00:00:00,-7,-12,0.2,9.5,1,96,05:44 PM,08:46 AM,08:59 AM,06:10 PM,-10,-16,-8,-16,28,100,88,0.0,1031,-8,10,359,21,57104
2009-01-10 06:00:00,-7,-12,0.2,9.5,1,96,05:44 PM,08:46 AM,08:59 AM,06:10 PM,-13,-19,-12,-19,23,24,90,0.0,1031,-12,10,313,15,57104
2009-01-10 12:00:00,-7,-12,0.2,9.5,1,96,05:44 PM,08:46 AM,08:59 AM,06:10 PM,-12,-14,-8,-14,18,2,74,0.0,1028,-8,10,228,14,57104
2009-01-10 18:00:00,-7,-12,0.2,9.5,1,96,05:44 PM,08:46 AM,08:59 AM,06:10 PM,-9,-15,-8,-15,36,53,89,0.0,1023,-8,10,209,19,57104
2009-01-11 00:00:00,-2,-10,0.1,6.5,1,100,07:07 PM,09:31 AM,08:59 AM,06:12 PM,-4,-10,-4,-10,31,100,97,0.0,1020,-4,10,290,18,57104
2009-01-11 06:00:00,-2,-10,0.1,6.5,1,100,07:07 PM,09:31 AM,08:59 AM,06:12 PM,-3,-9,-2,-9,35,96,95,0.0,1022,-2,10,315,22,57104
2009-01-11 12:00:00,-2,-10,0.1,6.5,1,100,07:07 PM,09:31 AM,08:59 AM,06:12 PM,-5,-9,-3,-9,25,100,92,0.0,1025,-3,10,327,19,57104
2009-01-11 18:00:00,-2,-10,0.1,6.5,1,100,07:07 PM,09:31 AM,08:59 AM,06:12 PM,-10,-13,-10,-13,11,35,97,0.0,1024,-10,2,294,5,57104
2009-01-12 00:00:00,0,-17,0.8,6.5,1,89,08:29 PM,10:05 AM,08:58 AM,06:13 PM,-7,-13,-7,-13,34,66,97,0.0,1018,-7,10,166,17,57104
2009-01-12 06:00:00,0,-17,0.8,6.5,1,89,08:29 PM,10:05 AM,08:58 AM,06:13 PM,-3,-9,-3,-9,35,100,97,0.0,1012,-3,10,216,21,57104
2009-01-12 12:00:00,0,-17,0.8,6.5,1,89,08:29 PM,10:05 AM,08:58 AM,06:13 PM,-5,-13,-4,-13,54,100,94,0.0,1018,-4,10,354,39,57104
2009-01-12 18:00:00,0,-17,0.8,6.5,1,89,08:29 PM,10:05 AM,08:58 AM,06:13 PM,-15,-26,-14,-26,61,29,90,0.0,1033,-14,10,341,43,57104
2009-01-13 00:00:00,-12,-21,1.6,8.2,2,82,09:48 PM,10:33 AM,08:58 AM,06:14 PM,-21,-29,-19,-29,25,11,90,0.0,1036,-19,10,326,17,57104
2009-01-13 06:00:00,-12,-21,1.6,8.2,2,82,09:48 PM,10:33 AM,08:58 AM,06:14 PM,-23,-21,-21,-21,4,47,89,0.0,1033,-21,10,227,3,57104
2009-01-13 12:00:00,-12,-21,1.6,8.2,2,82,09:48 PM,10:33 AM,08:58 AM,06:14 PM,-18,-26,-16,-26,28,36,88,0.0,1026,-16,10,149,22,57104
2009-01-13 18:00:00,-12,-21,1.6,8.2,2,82,09:48 PM,10:33 AM,08:58 AM,06:14 PM,-14,-24,-14,-24,38,100,95,0.0,1015,-14,10,150,27,57104
2009-01-14 00:00:00,-14,-25,0.0,6.5,1,75,11:01 PM,10:56 AM,08:57 AM,06:15 PM,-15,-23,-14,-23,32,100,95,0.0,1017,-14,10,37,22,57104
2009-01-14 06:00:00,-14,-25,0.0,6.5,1,75,11:01 PM,10:56 AM,08:57 AM,06:15 PM,-20,-31,-19,-31,39,100,92,0.0,1031,-19,10,2,28,57104
2009-01-14 12:00:00,-14,-25,0.0,6.5,1,75,11:01 PM,10:56 AM,08:57 AM,06:15 PM,-20,-31,-19,-31,32,100,92,0.0,1040,-19,10,336,26,57104
2009-01-14 18:00:00,-14,-25,0.0,6.5,1,75,11:01 PM,10:56 AM,08:57 AM,06:15 PM,-24,-35,-23,-35,36,23,94,0.0,1044,-23,10,321,22,57104
2009-01-15 00:00:00,-20,-29,0.0,9.6,2,68,No moonrise,11:18 AM,08:57 AM,06:16 PM,-27,-36,-26,-36,29,0,93,0.0,1047,-26,10,314,15,57104
2009-01-15 06:00:00,-20,-29,0.0,9.6,2,68,No moonrise,11:18 AM,08:57 AM,06:16 PM,-30,-39,-29,-39,26,0,89,0.0,1049,-29,10,337,13,57104
2009-01-15 12:00:00,-20,-29,0.0,9.6,2,68,No moonrise,11:18 AM,08:57 AM,06:16 PM,-23,-31,-22,-31,19,0,89,0.0,1048,-22,10,285,14,57104
