date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,1,-3,2.6,3.3,1,31,11:09 AM,10:48 PM,08:38 AM,05:09 PM,-3,-7,-3,-7,21,100,99,0.1,1018,-3,5,195,12,99201
2009-01-01 06:00:00,1,-3,2.6,3.3,1,31,11:09 AM,10:48 PM,08:38 AM,05:09 PM,-1,-5,-1,-5,23,100,98,1.4,1010,-1,2,181,15,99201
2009-01-01 12:00:00,1,-3,2.6,3.3,1,31,11:09 AM,10:48 PM,08:38 AM,05:09 PM,0,-5,0,-5,34,100,100,1.2,1000,0,2,201,20,99201
2009-01-01 18:00:00,1,-3,2.6,3.3,1,31,11:09 AM,10:48 PM,08:38 AM,05:09 PM,0,-4,0,-4,28,100,100,0.4,1001,0,2,223,15,99201
2009-01-02 00:00:00,0,-22,3.3,8.7,1,38,11:25 AM,11:58 PM,08:38 AM,05:10 PM,0,-2,1,-2,13,100,100,1.9,994,0,2,43,7,99201
2009-01-02 06:00:00,0,-22,3.3,8.7,1,38,11:25 AM,11:58 PM,08:38 AM,05:10 PM,-2,-6,-1,-6,23,100,98,2.0,993,-1,2,300,15,99201
2009-01-02 12:00:00,0,-22,3.3,8.7,1,38,11:25 AM,11:58 PM,08:38 AM,05:10 PM,-4,-9,-4,-9,22,37,97,0.0,1006,-4,10,283,15,99201
2009-01-02 18:00:00,0,-22,3.3,8.7,1,38,11:25 AM,11:58 PM,08:38 AM,05:10 PM,-16,-21,-16,-21,15,19,99,0.0,1016,-16,0,322,7,99201
2009-01-03 00:00:00,-8,-28,0.1,5.1,1,45,11:41 AM,No moonset,08:38 AM,05:11 PM,-22,-26,-22,-26,11,0,100,0.0,1023,-24,0,57,5,99201
2009-01-03 06:00:00,-8,-28,0.1,5.1,1,45,11:41 AM,No moonset,08:38 AM,05:11 PM,-26,-30,-26,-30,8,31,100,0.0,1027,-27,0,68,4,99201
2009-01-03 12:00:00,-8,-28,0.1,5.1,1,45,11:41 AM,No moonset,08:38 AM,05:11 PM,-9,-13,-9,-13,12,79,98,0.1,1029,-9,10,80,8,99201
2009-01-03 18:00:00,-8,-28,0.1,5.1,1,45,11:41 AM,No moonset,08:38 AM,05:11 PM,-15,-20,-15,-20,15,87,100,0.0,1030,-15,0,110,7,99201
2009-01-04 00:00:00,-4,-7,0.2,8.7,1,52,12:00 PM,01:10 AM,08:38 AM,05:12 PM,-7,-10,-7,-10,10,98,99,0.1,1030,-7,5,129,6,99201
2009-01-04 06:00:00,-4,-7,0.2,8.7,1,52,12:00 PM,01:10 AM,08:38 AM,05:12 PM,-6,-10,-6,-10,15,89,99,0.1,1029,-6,5,158,9,99201
2009-01-04 12:00:00,-4,-7,0.2,8.7,1,52,12:00 PM,01:10 AM,08:38 AM,05:12 PM,-5,-11,-5,-11,22,41,97,0.0,1024,-5,10,143,14,99201
2009-01-04 18:00:00,-4,-7,0.2,8.7,1,52,12:00 PM,01:10 AM,08:38 AM,05:12 PM,-6,-12,-6,-12,29,58,97,0.0,1018,-6,10,147,16,99201
2009-01-05 00:00:00,-0,-6,4.8,3.3,1,60,12:22 PM,02:26 AM,08:38 AM,05:13 PM,-5,-11,-5,-11,28,100,98,3.9,1009,-5,2,150,18,99201
2009-01-05 06:00:00,-0,-6,4.8,3.3,1,60,12:22 PM,02:26 AM,08:38 AM,05:13 PM,-3,-7,-3,-7,18,100,99,1.1,1006,-3,2,175,12,99201
2009-01-05 12:00:00,-0,-6,4.8,3.3,1,60,12:22 PM,02:26 AM,08:38 AM,05:13 PM,-0,-4,-0,-4,16,99,99,0.3,1008,-0,2,263,11,99201
2009-01-05 18:00:00,-0,-6,4.8,3.3,1,60,12:22 PM,02:26 AM,08:38 AM,05:13 PM,-6,-9,-6,-9,13,100,99,0.3,1014,-6,2,231,6,99201
2009-01-06 00:00:00,2,-1,3.2,3.3,1,67,12:50 PM,03:47 AM,08:37 AM,05:15 PM,-1,-5,-1,-5,17,100,99,0.7,1015,-1,2,232,10,99201
2009-01-06 06:00:00,2,-1,3.2,3.3,1,67,12:50 PM,03:47 AM,08:37 AM,05:15 PM,-0,-4,0,-4,22,100,100,0.5,1013,-0,2,214,14,99201
2009-01-06 12:00:00,2,-1,3.2,3.3,1,67,12:50 PM,03:47 AM,08:37 AM,05:15 PM,0,-4,0,-4,26,100,100,2.7,1010,0,2,189,15,99201
2009-01-06 18:00:00,2,-1,3.2,3.3,1,67,12:50 PM,03:47 AM,08:37 AM,05:15 PM,1,-5,1,-5,52,100,100,1.1,1006,1,9,213,26,99201
2009-01-07 00:00:00,2,1,0.0,3.3,1,74,01:29 PM,05:09 AM,08:37 AM,05:16 PM,1,-5,1,-5,66,100,100,2.9,1005,1,7,216,31,99201
2009-01-07 06:00:00,2,1,0.0,3.3,1,74,01:29 PM,05:09 AM,08:37 AM,05:16 PM,1,-4,1,-4,51,100,100,2.0,1007,1,9,211,24,99201
2009-01-07 12:00:00,2,1,0.0,3.3,1,74,01:29 PM,05:09 AM,08:37 AM,05:16 PM,2,-3,2,-3,51,100,100,1.2,1008,2,9,214,24,99201
2009-01-07 18:00:00,2,1,0.0,3.3,1,74,01:29 PM,05:09 AM,08:37 AM,05:16 PM,1,-4,1,-4,48,100,100,1.7,1008,1,9,208,23,99201
2009-01-08 00:00:00,5,2,0.0,5.1,1,82,02:22 PM,06:28 AM,08:37 AM,05:17 PM,2,-4,2,-4,57,100,100,2.4,1004,2,9,205,27,99201
2009-01-08 06:00:00,5,2,0.0,5.1,1,82,02:22 PM,06:28 AM,08:37 AM,05:17 PM,4,-1,4,-1,55,100,100,1.5,1002,4,9,235,29,99201
2009-01-08 12:00:00,5,2,0.0,5.1,1,82,02:22 PM,06:28 AM,08:37 AM,05:17 PM,4,1,5,1,44,35,91,0.0,1009,5,10,246,29,99201
2009-01-08 18:00:00,5,2,0.0,5.1,1,82,02:22 PM,06:28 AM,08:37 AM,05:17 PM,1,-3,2,-3,35,100,100,1.5,1015,2,9,247,18,99201
