date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,5,-5,0.0,8.7,2,31,11:11 AM,10:58 PM,08:19 AM,05:51 PM,-17,-11,-5,-11,25,6,39,0.0,1028,-5,10,121,15,63103
2009-01-01 06:00:00,5,-5,0.0,8.7,2,31,11:11 AM,10:58 PM,08:19 AM,05:51 PM,-16,-11,-5,-11,23,4,43,0.0,1023,-5,10,132,15,63103
2009-01-01 12:00:00,5,-5,0.0,8.7,2,31,11:11 AM,10:58 PM,08:19 AM,05:51 PM,-13,-2,3,-2,29,5,31,0.0,1017,3,10,199,23,63103
2009-01-01 18:00:00,5,-5,0.0,8.7,2,31,11:11 AM,10:58 PM,08:19 AM,05:51 PM,-6,-3,1,-3,25,40,59,0.0,1013,1,10,181,12,63103
2009-01-02 00:00:00,7,-2,0.0,8.7,2,38,11:34 AM,No moonset,08:19 AM,05:52 PM,-3,-5,0,-5,36,9,77,0.0,1013,0,10,263,17,63103
2009-01-02 06:00:00,7,-2,0.0,8.7,2,38,11:34 AM,No moonset,08:19 AM,05:52 PM,-2,-3,-1,-3,11,8,92,0.0,1015,-2,10,261,5,63103
2009-01-02 12:00:00,7,-2,0.0,8.7,2,38,11:34 AM,No moonset,08:19 AM,05:52 PM,-2,6,7,6,5,13,54,0.0,1015,6,10,135,5,63103
2009-01-02 18:00:00,7,-2,0.0,8.7,2,38,11:34 AM,No moonset,08:19 AM,05:52 PM,-0,-1,2,-1,20,9,85,0.0,1014,2,10,95,10,63103
2009-01-03 00:00:00,15,1,0.0,3.5,3,45,11:58 AM,12:01 AM,08:19 AM,05:52 PM,-1,-4,1,-4,35,8,91,0.0,1014,1,10,143,17,63103
2009-01-03 06:00:00,15,1,0.0,3.5,3,45,11:58 AM,12:01 AM,08:19 AM,05:52 PM,4,0,4,0,33,68,97,0.0,1011,4,10,133,18,63103
2009-01-03 12:00:00,15,1,0.0,3.5,3,45,11:58 AM,12:01 AM,08:19 AM,05:52 PM,8,6,8,6,25,100,96,0.0,1009,8,10,123,15,63103
2009-01-03 18:00:00,15,1,0.0,3.5,3,45,11:58 AM,12:01 AM,08:19 AM,05:52 PM,12,11,13,11,41,91,98,0.0,1006,13,10,120,22,63103
2009-01-04 00:00:00,16,-3,0.0,5.2,1,52,12:23 PM,01:05 AM,08:19 AM,05:53 PM,15,16,16,16,31,94,96,0.0,1008,16,10,204,16,63103
