date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,-2,-11,0.1,3.3,2,31,11:28 AM,11:08 PM,08:51 AM,05:42 PM,-12,-18,-11,-18,25,48,93,0.0,1019,-11,10,167,14,55102
2009-01-01 06:00:00,-2,-11,0.1,3.3,2,31,11:28 AM,11:08 PM,08:51 AM,05:42 PM,-10,-16,-8,-16,33,76,90,0.0,1011,-8,10,187,20,55102
2009-01-01 12:00:00,-2,-11,0.1,3.3,2,31,11:28 AM,11:08 PM,08:51 AM,05:42 PM,-5,-9,-4,-9,18,100,94,0.0,1007,-4,10,228,13,55102
2009-01-01 18:00:00,-2,-11,0.1,3.3,2,31,11:28 AM,11:08 PM,08:51 AM,05:42 PM,-6,-10,-5,-10,27,22,94,0.0,1006,-5,10,282,14,55102
2009-01-02 00:00:00,-11,-16,0.0,6.9,1,38,11:46 AM,No moonset,08:51 AM,05:43 PM,-12,-20,-11,-20,36,87,92,0.0,1010,-11,10,297,23,55102
2009-01-02 06:00:00,-11,-16,0.0,6.9,1,38,11:46 AM,No moonset,08:51 AM,05:43 PM,-17,-24,-16,-24,22,83,91,0.0,1016,-16,10,305,16,55102
2009-01-02 12:00:00,-11,-16,0.0,6.9,1,38,11:46 AM,No moonset,08:51 AM,05:43 PM,-14,-16,-12,-16,6,57,90,0.0,1018,-13,10,316,5,55102
2009-01-02 18:00:00,-11,-16,0.0,6.9,1,38,11:46 AM,No moonset,08:51 AM,05:43 PM,-14,-18,-13,-18,14,23,96,0.0,1017,-13,2,105,9,55102
2009-01-03 00:00:00,-5,-12,2.8,3.4,2,45,12:05 PM,12:15 AM,08:50 AM,05:44 PM,-13,-19,-12,-19,22,34,93,0.0,1018,-12,10,102,14,55102
2009-01-03 06:00:00,-5,-12,2.8,3.4,2,45,12:05 PM,12:15 AM,08:50 AM,05:44 PM,-12,-20,-11,-20,45,49,90,0.0,1016,-11,10,113,28,55102
2009-01-03 12:00:00,-5,-12,2.8,3.4,2,45,12:05 PM,12:15 AM,08:50 AM,05:44 PM,-7,-14,-6,-14,37,98,92,0.0,1013,-6,10,112,24,55102
2009-01-03 18:00:00,-5,-12,2.8,3.4,2,45,12:05 PM,12:15 AM,08:50 AM,05:44 PM,-5,-9,-5,-9,15,100,96,0.0,1013,-5,2,73,10,55102
2009-01-04 00:00:00,-6,-17,0.0,6.9,1,52,12:26 PM,01:25 AM,08:50 AM,05:45 PM,-6,-12,-6,-12,23,100,98,0.0,1016,-6,10,289,15,55102
2009-01-04 06:00:00,-6,-17,0.0,6.9,1,52,12:26 PM,01:25 AM,08:50 AM,05:45 PM,-15,-24,-14,-24,34,100,93,0.0,1023,-14,10,300,24,55102
2009-01-04 12:00:00,-6,-17,0.0,6.9,1,52,12:26 PM,01:25 AM,08:50 AM,05:45 PM,-15,-22,-14,-22,20,54,93,0.0,1028,-14,10,288,16,55102
2009-01-04 18:00:00,-6,-17,0.0,6.9,1,52,12:26 PM,01:25 AM,08:50 AM,05:45 PM,-18,-25,-17,-25,24,0,90,0.0,1029,-17,10,265,15,55102
2009-01-05 00:00:00,-5,-15,0.0,6.9,1,60,12:50 PM,02:37 AM,08:50 AM,05:46 PM,-15,-21,-15,-21,18,5,97,0.0,1027,-15,2,245,10,55102
2009-01-05 06:00:00,-5,-15,0.0,6.9,1,60,12:50 PM,02:37 AM,08:50 AM,05:46 PM,-15,-19,-15,-19,13,6,95,0.0,1022,-15,2,248,6,55102
2009-01-05 12:00:00,-5,-15,0.0,6.9,1,60,12:50 PM,02:37 AM,08:50 AM,05:46 PM,-7,-10,-6,-10,12,30,92,0.0,1015,-6,10,239,9,55102
2009-01-05 18:00:00,-5,-15,0.0,6.9,1,60,12:50 PM,02:37 AM,08:50 AM,05:46 PM,-8,-13,-7,-13,25,6,96,0.0,1011,-7,2,167,12,55102
2009-01-06 00:00:00,-5,-10,0.0,5.1,2,67,01:21 PM,03:55 AM,08:50 AM,05:47 PM,-9,-15,-8,-15,36,4,93,0.0,1009,-8,10,171,18,55102
2009-01-06 06:00:00,-5,-10,0.0,5.1,2,67,01:21 PM,03:55 AM,08:50 AM,05:47 PM,-11,-16,-10,-16,29,10,93,0.0,1004,-10,10,166,14,55102
2009-01-06 12:00:00,-5,-10,0.0,5.1,2,67,01:21 PM,03:55 AM,08:50 AM,05:47 PM,-6,-10,-5,-10,16,27,90,0.0,1001,-5,10,178,12,55102
2009-01-06 18:00:00,-5,-10,0.0,5.1,2,67,01:21 PM,03:55 AM,08:50 AM,05:47 PM,-6,-10,-6,-10,15,89,99,0.0,1001,-6,0,182,8,55102
2009-01-07 00:00:00,-8,-12,0.1,3.4,1,74,02:01 PM,05:14 AM,08:50 AM,05:48 PM,-8,-10,-8,-10,6,100,97,0.0,999,-8,2,268,4,55102
2009-01-07 06:00:00,-8,-12,0.1,3.4,1,74,02:01 PM,05:14 AM,08:50 AM,05:48 PM,-12,-17,-11,-17,18,100,94,0.0,999,-11,10,297,13,55102
2009-01-07 12:00:00,-8,-12,0.1,3.4,1,74,02:01 PM,05:14 AM,08:50 AM,05:48 PM,-11,-17,-10,-17,17,100,93,0.0,1000,-10,10,301,14,55102
2009-01-07 18:00:00,-8,-12,0.1,3.4,1,74,02:01 PM,05:14 AM,08:50 AM,05:48 PM,-13,-19,-12,-19,24,100,90,0.0,1004,-12,10,301,17,55102
2009-01-08 00:00:00,-11,-16,0.0,5.2,1,82,02:55 PM,06:32 AM,08:50 AM,05:50 PM,-13,-19,-12,-19,24,100,93,0.0,1009,-12,10,314,17,55102
2009-01-08 06:00:00,-11,-16,0.0,5.2,1,82,02:55 PM,06:32 AM,08:50 AM,05:50 PM,-17,-24,-16,-24,21,88,92,0.0,1014,-16,10,336,13,55102
2009-01-08 12:00:00,-11,-16,0.0,5.2,1,82,02:55 PM,06:32 AM,08:50 AM,05:50 PM,-13,-16,-12,-16,7,66,91,0.0,1018,-12,10,311,6,55102
2009-01-08 18:00:00,-11,-16,0.0,5.2,1,82,02:55 PM,06:32 AM,08:50 AM,05:50 PM,-14,-18,-14,-18,12,43,96,0.0,1017,-14,2,114,6,55102
2009-01-09 00:00:00,-9,-12,0.3,3.4,1,89,04:03 PM,07:41 AM,08:49 AM,05:51 PM,-12,-16,-12,-16,11,100,97,0.0,1017,-12,0,120,7,55102
2009-01-09 06:00:00,-9,-12,0.3,3.4,1,89,04:03 PM,07:41 AM,08:49 AM,05:51 PM,-12,-19,-12,-19,24,100,95,0.0,1017,-11,10,102,16,55102
2009-01-09 12:00:00,-9,-12,0.3,3.4,1,89,04:03 PM,07:41 AM,08:49 AM,05:51 PM,-10,-15,-9,-15,14,77,94,0.0,1021,-9,2,73,12,55102
2009-01-09 18:00:00,-9,-12,0.3,3.4,1,89,04:03 PM,07:41 AM,08:49 AM,05:51 PM,-11,-17,-11,-17,20,37,96,0.0,1026,-11,2,17,12,55102
2009-01-10 00:00:00,-9,-15,0.0,8.7,1,96,05:23 PM,08:37 AM,08:49 AM,05:52 PM,-13,-17,-13,-17,13,52,99,0.0,1029,-13,0,34,7,55102
2009-01-10 06:00:00,-9,-15,0.0,8.7,1,96,05:23 PM,08:37 AM,08:49 AM,05:52 PM,-15,-18,-15,-18,8,16,98,0.0,1029,-15,0,27,4,55102
2009-01-10 12:00:00,-9,-15,0.0,8.7,1,96,05:23 PM,08:37 AM,08:49 AM,05:52 PM,-11,-13,-10,-13,6,12,90,0.0,1027,-10,10,299,5,55102
2009-01-10 18:00:00,-9,-15,0.0,8.7,1,96,05:23 PM,08:37 AM,08:49 AM,05:52 PM,-13,-17,-12,-17,14,11,97,0.0,1024,-13,0,233,8,55102
2009-01-11 00:00:00,-7,-11,0.1,3.4,1,100,06:48 PM,09:21 AM,08:49 AM,05:53 PM,-11,-17,-11,-17,18,100,96,0.0,1021,-11,2,195,11,55102
2009-01-11 06:00:00,-7,-11,0.1,3.4,1,100,06:48 PM,09:21 AM,08:49 AM,05:53 PM,-11,-11,-11,-11,3,84,97,0.0,1020,-11,2,248,2,55102
2009-01-11 12:00:00,-7,-11,0.1,3.4,1,100,06:48 PM,09:21 AM,08:49 AM,05:53 PM,-9,-13,-8,-13,14,93,94,0.0,1021,-8,10,313,11,55102
2009-01-11 18:00:00,-7,-11,0.1,3.4,1,100,06:48 PM,09:21 AM,08:49 AM,05:53 PM,-10,-14,-9,-14,12,67,95,0.0,1022,-9,2,284,8,55102
2009-01-12 00:00:00,-9,-15,1.9,3.4,1,89,08:11 PM,09:54 AM,08:48 AM,05:54 PM,-13,-17,-13,-17,11,31,98,0.0,1021,-13,0,216,5,55102
2009-01-12 06:00:00,-9,-15,1.9,3.4,1,89,08:11 PM,09:54 AM,08:48 AM,05:54 PM,-14,-18,-13,-18,14,88,94,0.0,1019,-13,10,137,8,55102
2009-01-12 12:00:00,-9,-15,1.9,3.4,1,89,08:11 PM,09:54 AM,08:48 AM,05:54 PM,-10,-14,-9,-14,15,100,97,0.0,1019,-9,2,56,11,55102
2009-01-12 18:00:00,-9,-15,1.9,3.4,1,89,08:11 PM,09:54 AM,08:48 AM,05:54 PM,-12,-20,-11,-20,34,100,93,0.0,1024,-11,10,347,24,55102
2009-01-13 00:00:00,-18,-25,0.5,5.2,1,82,09:31 PM,10:20 AM,08:48 AM,05:55 PM,-19,-28,-18,-28,32,100,92,0.0,1029,-18,10,339,22,55102
