date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,6,-3,0.0,9.7,2,31,11:34 AM,11:21 PM,08:42 AM,06:11 PM,-13,-10,-3,-10,52,17,44,0.0,1020,-3,10,168,30,66603
2009-01-01 06:00:00,6,-3,0.0,9.7,2,31,11:34 AM,11:21 PM,08:42 AM,06:11 PM,-8,-9,-1,-9,76,0,56,0.0,1014,-1,10,197,45,66603
2009-01-01 12:00:00,6,-3,0.0,9.7,2,31,11:34 AM,11:21 PM,08:42 AM,06:11 PM,-4,2,5,2,20,8,51,0.0,1012,5,10,236,18,66603
2009-01-01 18:00:00,6,-3,0.0,9.7,2,31,11:34 AM,11:21 PM,08:42 AM,06:11 PM,-4,-3,-2,-3,8,8,82,0.0,1013,-2,10,336,4,66603
2009-01-02 00:00:00,8,-2,0.0,9.7,2,38,11:56 AM,No moonset,08:42 AM,06:12 PM,-5,-3,-2,-3,9,5,80,0.0,1013,-2,10,255,4,66603
2009-01-02 06:00:00,8,-2,0.0,9.7,2,38,11:56 AM,No moonset,08:42 AM,06:12 PM,-8,-4,-1,-4,20,4,59,0.0,1013,-1,10,112,9,66603
2009-01-02 12:00:00,8,-2,0.0,9.7,2,38,11:56 AM,No moonset,08:42 AM,06:12 PM,-2,6,8,6,12,32,50,0.0,1012,8,10,151,10,66603
2009-01-02 18:00:00,8,-2,0.0,9.7,2,38,11:56 AM,No moonset,08:42 AM,06:12 PM,2,0,3,0,24,0,90,0.0,1008,3,10,131,12,66603
2009-01-03 00:00:00,12,-2,0.0,8.2,3,45,12:19 PM,12:23 AM,08:42 AM,06:13 PM,2,-1,3,-1,36,33,96,0.0,1006,3,10,142,17,66603
2009-01-03 06:00:00,12,-2,0.0,8.2,3,45,12:19 PM,12:23 AM,08:42 AM,06:13 PM,6,3,6,3,29,98,99,0.0,1001,6,10,154,15,66603
2009-01-03 12:00:00,12,-2,0.0,8.2,3,45,12:19 PM,12:23 AM,08:42 AM,06:13 PM,9,11,12,11,10,42,82,0.0,1001,12,10,194,8,66603
2009-01-03 18:00:00,12,-2,0.0,8.2,3,45,12:19 PM,12:23 AM,08:42 AM,06:13 PM,1,-3,4,-3,49,74,86,0.0,1009,3,10,339,39,66603
2009-01-04 00:00:00,-1,-7,0.0,9.7,2,52,12:45 PM,01:29 AM,08:42 AM,06:14 PM,-9,-12,-4,-12,38,37,69,0.0,1021,-4,10,341,31,66603
2009-01-04 06:00:00,-1,-7,0.0,9.7,2,52,12:45 PM,01:29 AM,08:42 AM,06:14 PM,-16,-16,-8,-16,37,9,50,0.0,1028,-7,10,353,31,66603
2009-01-04 12:00:00,-1,-7,0.0,9.7,2,52,12:45 PM,01:29 AM,08:42 AM,06:14 PM,-19,-8,-3,-8,17,23,28,0.0,1032,-3,10,345,15,66603
2009-01-04 18:00:00,-1,-7,0.0,9.7,2,52,12:45 PM,01:29 AM,08:42 AM,06:14 PM,-19,-8,-5,-8,11,30,32,0.0,1033,-5,10,13,7,66603
2009-01-05 00:00:00,2,-6,0.0,9.7,2,60,01:14 PM,02:36 AM,08:42 AM,06:15 PM,-19,-5,-5,-5,4,48,32,0.0,1032,-5,10,103,3,66603
2009-01-05 06:00:00,2,-6,0.0,9.7,2,60,01:14 PM,02:36 AM,08:42 AM,06:15 PM,-20,-8,-6,-8,8,50,30,0.0,1028,-5,10,196,5,66603
2009-01-05 12:00:00,2,-6,0.0,9.7,2,60,01:14 PM,02:36 AM,08:42 AM,06:15 PM,-20,-3,0,-3,14,16,19,0.0,1021,0,10,183,12,66603
2009-01-05 18:00:00,2,-6,0.0,9.7,2,60,01:14 PM,02:36 AM,08:42 AM,06:15 PM,-16,-7,-3,-7,24,3,35,0.0,1012,-2,10,148,12,66603
2009-01-06 00:00:00,3,-5,0.0,9.7,2,67,01:50 PM,03:49 AM,08:42 AM,06:15 PM,-13,-8,-4,-8,20,6,49,0.0,1008,-4,10,170,10,66603
2009-01-06 06:00:00,3,-5,0.0,9.7,2,67,01:50 PM,03:49 AM,08:42 AM,06:15 PM,-8,-7,-5,-7,12,8,80,0.0,1006,-5,10,224,6,66603
2009-01-06 12:00:00,3,-5,0.0,9.7,2,67,01:50 PM,03:49 AM,08:42 AM,06:15 PM,-10,-2,1,-2,15,49,43,0.0,1004,1,10,263,13,66603
2009-01-06 18:00:00,3,-5,0.0,9.7,2,67,01:50 PM,03:49 AM,08:42 AM,06:15 PM,-9,-4,-1,-4,17,12,54,0.0,1003,-1,10,278,8,66603
2009-01-07 00:00:00,6,-2,0.0,9.7,2,74,02:34 PM,05:03 AM,08:42 AM,06:16 PM,-4,-5,-1,-5,29,17,80,0.0,1003,-0,10,283,14,66603
2009-01-07 06:00:00,6,-2,0.0,9.7,2,74,02:34 PM,05:03 AM,08:42 AM,06:16 PM,-3,-8,-2,-8,31,26,95,0.0,1004,-2,10,298,17,66603
2009-01-07 12:00:00,6,-2,0.0,9.7,2,74,02:34 PM,05:03 AM,08:42 AM,06:16 PM,-6,1,4,1,14,47,50,0.0,1004,4,10,287,12,66603
2009-01-07 18:00:00,6,-2,0.0,9.7,2,74,02:34 PM,05:03 AM,08:42 AM,06:16 PM,-4,-2,-1,-2,7,28,82,0.0,1005,-1,10,315,3,66603
2009-01-08 00:00:00,4,-6,0.0,9.8,2,82,03:31 PM,06:17 AM,08:42 AM,06:17 PM,-8,-8,-3,-8,20,9,68,0.0,1012,-3,10,4,12,66603
2009-01-08 06:00:00,4,-6,0.0,9.8,2,82,03:31 PM,06:17 AM,08:42 AM,06:17 PM,-12,-12,-6,-12,20,8,62,0.0,1017,-6,10,342,13,66603
2009-01-08 12:00:00,4,-6,0.0,9.8,2,82,03:31 PM,06:17 AM,08:42 AM,06:17 PM,-12,-4,-1,-4,10,30,43,0.0,1018,-1,10,148,8,66603
2009-01-08 18:00:00,4,-6,0.0,9.8,2,82,03:31 PM,06:17 AM,08:42 AM,06:17 PM,-5,-4,0,-4,27,7,67,0.0,1014,0,10,168,13,66603
2009-01-09 00:00:00,13,-1,0.0,9.8,3,89,04:39 PM,07:27 AM,08:42 AM,06:18 PM,-2,-4,2,-4,45,3,79,0.0,1010,2,10,180,22,66603
2009-01-09 06:00:00,13,-1,0.0,9.8,3,89,04:39 PM,07:27 AM,08:42 AM,06:18 PM,1,0,5,0,61,5,75,0.0,1008,5,10,213,29,66603
2009-01-09 12:00:00,13,-1,0.0,9.8,3,89,04:39 PM,07:27 AM,08:42 AM,06:18 PM,6,11,12,11,11,3,67,0.0,1007,12,10,207,9,66603
2009-01-09 18:00:00,13,-1,0.0,9.8,3,89,04:39 PM,07:27 AM,08:42 AM,06:18 PM,-1,-4,3,-4,53,45,78,0.0,1014,3,10,350,39,66603
2009-01-10 00:00:00,0,-5,0.0,9.8,1,96,05:56 PM,08:25 AM,08:41 AM,06:19 PM,-6,-10,-3,-10,36,100,75,0.0,1023,-3,10,333,30,66603
2009-01-10 06:00:00,0,-5,0.0,9.8,1,96,05:56 PM,08:25 AM,08:41 AM,06:19 PM,-10,-13,-5,-13,26,100,69,0.0,1026,-5,10,336,23,66603
2009-01-10 12:00:00,0,-5,0.0,9.8,1,96,05:56 PM,08:25 AM,08:41 AM,06:19 PM,-10,-7,-2,-7,17,29,52,0.0,1028,-2,10,325,15,66603
2009-01-10 18:00:00,0,-5,0.0,9.8,1,96,05:56 PM,08:25 AM,08:41 AM,06:19 PM,-10,-6,-3,-6,13,2,58,0.0,1027,-3,10,244,7,66603
2009-01-11 00:00:00,7,-3,0.0,9.8,2,100,07:16 PM,09:13 AM,08:41 AM,06:20 PM,-10,-8,-3,-8,33,17,58,0.0,1025,-3,10,212,16,66603
2009-01-11 06:00:00,7,-3,0.0,9.8,2,100,07:16 PM,09:13 AM,08:41 AM,06:20 PM,-7,-6,-2,-6,26,8,68,0.0,1023,-2,10,312,13,66603
2009-01-11 12:00:00,7,-3,0.0,9.8,2,100,07:16 PM,09:13 AM,08:41 AM,06:20 PM,-2,2,6,2,18,3,57,0.0,1025,6,10,315,15,66603
2009-01-11 18:00:00,7,-3,0.0,9.8,2,100,07:16 PM,09:13 AM,08:41 AM,06:20 PM,-2,-4,-0,-4,20,4,86,0.0,1024,-0,10,325,9,66603
2009-01-12 00:00:00,8,-5,0.0,9.8,2,89,08:33 PM,09:51 AM,08:41 AM,06:21 PM,-3,-5,-2,-5,17,49,87,0.0,1023,-1,10,147,8,66603
2009-01-12 06:00:00,8,-5,0.0,9.8,2,89,08:33 PM,09:51 AM,08:41 AM,06:21 PM,-2,-3,1,-3,32,100,79,0.0,1017,1,10,190,17,66603
2009-01-12 12:00:00,8,-5,0.0,9.8,2,89,08:33 PM,09:51 AM,08:41 AM,06:21 PM,1,5,8,5,25,6,62,0.0,1016,8,10,322,20,66603
