date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01 00:00:00,-7,-13,0.0,8.7,2,31,10:57 AM,10:38 PM,08:13 AM,05:27 PM,-15,-21,-11,-21,38,16,74,0.0,1010,-11,10,325,32,02886
2009-01-01 06:00:00,-7,-13,0.0,8.7,2,31,10:57 AM,10:38 PM,08:13 AM,05:27 PM,-17,-22,-13,-22,26,0,71,0.0,1017,-13,10,311,22,02886
2009-01-01 12:00:00,-7,-13,0.0,8.7,2,31,10:57 AM,10:38 PM,08:13 AM,05:27 PM,-15,-15,-7,-15,25,2,55,0.0,1019,-7,10,309,22,02886
2009-01-01 18:00:00,-7,-13,0.0,8.7,2,31,10:57 AM,10:38 PM,08:13 AM,05:27 PM,-14,-16,-8,-16,34,10,66,0.0,1022,-8,10,307,21,02886
2009-01-02 00:00:00,2,-11,0.0,5.2,2,38,11:18 AM,11:43 PM,08:13 AM,05:27 PM,-13,-15,-11,-15,17,20,81,0.0,1021,-11,10,287,8,02886
2009-01-02 06:00:00,2,-11,0.0,5.2,2,38,11:18 AM,11:43 PM,08:13 AM,05:27 PM,-10,-10,-7,-10,11,90,79,0.0,1018,-7,10,237,6,02886
2009-01-02 12:00:00,2,-11,0.0,5.2,2,38,11:18 AM,11:43 PM,08:13 AM,05:27 PM,0,-2,2,-2,27,51,86,0.0,1010,2,10,236,17,02886
2009-01-02 18:00:00,2,-11,0.0,5.2,2,38,11:18 AM,11:43 PM,08:13 AM,05:27 PM,-2,-5,-1,-5,22,75,92,0.0,1007,-1,10,275,13,02886
2009-01-03 00:00:00,1,-4,0.0,8.7,2,45,11:40 AM,No moonset,08:13 AM,05:28 PM,-2,-5,-1,-5,25,40,90,0.0,1005,-1,10,279,14,02886
2009-01-03 06:00:00,1,-4,0.0,8.7,2,45,11:40 AM,No moonset,08:13 AM,05:28 PM,-4,-7,-2,-7,32,10,87,0.0,1009,-2,10,295,20,02886
2009-01-03 12:00:00,1,-4,0.0,8.7,2,45,11:40 AM,No moonset,08:13 AM,05:28 PM,-3,-5,1,-5,34,0,76,0.0,1010,1,10,303,24,02886
2009-01-03 18:00:00,1,-4,0.0,8.7,2,45,11:40 AM,No moonset,08:13 AM,05:28 PM,-6,-9,-3,-9,33,0,81,0.0,1012,-3,10,284,19,02886
2009-01-04 00:00:00,1,-6,0.0,8.7,2,52,12:02 PM,12:50 AM,08:13 AM,05:29 PM,-7,-11,-5,-11,28,2,84,0.0,1014,-5,10,293,18,02886
2009-01-04 06:00:00,1,-6,0.0,8.7,2,52,12:02 PM,12:50 AM,08:13 AM,05:29 PM,-8,-11,-6,-11,21,0,84,0.0,1015,-6,10,306,14,02886
2009-01-04 12:00:00,1,-6,0.0,8.7,2,52,12:02 PM,12:50 AM,08:13 AM,05:29 PM,-2,-3,1,-3,17,9,79,0.0,1015,1,10,311,13,02886
2009-01-04 18:00:00,1,-6,0.0,8.7,2,52,12:02 PM,12:50 AM,08:13 AM,05:29 PM,-4,-3,-1,-3,11,7,78,0.0,1016,-2,10,294,6,02886
2009-01-05 00:00:00,3,-1,0.0,8.7,2,60,12:29 PM,02:00 AM,08:13 AM,05:30 PM,-4,-2,-0,-2,12,20,78,0.0,1014,-1,10,237,6,02886
2009-01-05 06:00:00,3,-1,0.0,8.7,2,60,12:29 PM,02:00 AM,08:13 AM,05:30 PM,-0,-3,1,-3,24,32,89,0.0,1011,1,10,259,14,02886
2009-01-05 12:00:00,3,-1,0.0,8.7,2,60,12:29 PM,02:00 AM,08:13 AM,05:30 PM,0,0,3,0,17,46,82,0.0,1012,3,10,295,11,02886
2009-01-05 18:00:00,3,-1,0.0,8.7,2,60,12:29 PM,02:00 AM,08:13 AM,05:30 PM,-0,-1,2,-1,17,32,86,0.0,1013,2,10,280,9,02886
2009-01-06 00:00:00,0,-3,0.0,8.7,2,67,01:03 PM,03:14 AM,08:13 AM,05:31 PM,-5,-6,-1,-6,23,6,77,0.0,1015,-1,10,312,14,02886
2009-01-06 06:00:00,0,-3,0.0,8.7,2,67,01:03 PM,03:14 AM,08:13 AM,05:31 PM,-6,-7,-3,-7,17,10,76,0.0,1018,-3,10,332,11,02886
2009-01-06 12:00:00,0,-3,0.0,8.7,2,67,01:03 PM,03:14 AM,08:13 AM,05:31 PM,-6,0,0,0,2,21,61,0.0,1017,-0,10,282,2,02886
2009-01-06 18:00:00,0,-3,0.0,8.7,2,67,01:03 PM,03:14 AM,08:13 AM,05:31 PM,-6,0,0,0,2,55,64,0.0,1016,-0,10,186,1,02886
2009-01-07 00:00:00,4,-1,0.0,3.4,1,74,01:45 PM,04:30 AM,08:13 AM,05:32 PM,-2,-4,-1,-4,15,100,88,0.0,1013,-1,10,68,10,02886
2009-01-07 06:00:00,4,-1,0.0,3.4,1,74,01:45 PM,04:30 AM,08:13 AM,05:32 PM,-0,-4,1,-4,28,100,94,0.0,1004,1,10,80,19,02886
2009-01-07 12:00:00,4,-1,0.0,3.4,1,74,01:45 PM,04:30 AM,08:13 AM,05:32 PM,3,-1,3,-1,38,100,99,0.0,993,3,10,357,21,02886
2009-01-07 18:00:00,4,-1,0.0,3.4,1,74,01:45 PM,04:30 AM,08:13 AM,05:32 PM,3,4,4,4,6,100,96,0.0,986,3,2,121,3,02886
2009-01-08 00:00:00,3,-2,0.0,5.2,1,82,02:39 PM,05:46 AM,08:12 AM,05:33 PM,1,-3,2,-3,31,92,89,0.0,986,2,10,261,21,02886
2009-01-08 06:00:00,3,-2,0.0,5.2,1,82,02:39 PM,05:46 AM,08:12 AM,05:33 PM,-1,-4,2,-4,49,10,84,0.0,992,2,10,245,31,02886
2009-01-08 12:00:00,3,-2,0.0,5.2,1,82,02:39 PM,05:46 AM,08:12 AM,05:33 PM,-0,-2,3,-2,42,63,77,0.0,994,3,10,250,30,02886
2009-01-08 18:00:00,3,-2,0.0,5.2,1,82,02:39 PM,05:46 AM,08:12 AM,05:33 PM,-3,-5,0,-5,32,52,80,0.0,999,0,10,271,20,02886
2009-01-09 00:00:00,-2,-5,0.0,8.7,2,89,03:47 PM,06:56 AM,08:12 AM,05:34 PM,-8,-8,-3,-8,22,40,70,0.0,1003,-3,10,313,17,02886
2009-01-09 06:00:00,-2,-5,0.0,8.7,2,89,03:47 PM,06:56 AM,08:12 AM,05:34 PM,-10,-12,-5,-12,29,13,66,0.0,1009,-5,10,303,23,02886
2009-01-09 12:00:00,-2,-5,0.0,8.7,2,89,03:47 PM,06:56 AM,08:12 AM,05:34 PM,-10,-8,-2,-8,30,7,52,0.0,1011,-2,10,304,26,02886
2009-01-09 18:00:00,-2,-5,0.0,8.7,2,89,03:47 PM,06:56 AM,08:12 AM,05:34 PM,-10,-10,-4,-10,30,4,59,0.0,1018,-3,10,299,21,02886
2009-01-10 00:00:00,-3,-7,2.7,8.7,2,96,05:04 PM,07:54 AM,08:12 AM,05:35 PM,-12,-12,-6,-12,25,0,60,0.0,1022,-6,10,305,18,02886
2009-01-10 06:00:00,-3,-7,2.7,8.7,2,96,05:04 PM,07:54 AM,08:12 AM,05:35 PM,-13,-13,-7,-13,18,2,61,0.0,1025,-7,10,309,13,02886
2009-01-10 12:00:00,-3,-7,2.7,8.7,2,96,05:04 PM,07:54 AM,08:12 AM,05:35 PM,-13,-4,-3,-4,5,45,44,0.0,1024,-3,10,330,4,02886
2009-01-10 18:00:00,-3,-7,2.7,8.7,2,96,05:04 PM,07:54 AM,08:12 AM,05:35 PM,-7,-6,-5,-6,5,100,83,0.0,1022,-5,10,81,4,02886
2009-01-11 00:00:00,0,-4,0.0,3.5,1,100,06:26 PM,08:41 AM,08:12 AM,05:36 PM,-3,-9,-3,-9,28,100,95,0.0,1014,-3,10,69,20,02886
2009-01-11 06:00:00,0,-4,0.0,3.5,1,100,06:26 PM,08:41 AM,08:12 AM,05:36 PM,-2,-7,-1,-7,33,100,96,0.0,1007,-1,10,7,21,02886
2009-01-11 12:00:00,0,-4,0.0,3.5,1,100,06:26 PM,08:41 AM,08:12 AM,05:36 PM,-5,-11,-4,-11,26,100,95,0.0,1010,-4,10,344,20,02886
2009-01-11 18:00:00,0,-4,0.0,3.5,1,100,06:26 PM,08:41 AM,08:12 AM,05:36 PM,-5,-6,-4,-6,8,96,94,0.0,1015,-4,2,323,6,02886
2009-01-12 00:00:00,-2,-5,0.2,8.7,1,89,07:46 PM,09:18 AM,08:11 AM,05:37 PM,-4,-8,-3,-8,17,100,92,0.0,1016,-3,10,11,12,02886
2009-01-12 06:00:00,-2,-5,0.2,8.7,1,89,07:46 PM,09:18 AM,08:11 AM,05:37 PM,-6,-9,-4,-9,17,100,91,0.0,1017,-4,10,313,12,02886
2009-01-12 12:00:00,-2,-5,0.2,8.7,1,89,07:46 PM,09:18 AM,08:11 AM,05:37 PM,-6,-7,-2,-7,24,7,76,0.0,1020,-2,10,322,18,02886
